,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
181,Tlalocohyla godmani,194929,-96.8167189,19.5,,False,4,24.17,Amphibia,Anura,Hylidae,971,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=006479e853c9510300731b7e359a5469,006479e853c9510300731b7e359a5469,No,NoDisponible,,,,,,,
17,Tlalocohyla godmani,194931,-96.744214,19.4546667,,False,4,28.38,Amphibia,Anura,Hylidae,794,Dulceacuícola; Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0118152362952437c85b4e0e5758a456,0118152362952437c85b4e0e5758a456,No,NoDisponible,,,,,,,
39,Tlalocohyla godmani,194854,-96.8416667,18.875,,False,4,28.87,Amphibia,Anura,Hylidae,608,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0339e0396d9bec579da3f9b13b380622,0339e0396d9bec579da3f9b13b380622,No,NoDisponible,,,,,,,
275,Tlalocohyla godmani,194888,-97.05379,19.43268,,False,3,14.25,Amphibia,Anura,Hylidae,1729,Dulceacuícola; Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03f7b944fcec1ea69332b8ed8b419e7f,03f7b944fcec1ea69332b8ed8b419e7f,No,NoDisponible,,,,,,,
214,Tlalocohyla godmani,170473,-99.6,21.3525,,False,3,17.81,Amphibia,Anura,Hylidae,935,Dulceacuícola; Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0620d8c7da825038c00835f28d386a3d,0620d8c7da825038c00835f28d386a3d,Si,NoDisponible,Si,Si,No,,,,
18,Tlalocohyla godmani,194931,-96.744214,19.4546667,,False,4,28.38,Amphibia,Anura,Hylidae,794,Dulceacuícola; Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07c7233816f001beea7ed8ee39441b85,07c7233816f001beea7ed8ee39441b85,No,NoDisponible,,,,,,,
189,Tlalocohyla godmani,175287,-99.0583333,21.2583333,,False,4,35.55,Amphibia,Anura,Hylidae,926,Dulceacuícola; Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09ced0a1915fede21822ff3f815d7dc9,09ced0a1915fede21822ff3f815d7dc9,No,NoDisponible,,,,,,,
314,Tlalocohyla godmani,190024,-97.6186282,20.496378,,False,4,25.88,Amphibia,Anura,Hylidae,265,Dulceacuícola; Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09f28a5848bf790e82ff88668f227f22,09f28a5848bf790e82ff88668f227f22,No,NoDisponible,,,,,,,
276,Tlalocohyla godmani,194888,-97.05379,19.43268,,False,3,14.25,Amphibia,Anura,Hylidae,1729,Dulceacuícola; Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09f72cea67567bad4e6611e5d8100c79,09f72cea67567bad4e6611e5d8100c79,No,NoDisponible,,,,,,,
66,Tlalocohyla godmani,194854,-96.84056,18.87667,,False,4,28.87,Amphibia,Anura,Hylidae,605,Dulceacuícola; Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a67c2e711544e0a541894d28e50e982,0a67c2e711544e0a541894d28e50e982,No,NoDisponible,,,,,,,
