,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
292,Agalychnis moreletii,226539,-92.6208333,15.3625,,False,4,25.29,Amphibia,Anura,Phyllomedusidae,211,Dulceacuícola; Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0069e5bd83960c48f07b537db5f1fa85,0069e5bd83960c48f07b537db5f1fa85,No,,NoDisponible,,,,,,
126,Agalychnis moreletii,230723,-92.4861111,15.3791667,,False,4,23.7,Amphibia,Anura,Phyllomedusidae,915,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=009040f544ebafd05987150422e0eed6,009040f544ebafd05987150422e0eed6,No,,NoDisponible,,,,,,
256,Agalychnis moreletii,209081,-94.94,18.3883333,,False,5,39.78,Amphibia,Anura,Phyllomedusidae,931,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01405517dbea19f59aa278743d05a443,01405517dbea19f59aa278743d05a443,Si,Si,NoDisponible,Si,Si,,,,
127,Agalychnis moreletii,230723,-92.4861111,15.3791667,,False,4,23.7,Amphibia,Anura,Phyllomedusidae,915,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0144ed015d7b3bdd18b1ce58408d06c8,0144ed015d7b3bdd18b1ce58408d06c8,No,,NoDisponible,,,,,,
293,Agalychnis moreletii,226539,-92.6208333,15.3625,,False,4,25.29,Amphibia,Anura,Phyllomedusidae,211,Dulceacuícola; Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01b260e4f53c763b2d0d342736e02366,01b260e4f53c763b2d0d342736e02366,No,,NoDisponible,,,,,,
99,Agalychnis moreletii,230696,-92.1347222,15.0416667,,False,5,35.79,Amphibia,Anura,Phyllomedusidae,765,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01db4cc7a8e69d6f71109874f09aaa9f,01db4cc7a8e69d6f71109874f09aaa9f,No,,NoDisponible,,,,,,
275,Agalychnis moreletii,190001,-97.4388333,20.0295667,,False,5,33.36,Amphibia,Anura,Phyllomedusidae,688,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=026c34a88e6bf2ef015458b51766f6bf,026c34a88e6bf2ef015458b51766f6bf,Si,No,NoDisponible,,Si,,,,
294,Agalychnis moreletii,226539,-92.6208333,15.3625,,False,4,25.29,Amphibia,Anura,Phyllomedusidae,211,Dulceacuícola; Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03b221f78937dd381f7e088f1724f3e6,03b221f78937dd381f7e088f1724f3e6,No,,NoDisponible,,,,,,
187,Agalychnis moreletii,222519,-93.3009791,16.8983102,,False,5,31.44,Amphibia,Anura,Phyllomedusidae,803,Dulceacuícola; Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0454dc9661cc750753e0ed10cfb9ae17,0454dc9661cc750753e0ed10cfb9ae17,No,,NoDisponible,,,,,,
115,Agalychnis moreletii,226495,-92.5986111,15.2458333,,False,3,12.36,Amphibia,Anura,Phyllomedusidae,47,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=063a55cb7e9559143626313e5aa21901,063a55cb7e9559143626313e5aa21901,No,,NoDisponible,,,,,,
71,Agalychnis moreletii,209056,-95.2083333,18.575,,False,5,34.35,Amphibia,Anura,Phyllomedusidae,1120,Dulceacuícola; Terrestre,1894,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=068afab3779243263a8832388665ba82,068afab3779243263a8832388665ba82,No,,NoDisponible,,,,,,
198,Agalychnis moreletii,208883,-95.019998,16.77,,False,3,16.6,Amphibia,Anura,Phyllomedusidae,188,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06a63740b3a9391e55810d526aeb3f74,06a63740b3a9391e55810d526aeb3f74,Si,No,NoDisponible,,Si,,,,
128,Agalychnis moreletii,230723,-92.4861111,15.3791667,,False,4,23.7,Amphibia,Anura,Phyllomedusidae,915,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08320d60baf7e15eab0dd0a3ad4a23f0,08320d60baf7e15eab0dd0a3ad4a23f0,No,,NoDisponible,,,,,,
100,Agalychnis moreletii,230696,-92.1347222,15.0416667,,False,5,35.79,Amphibia,Anura,Phyllomedusidae,765,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0850248ac2460b7dadb41b2146df75ea,0850248ac2460b7dadb41b2146df75ea,No,,NoDisponible,,,,,,
295,Agalychnis moreletii,226539,-92.6208333,15.3625,,False,4,25.29,Amphibia,Anura,Phyllomedusidae,211,Dulceacuícola; Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=088e73df8a5c5f6f55e058aa966b2aea,088e73df8a5c5f6f55e058aa966b2aea,No,,NoDisponible,,,,,,
258,Agalychnis moreletii,189977,-97.5330556,20.0483667,,False,4,25.21,Amphibia,Anura,Phyllomedusidae,629,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09d0332996208cf6b9c8c869caa25c52,09d0332996208cf6b9c8c869caa25c52,Si,No,NoDisponible,,Si,,,,
296,Agalychnis moreletii,226539,-92.6208333,15.3625,,False,4,25.29,Amphibia,Anura,Phyllomedusidae,211,Dulceacuícola; Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a3b0f79889f68b687c24c0acefed4c3,0a3b0f79889f68b687c24c0acefed4c3,No,,NoDisponible,,,,,,
64,Agalychnis moreletii,222495,-93.4561111,16.8788889,,False,4,26.08,Amphibia,Anura,Phyllomedusidae,1002,Dulceacuícola; Terrestre,1994,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ac98ed7b549b317c4dc2f295facf5c6,0ac98ed7b549b317c4dc2f295facf5c6,No,,NoDisponible,,,,,,
101,Agalychnis moreletii,230696,-92.1347222,15.0416667,,False,5,35.79,Amphibia,Anura,Phyllomedusidae,765,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b18806726a12e6efba681602382aa7e,0b18806726a12e6efba681602382aa7e,No,,NoDisponible,,,,,,
102,Agalychnis moreletii,230696,-92.1347222,15.0416667,,False,5,35.79,Amphibia,Anura,Phyllomedusidae,765,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bf97b24bc221afd4ac489ece3906852,0bf97b24bc221afd4ac489ece3906852,No,,NoDisponible,,,,,,
199,Agalychnis moreletii,208883,-95.019998,16.77,,False,3,16.6,Amphibia,Anura,Phyllomedusidae,188,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cc630777ff53070c21d70acb73033e9,0cc630777ff53070c21d70acb73033e9,Si,No,NoDisponible,,Si,,,,
200,Agalychnis moreletii,208883,-95.019998,16.77,,False,3,16.6,Amphibia,Anura,Phyllomedusidae,188,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0daafd299ef02e39894aaf2448de9b83,0daafd299ef02e39894aaf2448de9b83,Si,No,NoDisponible,,Si,,,,
281,Agalychnis moreletii,222525,-93.2736111,16.8694444,,False,5,31.81,Amphibia,Anura,Phyllomedusidae,1026,Dulceacuícola; Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ddfa9e9a639c276cb81e669dffb0348,0ddfa9e9a639c276cb81e669dffb0348,No,,NoDisponible,,,,,,
91,Agalychnis moreletii,194867,-96.7652778,18.9208333,,False,5,35.85,Amphibia,Anura,Phyllomedusidae,457,Dulceacuícola; Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e32c1c8d72d264ca0bc79faf5e4d245,0e32c1c8d72d264ca0bc79faf5e4d245,Si,No,NoDisponible,,Si,,,,
122,Agalychnis moreletii,230723,-92.4861111,15.3791667,,False,4,23.7,Amphibia,Anura,Phyllomedusidae,915,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fae6a3a035641d050039536943ad94e,0fae6a3a035641d050039536943ad94e,No,,NoDisponible,,,,,,
103,Agalychnis moreletii,230696,-92.1347222,15.0416667,,False,5,35.79,Amphibia,Anura,Phyllomedusidae,765,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=107c736c61e39550c13b20cc4e712049,107c736c61e39550c13b20cc4e712049,No,,NoDisponible,,,,,,
269,Agalychnis moreletii,189980,-97.5098667,20.0760167,,False,5,30.5,Amphibia,Anura,Phyllomedusidae,291,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10ef10111975022f27cd255d4303a6f7,10ef10111975022f27cd255d4303a6f7,Si,No,NoDisponible,,Si,,,,
249,Agalychnis moreletii,222520,-93.3102778,16.9372222,,False,4,27.77,Amphibia,Anura,Phyllomedusidae,311,Dulceacuícola; Terrestre,1957,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11994676f02e4fa4abefd1237fb175da,11994676f02e4fa4abefd1237fb175da,No,,NoDisponible,,,,,,
297,Agalychnis moreletii,226539,-92.6208333,15.3625,,False,4,25.29,Amphibia,Anura,Phyllomedusidae,211,Dulceacuícola; Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11fefb52515d76391a91079895b56085,11fefb52515d76391a91079895b56085,No,,NoDisponible,,,,,,
116,Agalychnis moreletii,230723,-92.4899343,15.3769,,False,4,23.7,Amphibia,Anura,Phyllomedusidae,809,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12958d9634de7a21c6a7b1ea7c875146,12958d9634de7a21c6a7b1ea7c875146,No,,NoDisponible,,,,,,
298,Agalychnis moreletii,226539,-92.6208333,15.3625,,False,4,25.29,Amphibia,Anura,Phyllomedusidae,211,Dulceacuícola; Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1300e4b3fcc3e46c49291eaa404f2149,1300e4b3fcc3e46c49291eaa404f2149,No,,NoDisponible,,,,,,
299,Agalychnis moreletii,226539,-92.6208333,15.3625,,False,4,25.29,Amphibia,Anura,Phyllomedusidae,211,Dulceacuícola; Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1359999d3aa5d427ee24e6c334283395,1359999d3aa5d427ee24e6c334283395,No,,NoDisponible,,,,,,
9,Agalychnis moreletii,194824,-97.062454,18.86534,,False,4,20.98,Amphibia,Anura,Phyllomedusidae,1160,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15bc3f33a50648d6a94806671cba46d9,15bc3f33a50648d6a94806671cba46d9,No,,NoDisponible,,,,,,
104,Agalychnis moreletii,230696,-92.1347222,15.0416667,,False,5,35.79,Amphibia,Anura,Phyllomedusidae,765,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15ea85eed92212cc089beebc68096d11,15ea85eed92212cc089beebc68096d11,No,,NoDisponible,,,,,,
129,Agalychnis moreletii,230723,-92.4861111,15.3791667,,False,4,23.7,Amphibia,Anura,Phyllomedusidae,915,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=165cf7787207c93bc3df43d1cccecfcb,165cf7787207c93bc3df43d1cccecfcb,No,,NoDisponible,,,,,,
75,Agalychnis moreletii,194832,-96.9300496,18.88,,False,4,25.3,Amphibia,Anura,Phyllomedusidae,832,Dulceacuícola; Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16c847147d3722c6cfab66efe75c13a4,16c847147d3722c6cfab66efe75c13a4,No,,NoDisponible,,,,,,
61,Agalychnis moreletii,222495,-93.4561111,16.8788889,,False,4,26.08,Amphibia,Anura,Phyllomedusidae,1002,Dulceacuícola; Terrestre,1994,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1802b5424db96c4ba4aff5ea45bdb0c4,1802b5424db96c4ba4aff5ea45bdb0c4,No,,NoDisponible,,,,,,
130,Agalychnis moreletii,230723,-92.4861111,15.3791667,,False,4,23.7,Amphibia,Anura,Phyllomedusidae,915,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18d2dbf3baef785a9b66c3364dabdcf7,18d2dbf3baef785a9b66c3364dabdcf7,No,,NoDisponible,,,,,,
10,Agalychnis moreletii,194824,-97.062454,18.86534,,False,4,20.98,Amphibia,Anura,Phyllomedusidae,1160,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18db832b88ea8832d172dadb537e84f6,18db832b88ea8832d172dadb537e84f6,No,,NoDisponible,,,,,,
76,Agalychnis moreletii,194832,-96.9300496,18.88,,False,4,25.3,Amphibia,Anura,Phyllomedusidae,832,Dulceacuícola; Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a2150fcd2107957bff0c108e2a18bc0,1a2150fcd2107957bff0c108e2a18bc0,No,,NoDisponible,,,,,,
245,Agalychnis moreletii,194842,-96.9698688,18.9874333,,False,4,21.89,Amphibia,Anura,Phyllomedusidae,1179,Dulceacuícola; Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a4c827ecbdb854a55ce56f99a0f0985,1a4c827ecbdb854a55ce56f99a0f0985,No,,NoDisponible,,,,,,
234,Agalychnis moreletii,194794,-96.7102777,18.1663888,,False,4,27.5,Amphibia,Anura,Phyllomedusidae,623,Dulceacuícola; Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1aa8e8b9524de7e8b7cb3cbc09c3e6e3,1aa8e8b9524de7e8b7cb3cbc09c3e6e3,No,,NoDisponible,,,,,,
131,Agalychnis moreletii,230723,-92.4861111,15.3791667,,False,4,23.7,Amphibia,Anura,Phyllomedusidae,915,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b6b3b7ec9504edb3dadff79d566b02e,1b6b3b7ec9504edb3dadff79d566b02e,No,,NoDisponible,,,,,,
132,Agalychnis moreletii,230723,-92.4861111,15.3791667,,False,4,23.7,Amphibia,Anura,Phyllomedusidae,915,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1bb2792a7f0e7c04a911736d8766abd8,1bb2792a7f0e7c04a911736d8766abd8,No,,NoDisponible,,,,,,
