,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
156,Ambystoma altamirani,175007,-99.225,19.075,,False,6,35.49,Amphibia,Caudata,Ambystomatidae,3072,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0016faf7c0bd8ed05d0d7952872df2ff,0016faf7c0bd8ed05d0d7952872df2ff,No,NoDisponible,NoDisponible,,,,,,
203,Ambystoma altamirani,174999,-99.3305556,19.085,,False,7,44.77,Amphibia,Caudata,Ambystomatidae,3220,Dulceacuícola; Terrestre,1998,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=006d371347b87287cc22eae7385f44b6,006d371347b87287cc22eae7385f44b6,No,NoDisponible,NoDisponible,,,,,,
294,Ambystoma altamirani,175055,-99.2299999,19.3799999,Ejemplar probablemente mal determinado.,False,6,23.58,Amphibia,Caudata,Ambystomatidae,2405,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e4c76df70c3ddc9dfcc2541a61b25c,00e4c76df70c3ddc9dfcc2541a61b25c,No,NoDisponible,NoDisponible,,,,,,
37,Ambystoma altamirani,175044,-99.3601085,19.3,,False,7,48.82,Amphibia,Caudata,Ambystomatidae,3200,Dulceacuícola; Terrestre,1961,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=011d224734d0ab9ec4093c03718eac8f,011d224734d0ab9ec4093c03718eac8f,No,NoDisponible,NoDisponible,,,,,,
97,Ambystoma altamirani,175044,-99.3872222,19.3138889,,False,7,48.82,Amphibia,Caudata,Ambystomatidae,3076,Dulceacuícola; Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01548e0a4bcb16301ae9aded9fc9c6c8,01548e0a4bcb16301ae9aded9fc9c6c8,No,NoDisponible,NoDisponible,,,,,,
224,Ambystoma altamirani,174999,-99.3233333,19.065,,False,7,44.77,Amphibia,Caudata,Ambystomatidae,3072,Dulceacuícola; Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01663f6bdfcb54ea74ee4591d39650d8,01663f6bdfcb54ea74ee4591d39650d8,No,NoDisponible,NoDisponible,,,,,,
669,Ambystoma altamirani,175048,-99.3677778,19.4352778,Ejemplar probablemente mal determinado.,False,7,41.35,Amphibia,Caudata,Ambystomatidae,3286,Dulceacuícola; Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01a919e454c193bfb94a2c4ed58feef1,01a919e454c193bfb94a2c4ed58feef1,No,NoDisponible,NoDisponible,,,,,,
383,Ambystoma altamirani,175005,-99.315,19.0469444,,False,7,44.43,Amphibia,Caudata,Ambystomatidae,2882,Dulceacuícola; Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01bfdb46c99e0adeb735fe5f5bceb7dc,01bfdb46c99e0adeb735fe5f5bceb7dc,No,NoDisponible,NoDisponible,,,,,,
519,Ambystoma altamirani,170236,-99.4897222,19.5522222,Ejemplar probablemente mal determinado.,False,7,45.42,Amphibia,Caudata,Ambystomatidae,3345,Dulceacuícola; Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0281eecbf7f07aec8386edbf7e1831f4,0281eecbf7f07aec8386edbf7e1831f4,No,NoDisponible,NoDisponible,,,,,,
546,Ambystoma altamirani,175042,-99.3902778,19.3038889,,False,7,41.08,Amphibia,Caudata,Ambystomatidae,2992,Dulceacuícola; Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02cce01d1b1fea7e7f019ed0c2bb05f8,02cce01d1b1fea7e7f019ed0c2bb05f8,No,NoDisponible,NoDisponible,,,,,,
