,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
18,Ambystoma flavipiperatum,136752,-103.4899999,20.4899999,,False,2,28.61,Amphibia,Caudata,Ambystomatidae,1537,Dulceacuícola; Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=012a2e08d9b295738c9ab8ca01d4cf0b,012a2e08d9b295738c9ab8ca01d4cf0b,No,NoDisponible,NoDisponible,,,,,,
9,Ambystoma flavipiperatum,105486,-107.9266699,27.86167,Ejemplar fuera de su área de distribución.,True,0,-133.53,Amphibia,Caudata,Ambystomatidae,2255,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0205646775bfef4425ba207ee582deb2,0205646775bfef4425ba207ee582deb2,Si,NoDisponible,NoDisponible,,No,,,,
70,Ambystoma flavipiperatum,136648,-103.923333,19.9449999,,False,2,38.3,Amphibia,Caudata,Ambystomatidae,1197,Dulceacuícola; Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02847a1ce2311f8311b3040f326c3b6e,02847a1ce2311f8311b3040f326c3b6e,No,NoDisponible,NoDisponible,,,,,,
85,Ambystoma flavipiperatum,136705,-104.0374999,20.2941666,,False,2,35.66,Amphibia,Caudata,Ambystomatidae,2184,Dulceacuícola; Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03321fa214101a551c9061f26e343c70,03321fa214101a551c9061f26e343c70,No,NoDisponible,NoDisponible,,,,,,
138,Ambystoma flavipiperatum,136758,-103.7361111,20.7958333,,False,1,8.48,Amphibia,Caudata,Ambystomatidae,1432,Dulceacuícola; Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06218545c687fe1c675ad473d9800f9e,06218545c687fe1c675ad473d9800f9e,No,NoDisponible,NoDisponible,,,,,,
19,Ambystoma flavipiperatum,136752,-103.4899999,20.4899999,,False,2,28.61,Amphibia,Caudata,Ambystomatidae,1537,Dulceacuícola; Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d632e4d3e8af202c83cd027c81daf2d,0d632e4d3e8af202c83cd027c81daf2d,No,NoDisponible,NoDisponible,,,,,,
20,Ambystoma flavipiperatum,136752,-103.4899999,20.4899999,,False,2,28.61,Amphibia,Caudata,Ambystomatidae,1537,Dulceacuícola; Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f4a2228fc5bf5ac54d9777c845411a1,0f4a2228fc5bf5ac54d9777c845411a1,No,NoDisponible,NoDisponible,,,,,,
91,Ambystoma flavipiperatum,136678,-103.7299999,19.9699999,,False,2,22.13,Amphibia,Caudata,Ambystomatidae,2292,Dulceacuícola; Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=103e318d2ea9022c273d44e6ffb8a8aa,103e318d2ea9022c273d44e6ffb8a8aa,No,NoDisponible,NoDisponible,,,,,,
7,Ambystoma flavipiperatum,136749,-103.600444,20.4317778,,False,2,25.75,Amphibia,Caudata,Ambystomatidae,1398,Dulceacuícola; Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10f3bd336c835b8a65f9c10bffaf7f81,10f3bd336c835b8a65f9c10bffaf7f81,No,NoDisponible,NoDisponible,,,,,,
3,Ambystoma flavipiperatum,141461,-103.4840586,20.718659,,False,2,29.6,Amphibia,Caudata,Ambystomatidae,1659,Dulceacuícola; Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1326966e48d563c6a90fbe947fefa24e,1326966e48d563c6a90fbe947fefa24e,No,NoDisponible,NoDisponible,,,,,,
