,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
0,Ambystoma ordinarium,141295,-102.925,18.7916667,,False,6,30.45,Amphibia,Caudata,Ambystomatidae,2159,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=023857f4ce59ce00218878950ab5a842,023857f4ce59ce00218878950ab5a842,No,,,,,,,,
1,Ambystoma ordinarium,141295,-102.925,18.7916667,,False,6,30.45,Amphibia,Caudata,Ambystomatidae,2159,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4e94ac24667faab7824dc9c6d00315df,4e94ac24667faab7824dc9c6d00315df,No,,,,,,,,
2,Ambystoma ordinarium,141295,-102.925,18.7916667,,False,6,30.45,Amphibia,Caudata,Ambystomatidae,2159,Dulceacuícola; Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5a1707c1c5a98993381fc31cdd051bff,5a1707c1c5a98993381fc31cdd051bff,No,,,,,,,,
3,Ambystoma ordinarium,141295,-102.925,18.7916667,,False,6,30.45,Amphibia,Caudata,Ambystomatidae,2159,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6ce6850901c1c917efa202c3bfef09f3,6ce6850901c1c917efa202c3bfef09f3,No,,,,,,,,
4,Ambystoma ordinarium,141295,-102.925,18.7916667,,False,6,30.45,Amphibia,Caudata,Ambystomatidae,2159,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=83b4772bf8a5283031eedd84c37b37fd,83b4772bf8a5283031eedd84c37b37fd,No,,,,,,,,
5,Ambystoma ordinarium,141295,-102.925,18.7916667,,False,6,30.45,Amphibia,Caudata,Ambystomatidae,2159,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8ad509e0cb1f62b7e2e69c90a65d2a25,8ad509e0cb1f62b7e2e69c90a65d2a25,No,,,,,,,,
6,Ambystoma ordinarium,141295,-102.925,18.7916667,,False,6,30.45,Amphibia,Caudata,Ambystomatidae,2159,Dulceacuícola; Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=91d8ade3f38f04ba3de16c23c9e9bb94,91d8ade3f38f04ba3de16c23c9e9bb94,No,,,,,,,,
7,Ambystoma ordinarium,141295,-102.925,18.7916667,,False,6,30.45,Amphibia,Caudata,Ambystomatidae,2159,Dulceacuícola; Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cff2085c513f6adbb963ae820ad9a2b8,cff2085c513f6adbb963ae820ad9a2b8,No,,,,,,,,
8,Ambystoma ordinarium,141295,-102.925,18.7916667,,False,6,30.45,Amphibia,Caudata,Ambystomatidae,2159,Dulceacuícola; Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f156680e42733b9a3b1665c6998a436f,f156680e42733b9a3b1665c6998a436f,No,,,,,,,,
9,Ambystoma ordinarium,141295,-102.925,18.7916667,,False,6,30.45,Amphibia,Caudata,Ambystomatidae,2159,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ff5b30709ba487cbbeb680613587eaad,ff5b30709ba487cbbeb680613587eaad,No,,,,,,,,
10,Ambystoma ordinarium,141295,-102.975,18.7916667,,False,6,30.45,Amphibia,Caudata,Ambystomatidae,2155,Dulceacuícola; Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ea5bbb48d6fc32a8053aaf8aaa60339a,ea5bbb48d6fc32a8053aaf8aaa60339a,No,,,,,,,,
11,Ambystoma ordinarium,146168,-102.525,20.2083333,,True,0,-15.76,Amphibia,Caudata,Ambystomatidae,1522,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=199324a0679be998410893eec551f370,199324a0679be998410893eec551f370,No,,,,,,,,
12,Ambystoma ordinarium,160501,-100.87306,19.60361,,False,8,37.2,Amphibia,Caudata,Ambystomatidae,1598,Dulceacuícola; Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19ef414554d40cfd996b6ab5428d3381,19ef414554d40cfd996b6ab5428d3381,No,,,,,,,,
13,Ambystoma ordinarium,160501,-100.87306,19.60361,,False,8,37.2,Amphibia,Caudata,Ambystomatidae,1598,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f53d97a3589b1cf23af2b30d02b188cf,f53d97a3589b1cf23af2b30d02b188cf,No,,,,,,,,
14,Ambystoma ordinarium,160501,-100.8732052,19.60361,,False,8,37.2,Amphibia,Caudata,Ambystomatidae,1598,Dulceacuícola; Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1d1886603872444b839a95351812e52a,1d1886603872444b839a95351812e52a,No,,,,,,,,
15,Ambystoma ordinarium,160501,-100.8701451,19.6,,False,8,37.2,Amphibia,Caudata,Ambystomatidae,1526,Dulceacuícola; Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7f75e635642aae8e25a58f11bcf383db,7f75e635642aae8e25a58f11bcf383db,No,,,,,,,,
16,Ambystoma ordinarium,160501,-100.8732052,19.60361,,False,8,37.2,Amphibia,Caudata,Ambystomatidae,1598,Dulceacuícola; Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=98b79695a5f64dea491d6deab52a6e99,98b79695a5f64dea491d6deab52a6e99,No,,,,,,,,
17,Ambystoma ordinarium,160501,-100.8732052,19.60361,,False,8,37.2,Amphibia,Caudata,Ambystomatidae,1598,Dulceacuícola; Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f81b4cab310d4abbcd238e47ec83b5dc,f81b4cab310d4abbcd238e47ec83b5dc,No,,,,,,,,
18,Ambystoma ordinarium,160501,-100.8732052,19.60361,,False,8,37.2,Amphibia,Caudata,Ambystomatidae,1598,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=568a7a46959b0da77de363a6fa8ce67f,568a7a46959b0da77de363a6fa8ce67f,No,,,,,,,,
19,Ambystoma ordinarium,160501,-100.8699999,19.6,,False,8,37.2,Amphibia,Caudata,Ambystomatidae,1527,Dulceacuícola; Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8f4831db50351ac0c01a2be7dd347de9,8f4831db50351ac0c01a2be7dd347de9,No,,,,,,,,
20,Ambystoma ordinarium,155663,-101.5416667,19.3583333,,False,9,39.02,Amphibia,Caudata,Ambystomatidae,2784,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d35c81ec333fb028a34dcb9c12c602b7,d35c81ec333fb028a34dcb9c12c602b7,No,,,,,,,,
21,Ambystoma ordinarium,155663,-101.4901587,19.35,,False,9,39.02,Amphibia,Caudata,Ambystomatidae,2431,Dulceacuícola; Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=29eca9fce7c4f98a0261f068a70daf98,29eca9fce7c4f98a0261f068a70daf98,No,,,,,,,,
22,Ambystoma ordinarium,155663,-101.4901587,19.35,,False,9,39.02,Amphibia,Caudata,Ambystomatidae,2431,Dulceacuícola; Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e7fd00c68d578e58907ff6eca9599e6,3e7fd00c68d578e58907ff6eca9599e6,No,,,,,,,,
23,Ambystoma ordinarium,155663,-101.4901587,19.35,,False,9,39.02,Amphibia,Caudata,Ambystomatidae,2431,Dulceacuícola; Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=40b33bedec5b32095815eba373d13b29,40b33bedec5b32095815eba373d13b29,No,,,,,,,,
24,Ambystoma ordinarium,155663,-101.4901587,19.35,,False,9,39.02,Amphibia,Caudata,Ambystomatidae,2431,Dulceacuícola; Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=59f8166a6cc044df18d9d6caf813b01f,59f8166a6cc044df18d9d6caf813b01f,No,,,,,,,,
25,Ambystoma ordinarium,155663,-101.4901587,19.35,,False,9,39.02,Amphibia,Caudata,Ambystomatidae,2431,Dulceacuícola; Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5a41448b47e3bea6325bc5f940c0a2cc,5a41448b47e3bea6325bc5f940c0a2cc,No,,,,,,,,
26,Ambystoma ordinarium,155663,-101.4901587,19.35,,False,9,39.02,Amphibia,Caudata,Ambystomatidae,2431,Dulceacuícola; Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5f51edecd62cc421144057e50c056b4f,5f51edecd62cc421144057e50c056b4f,No,,,,,,,,
27,Ambystoma ordinarium,155663,-101.4901587,19.35,,False,9,39.02,Amphibia,Caudata,Ambystomatidae,2431,Dulceacuícola; Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=96eb787c511400a3b7d5a9c089541cc1,96eb787c511400a3b7d5a9c089541cc1,No,,,,,,,,
28,Ambystoma ordinarium,155663,-101.4901587,19.35,,False,9,39.02,Amphibia,Caudata,Ambystomatidae,2431,Dulceacuícola; Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a585dc46f8bea6d5679c8c90bea5d46b,a585dc46f8bea6d5679c8c90bea5d46b,No,,,,,,,,
29,Ambystoma ordinarium,155663,-101.5334927,19.35,,False,9,39.02,Amphibia,Caudata,Ambystomatidae,2751,Dulceacuícola; Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=754acc5824da9d92fe4571bf5fffbfd4,754acc5824da9d92fe4571bf5fffbfd4,No,,,,,,,,
30,Ambystoma ordinarium,155663,-101.5334927,19.35,,False,9,39.02,Amphibia,Caudata,Ambystomatidae,2751,Dulceacuícola; Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7a842de6c2206e41f3517af4b630a985,7a842de6c2206e41f3517af4b630a985,No,,,,,,,,
31,Ambystoma ordinarium,155663,-101.5334927,19.35,,False,9,39.02,Amphibia,Caudata,Ambystomatidae,2751,Dulceacuícola; Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=89fd903890e9dc0ab6feed2cfc380274,89fd903890e9dc0ab6feed2cfc380274,No,,,,,,,,
32,Ambystoma ordinarium,155663,-101.5334927,19.35,,False,9,39.02,Amphibia,Caudata,Ambystomatidae,2751,Dulceacuícola; Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bf3c1ad8007a7e608554996699dd7f65,bf3c1ad8007a7e608554996699dd7f65,No,,,,,,,,
33,Ambystoma ordinarium,155663,-101.5334927,19.35,,False,9,39.02,Amphibia,Caudata,Ambystomatidae,2751,Dulceacuícola; Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ed59ff409f8e39febc0509fba657c645,ed59ff409f8e39febc0509fba657c645,No,,,,,,,,
34,Ambystoma ordinarium,160503,-100.775,19.618,,False,11,47.3,Amphibia,Caudata,Ambystomatidae,2486,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=50d58df3310ec6a02cf5008751c7e7cd,50d58df3310ec6a02cf5008751c7e7cd,No,,,,,,,,
