,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
1034,Ambystoma rosaceum,118511,-105.8102778,23.64,,False,5,18.94,Amphibia,Caudata,Ambystomatidae,2369,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0004538f1396ab80f39a0daac17e1254,0004538f1396ab80f39a0daac17e1254,No,NoDisponible,NoDisponible,,,,,,
759,Ambystoma rosaceum,110038,-107.4916666,28.5749999,,False,5,15.58,Amphibia,Caudata,Ambystomatidae,2003,Dulceacuícola; Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0005b4b4d42099bbda4a0bce76a28438,0005b4b4d42099bbda4a0bce76a28438,No,NoDisponible,NoDisponible,,,,,,
2727,Ambystoma rosaceum,101173,-108.35,28.5058333,,False,5,20.87,Amphibia,Caudata,Ambystomatidae,1916,Dulceacuícola; Terrestre,1978,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=000dd16d89d2444df8675d7fb674f350,000dd16d89d2444df8675d7fb674f350,No,NoDisponible,NoDisponible,,,,,,
2927,Ambystoma rosaceum,136862,-103.9137938,21.8642094,,False,3,-2.75,Amphibia,Caudata,Ambystomatidae,2073,Dulceacuícola; Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0033a03b69ab50ee5b3556b039c887bc,0033a03b69ab50ee5b3556b039c887bc,No,NoDisponible,NoDisponible,,,,,,
1900,Ambystoma rosaceum,101362,-108.3399999,30,,False,5,15.83,Amphibia,Caudata,Ambystomatidae,2183,Dulceacuícola; Terrestre,1978,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=004cd3834d87567060ca8de356b4c82a,004cd3834d87567060ca8de356b4c82a,No,NoDisponible,NoDisponible,,,,,,
829,Ambystoma rosaceum,101280,-108.3828111,29.5968444,,False,5,22.29,Amphibia,Caudata,Ambystomatidae,2168,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0057dd78f9c4dc79bbc8d7662400ad48,0057dd78f9c4dc79bbc8d7662400ad48,No,NoDisponible,NoDisponible,,,,,,
1597,Ambystoma rosaceum,114650,-106.7577777,29.4929722,,False,5,20.39,Amphibia,Caudata,Ambystomatidae,2434,Dulceacuícola; Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=005dadacabcf1e665a5be44ccaf2fb12,005dadacabcf1e665a5be44ccaf2fb12,No,NoDisponible,NoDisponible,,,,,,
874,Ambystoma rosaceum,101363,-108.266667,29.8833333,,False,5,25.52,Amphibia,Caudata,Ambystomatidae,2371,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=006787bd256222943d143e4b946cf23a,006787bd256222943d143e4b946cf23a,No,NoDisponible,NoDisponible,,,,,,
1796,Ambystoma rosaceum,118896,-105.8181806,26.8063028,,False,5,12.66,Amphibia,Caudata,Ambystomatidae,1932,Dulceacuícola; Terrestre,1947,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00abe9bb241b4b7aa090f8f464b67dbd,00abe9bb241b4b7aa090f8f464b67dbd,No,NoDisponible,NoDisponible,,,,,,
671,Ambystoma rosaceum,101184,-108.1466666,28.5666666,,False,5,29.33,Amphibia,Caudata,Ambystomatidae,2424,Dulceacuícola; Terrestre,1957,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b57f29264d205aea81372a3672ddf5,00b57f29264d205aea81372a3672ddf5,No,NoDisponible,NoDisponible,,,,,,
