,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
206,Anaxyrus speciosus,166410,-100.4101702,28.24,,False,3,12.27,Amphibia,Anura,Bufonidae,235,Dulceacuícola; Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00226d55b05d0a2e651e80b367f86f67,00226d55b05d0a2e651e80b367f86f67,No,NoDisponible,,,,,,,
191,Anaxyrus speciosus,166099,-100.5334922,25.85,,False,3,4.36,Amphibia,Anura,Bufonidae,950,Dulceacuícola; Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=003b5e49eb1c6879e9421331d8d6b116,003b5e49eb1c6879e9421331d8d6b116,No,NoDisponible,,,,,,,
333,Anaxyrus speciosus,175526,-99.1369444,23.1813889,,False,2,-7.65,Amphibia,Anura,Bufonidae,379,Dulceacuícola; Terrestre,1963,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=012f3e46f2f5efd29014226ae4d9f9e8,012f3e46f2f5efd29014226ae4d9f9e8,No,NoDisponible,,,,,,,
336,Anaxyrus speciosus,190672,-97.5055556,25.775,,False,3,5.98,Amphibia,Anura,Bufonidae,12,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0162c06b3f41843d131949fd361b4a8f,0162c06b3f41843d131949fd361b4a8f,No,NoDisponible,,,,,,,
259,Anaxyrus speciosus,190609,-97.7011111,25.3297222,,False,3,4.04,Amphibia,Anura,Bufonidae,10,Dulceacuícola; Terrestre,1949,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0190b433652b3ca438dad07832a6fb81,0190b433652b3ca438dad07832a6fb81,Si,NoDisponible,No,Si,Si,,,,
135,Anaxyrus speciosus,151775,-102.080205,26.98,,False,3,12.62,Amphibia,Anura,Bufonidae,741,Dulceacuícola; Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0230158f3706129dc73ae152be9d9ec0,0230158f3706129dc73ae152be9d9ec0,Si,NoDisponible,Si,Si,Si,,,,
317,Anaxyrus speciosus,180815,-98.6544444,26.2297222,,False,3,10.11,Amphibia,Anura,Bufonidae,45,Dulceacuícola; Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03cbce775a926c4bdf624328ca757d99,03cbce775a926c4bdf624328ca757d99,No,NoDisponible,,,,,,,
137,Anaxyrus speciosus,151775,-102.0631388,26.9842222,,False,3,12.62,Amphibia,Anura,Bufonidae,741,Dulceacuícola; Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0610ac26b2993b3da52f980d59fcd980,0610ac26b2993b3da52f980d59fcd980,Si,NoDisponible,Si,Si,Si,,,,
393,Anaxyrus speciosus,156699,-101.5075833,27.8783888,,False,3,9.54,Amphibia,Anura,Bufonidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=068e71544b4d210beadd06ad7f0c0860,068e71544b4d210beadd06ad7f0c0860,No,NoDisponible,,,,,,,
216,Anaxyrus speciosus,175616,-98.9301154,23.95,,False,3,11.42,Amphibia,Anura,Bufonidae,154,Dulceacuícola; Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06c6e8f021b463149c550457e3b7c64f,06c6e8f021b463149c550457e3b7c64f,No,NoDisponible,,,,,,,
