,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
22,Bolitoglossa engelhardti,230714,-92.1141666,15.1294444,,False,2,63.56,Amphibia,Caudata,Plethodontidae,3740,Terrestre,1978,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06534d2da47ca317cda4f17edc438edb,06534d2da47ca317cda4f17edc438edb,No,NoDisponible,NoDisponible,,,,,,
27,Bolitoglossa engelhardti,230753,-92.2639997,15.3369997,,False,2,70.05,Amphibia,Caudata,Plethodontidae,1794,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0684dd59c4e7d32976824e20693614b5,0684dd59c4e7d32976824e20693614b5,No,NoDisponible,NoDisponible,,,,,,
17,Bolitoglossa engelhardti,230714,-92.1139997,15.1289972,,False,2,63.56,Amphibia,Caudata,Plethodontidae,3700,Terrestre,1978,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3129ea12b9f85e86567a0e9f0fa696a2,3129ea12b9f85e86567a0e9f0fa696a2,No,NoDisponible,NoDisponible,,,,,,
7,Bolitoglossa engelhardti,230713,-92.0838889,15.0861111,,False,3,105.32,Amphibia,Caudata,Plethodontidae,1679,Terrestre,1978,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=33f3cac268f05a71183ede35ad691a59,33f3cac268f05a71183ede35ad691a59,No,NoDisponible,NoDisponible,,,,,,
14,Bolitoglossa engelhardti,230686,-92.3629997,15.318,,False,2,65.86,Amphibia,Caudata,Plethodontidae,915,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=344bddff044ba66a70e611efc1446c26,344bddff044ba66a70e611efc1446c26,No,NoDisponible,NoDisponible,,,,,,
46,Bolitoglossa engelhardti,230696,-92.1413889,15.0361111,,True,1,-19.92,Amphibia,Caudata,Plethodontidae,695,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=382066475b18e998fe3281c4676df203,382066475b18e998fe3281c4676df203,No,NoDisponible,NoDisponible,,,,,,
24,Bolitoglossa engelhardti,230714,-92.1141666,15.1294444,,False,2,63.56,Amphibia,Caudata,Plethodontidae,3740,Terrestre,1978,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ab22233a74fce8f23c3ccbaed2e8e41,3ab22233a74fce8f23c3ccbaed2e8e41,No,NoDisponible,NoDisponible,,,,,,
34,Bolitoglossa engelhardti,230753,-92.2641666,15.3374999,,False,2,70.05,Amphibia,Caudata,Plethodontidae,1796,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c205b8722709dc04b7afe00fa0da904,3c205b8722709dc04b7afe00fa0da904,No,NoDisponible,NoDisponible,,,,,,
18,Bolitoglossa engelhardti,230714,-92.1139997,15.1289972,,False,2,63.56,Amphibia,Caudata,Plethodontidae,3700,Terrestre,1978,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=421a250e53a913c0cc310a3f82286468,421a250e53a913c0cc310a3f82286468,No,NoDisponible,NoDisponible,,,,,,
8,Bolitoglossa engelhardti,230713,-92.0838889,15.0861111,,False,3,105.32,Amphibia,Caudata,Plethodontidae,1679,Terrestre,1980,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=458616b44a2a367d8c62f63dbed1106b,458616b44a2a367d8c62f63dbed1106b,No,NoDisponible,NoDisponible,,,,,,
