,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
95,Bolitoglossa hartwegi,226684,-92.5869444,16.85,,False,8,39.66,Amphibia,Caudata,Plethodontidae,2449,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b1c3a1b858d84997f60639e436ee05,00b1c3a1b858d84997f60639e436ee05,No,NoDisponible,NoDisponible,,,,,,
218,Bolitoglossa hartwegi,226672,-92.5733333,16.6744444,,False,8,36.94,Amphibia,Caudata,Plethodontidae,2355,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=022ed7e86208376daef30d4d30d0355f,022ed7e86208376daef30d4d30d0355f,No,NoDisponible,NoDisponible,,,,,,
219,Bolitoglossa hartwegi,226672,-92.5733333,16.6744444,,False,8,36.94,Amphibia,Caudata,Plethodontidae,2355,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=031cd270eb06eba02e4d8188c3750acf,031cd270eb06eba02e4d8188c3750acf,No,NoDisponible,NoDisponible,,,,,,
69,Bolitoglossa hartwegi,226684,-92.5869997,16.85,,False,8,39.66,Amphibia,Caudata,Plethodontidae,2449,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04ed51ccab604ea320be84a5f22f9362,04ed51ccab604ea320be84a5f22f9362,No,NoDisponible,NoDisponible,,,,,,
42,Bolitoglossa hartwegi,226684,-92.5789997,16.826,,False,8,39.66,Amphibia,Caudata,Plethodontidae,2700,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=054100c15f65581c69dd648e48619ae0,054100c15f65581c69dd648e48619ae0,No,NoDisponible,NoDisponible,,,,,,
43,Bolitoglossa hartwegi,226684,-92.5789997,16.826,,False,8,39.66,Amphibia,Caudata,Plethodontidae,2700,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=057ed3bdb0e23164d4852d34657d09b2,057ed3bdb0e23164d4852d34657d09b2,No,NoDisponible,NoDisponible,,,,,,
4,Bolitoglossa hartwegi,226681,-92.69966,16.72427,,False,8,36.14,Amphibia,Caudata,Plethodontidae,2385,Terrestre,2007,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05d5280bf12bd5e96dc4b98d914ec1bf,05d5280bf12bd5e96dc4b98d914ec1bf,No,NoDisponible,NoDisponible,,,,,,
323,Bolitoglossa hartwegi,226670,-92.6944444,16.6827778,,False,9,42.69,Amphibia,Caudata,Plethodontidae,1978,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06443f0369dc7717bd5c29f7500b72d9,06443f0369dc7717bd5c29f7500b72d9,No,NoDisponible,NoDisponible,,,,,,
116,Bolitoglossa hartwegi,226684,-92.5875,16.8138889,,False,8,39.66,Amphibia,Caudata,Plethodontidae,2692,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0797c8aaa20ddc51b76415d5284cab33,0797c8aaa20ddc51b76415d5284cab33,No,NoDisponible,NoDisponible,,,,,,
296,Bolitoglossa hartwegi,226687,-92.5869444,16.8636111,,False,9,43.08,Amphibia,Caudata,Plethodontidae,2193,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07d0198e20b968e9e9e66799fadb859e,07d0198e20b968e9e9e66799fadb859e,No,NoDisponible,NoDisponible,,,,,,
