,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
307,Bolitoglossa mexicana,235158,-91.9805556,17.5083333,,False,3,21.69,Amphibia,Caudata,Plethodontidae,86,Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0132ab0ffbc8f9749a1c7cc552ac1cc8,0132ab0ffbc8f9749a1c7cc552ac1cc8,No,NoDisponible,NoDisponible,,,,,,
1,Bolitoglossa mexicana,222485,-93.65,16.9027778,,False,3,26.69,Amphibia,Caudata,Plethodontidae,552,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01443caae1cf1f5b6045055ef324068d,01443caae1cf1f5b6045055ef324068d,No,NoDisponible,NoDisponible,,,,,,
87,Bolitoglossa mexicana,209080,-95.0669,18.5863,,False,3,25.46,Amphibia,Caudata,Plethodontidae,187,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01608d9dc45fe4073a9430c6a0f87a3b,01608d9dc45fe4073a9430c6a0f87a3b,No,NoDisponible,NoDisponible,,,,,,
308,Bolitoglossa mexicana,235158,-91.9805556,17.5083333,,False,3,21.69,Amphibia,Caudata,Plethodontidae,86,Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=020974822b288f90d7026800fa80dd77,020974822b288f90d7026800fa80dd77,No,NoDisponible,NoDisponible,,,,,,
83,Bolitoglossa mexicana,209080,-95.0519444,18.5916667,,False,3,25.46,Amphibia,Caudata,Plethodontidae,63,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0281cb4552c6f3a7b5f314d0fb0d0fce,0281cb4552c6f3a7b5f314d0fb0d0fce,No,NoDisponible,NoDisponible,,,,,,
88,Bolitoglossa mexicana,209080,-95.069376,18.585242,,False,3,25.46,Amphibia,Caudata,Plethodontidae,167,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02934c0f3c22ed35656142603ed93c23,02934c0f3c22ed35656142603ed93c23,No,NoDisponible,NoDisponible,,,,,,
12,Bolitoglossa mexicana,230945,-92.2416667,17.0388889,,False,4,38.1,Amphibia,Caudata,Plethodontidae,1448,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02c2374b54c685b28848fb83cb8debe1,02c2374b54c685b28848fb83cb8debe1,No,NoDisponible,NoDisponible,,,,,,
309,Bolitoglossa mexicana,235158,-91.9805556,17.5083333,,False,3,21.69,Amphibia,Caudata,Plethodontidae,86,Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02fe485c5862b78bedf75bc7b19a9ef4,02fe485c5862b78bedf75bc7b19a9ef4,No,NoDisponible,NoDisponible,,,,,,
89,Bolitoglossa mexicana,209080,-95.0669,18.5863,,False,3,25.46,Amphibia,Caudata,Plethodontidae,187,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03c4e818e36341447f51a4b12c49bdee,03c4e818e36341447f51a4b12c49bdee,No,NoDisponible,NoDisponible,,,,,,
90,Bolitoglossa mexicana,209080,-95.069376,18.585242,,False,3,25.46,Amphibia,Caudata,Plethodontidae,167,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03e3f7809d1dd9b4c68fa8d1e637de7f,03e3f7809d1dd9b4c68fa8d1e637de7f,No,NoDisponible,NoDisponible,,,,,,
414,Bolitoglossa mexicana,222516,-93.3375,16.8302778,,False,2,6.54,Amphibia,Caudata,Plethodontidae,953,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03f856025d9e5a5ab654c0ba9869e153,03f856025d9e5a5ab654c0ba9869e153,No,NoDisponible,NoDisponible,,,,,,
380,Bolitoglossa mexicana,226699,-92.8574254,17.0504597,,False,3,14.08,Amphibia,Caudata,Plethodontidae,1668,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=042679d744fb094e9fb022dfe0f89dfd,042679d744fb094e9fb022dfe0f89dfd,No,NoDisponible,NoDisponible,,,,,,
91,Bolitoglossa mexicana,209080,-95.0669,18.5863,,False,3,25.46,Amphibia,Caudata,Plethodontidae,187,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04312de96e2175cdea4a96e8b1d2f126,04312de96e2175cdea4a96e8b1d2f126,No,NoDisponible,NoDisponible,,,,,,
424,Bolitoglossa mexicana,235054,-91.4905556,16.1347222,,False,4,33.79,Amphibia,Caudata,Plethodontidae,735,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0438574879924110906cf941549b8808,0438574879924110906cf941549b8808,No,NoDisponible,NoDisponible,,,,,,
92,Bolitoglossa mexicana,209080,-95.069376,18.585242,,False,3,25.46,Amphibia,Caudata,Plethodontidae,167,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0659f21056cdba339ee0058c42c5d32e,0659f21056cdba339ee0058c42c5d32e,No,NoDisponible,NoDisponible,,,,,,
93,Bolitoglossa mexicana,209080,-95.0669,18.5863,,False,3,25.46,Amphibia,Caudata,Plethodontidae,187,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06857a8683f5cc3a0493aa5fe1bc456a,06857a8683f5cc3a0493aa5fe1bc456a,No,NoDisponible,NoDisponible,,,,,,
94,Bolitoglossa mexicana,209080,-95.069376,18.585242,,False,3,25.46,Amphibia,Caudata,Plethodontidae,167,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06f54e6ecbedac82447eab582b223e82,06f54e6ecbedac82447eab582b223e82,No,NoDisponible,NoDisponible,,,,,,
430,Bolitoglossa mexicana,209075,-95.0122,18.38678,,False,4,34.77,Amphibia,Caudata,Plethodontidae,322,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=075028eb1a99430ba96cadd2cbc226fc,075028eb1a99430ba96cadd2cbc226fc,No,NoDisponible,NoDisponible,,,,,,
310,Bolitoglossa mexicana,235158,-91.9805556,17.5083333,,False,3,21.69,Amphibia,Caudata,Plethodontidae,86,Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=077edfb59b29b0d65a0934120a650b94,077edfb59b29b0d65a0934120a650b94,No,NoDisponible,NoDisponible,,,,,,
311,Bolitoglossa mexicana,235158,-91.9805556,17.5083333,,False,3,21.69,Amphibia,Caudata,Plethodontidae,86,Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0822bf1c16cc8d648e127b5b8ac49f6c,0822bf1c16cc8d648e127b5b8ac49f6c,No,NoDisponible,NoDisponible,,,,,,
95,Bolitoglossa mexicana,209080,-95.069376,18.585242,,False,3,25.46,Amphibia,Caudata,Plethodontidae,167,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08e6eeb9ffea73ce9b5dfc7bfcd20be6,08e6eeb9ffea73ce9b5dfc7bfcd20be6,No,NoDisponible,NoDisponible,,,,,,
96,Bolitoglossa mexicana,209080,-95.069376,18.585242,,False,3,25.46,Amphibia,Caudata,Plethodontidae,167,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09403f09d21f6fface2601b070cd608b,09403f09d21f6fface2601b070cd608b,No,NoDisponible,NoDisponible,,,,,,
265,Bolitoglossa mexicana,226700,-92.8661111,17.0847222,,False,3,18.1,Amphibia,Caudata,Plethodontidae,1679,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0978f9931d1a17edc670749df48066ed,0978f9931d1a17edc670749df48066ed,No,NoDisponible,NoDisponible,,,,,,
97,Bolitoglossa mexicana,209080,-95.069376,18.585242,,False,3,25.46,Amphibia,Caudata,Plethodontidae,167,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b020b317656d2fccbee8bb731934539,0b020b317656d2fccbee8bb731934539,No,NoDisponible,NoDisponible,,,,,,
312,Bolitoglossa mexicana,235158,-91.9805556,17.5083333,,False,3,21.69,Amphibia,Caudata,Plethodontidae,86,Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b067b65b08e8e095d74be40df21e051,0b067b65b08e8e095d74be40df21e051,No,NoDisponible,NoDisponible,,,,,,
19,Bolitoglossa mexicana,222486,-93.65,16.9361111,,False,4,35.86,Amphibia,Caudata,Plethodontidae,626,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b4c4c9aac63886cdd60b489827e6c51,0b4c4c9aac63886cdd60b489827e6c51,No,NoDisponible,NoDisponible,,,,,,
313,Bolitoglossa mexicana,235158,-91.9805556,17.5083333,,False,3,21.69,Amphibia,Caudata,Plethodontidae,86,Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bd98ec849b55d484c4531d83a89b2fa,0bd98ec849b55d484c4531d83a89b2fa,No,NoDisponible,NoDisponible,,,,,,
384,Bolitoglossa mexicana,226642,-93.0666219,16.81944,,False,2,-0.06,Amphibia,Caudata,Plethodontidae,618,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c223dfcfb9a786bd9a0412030b1fbdb,0c223dfcfb9a786bd9a0412030b1fbdb,No,NoDisponible,NoDisponible,,,,,,
250,Bolitoglossa mexicana,226700,-92.867,17.085,,False,3,18.1,Amphibia,Caudata,Plethodontidae,1661,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ca8ba47527b5724ccec8dc80468265d,0ca8ba47527b5724ccec8dc80468265d,No,NoDisponible,NoDisponible,,,,,,
404,Bolitoglossa mexicana,230982,-92.5199747,17.7853077,,False,3,27.86,Amphibia,Caudata,Plethodontidae,17,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cc8f4955db189b48fe0deb85e950c76,0cc8f4955db189b48fe0deb85e950c76,No,NoDisponible,NoDisponible,,,,,,
432,Bolitoglossa mexicana,209070,-94.94333,18.33306,,False,4,37.64,Amphibia,Caudata,Plethodontidae,851,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ebc4d55420f9d0e492096776f3bfde6,0ebc4d55420f9d0e492096776f3bfde6,No,NoDisponible,NoDisponible,,,,,,
98,Bolitoglossa mexicana,209080,-95.069376,18.585242,,False,3,25.46,Amphibia,Caudata,Plethodontidae,167,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ed40dbbac4a77c6d6f6830788277d34,0ed40dbbac4a77c6d6f6830788277d34,No,NoDisponible,NoDisponible,,,,,,
32,Bolitoglossa mexicana,230976,-91.9916283,17.5417,,False,3,28.39,Amphibia,Caudata,Plethodontidae,87,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ee309d958d64297e7eacacfeabd6f30,0ee309d958d64297e7eacacfeabd6f30,No,NoDisponible,NoDisponible,,,,,,
5,Bolitoglossa mexicana,222531,-93.6061111,17.0086111,,False,4,40.67,Amphibia,Caudata,Plethodontidae,761,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f9badd4af70a5ec66bf4b1907b712b7,0f9badd4af70a5ec66bf4b1907b712b7,No,NoDisponible,NoDisponible,,,,,,
18,Bolitoglossa mexicana,230945,-92.2416,17.0458,,False,4,38.1,Amphibia,Caudata,Plethodontidae,1482,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10ae29b03ee3471e397f2810b26fe440,10ae29b03ee3471e397f2810b26fe440,No,NoDisponible,NoDisponible,,,,,,
