,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
138,Bolitoglossa platydactyla,194824,-97.033385,18.8666667,,False,9,19.61,Amphibia,Caudata,Plethodontidae,1168,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=003dd3641f1b85f30d5550de888c18d3,003dd3641f1b85f30d5550de888c18d3,No,NoDisponible,,,,,,,
236,Bolitoglossa platydactyla,194822,-97.10386,18.85035,,False,8,16.92,Amphibia,Caudata,Plethodontidae,1247,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=008eea05c183f9c9a5050bf74baa3e36,008eea05c183f9c9a5050bf74baa3e36,No,NoDisponible,,,,,,,
252,Bolitoglossa platydactyla,194854,-96.825,18.8583333,,False,10,28.55,Amphibia,Caudata,Plethodontidae,577,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00c95c545b90cfbc7ae6414431504c00,00c95c545b90cfbc7ae6414431504c00,No,NoDisponible,,,,,,,
260,Bolitoglossa platydactyla,194854,-96.8416667,18.875,,False,10,28.55,Amphibia,Caudata,Plethodontidae,608,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=010c1585b5a860d8672fdd4b63888ff5,010c1585b5a860d8672fdd4b63888ff5,No,NoDisponible,,,,,,,
54,Bolitoglossa platydactyla,194824,-97.033385,18.8666667,,False,9,19.61,Amphibia,Caudata,Plethodontidae,1168,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=011e073590f0c239547f503ee9af86aa,011e073590f0c239547f503ee9af86aa,No,NoDisponible,,,,,,,
55,Bolitoglossa platydactyla,194824,-97.033385,18.8666667,,False,9,19.61,Amphibia,Caudata,Plethodontidae,1168,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01322aa2e2e2bc1f729c1986fdc5bad9,01322aa2e2e2bc1f729c1986fdc5bad9,No,NoDisponible,,,,,,,
674,Bolitoglossa platydactyla,199574,-96.5669444,18.0669444,,False,10,38.06,Amphibia,Caudata,Plethodontidae,665,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=014dede32675824a789311b9d6a31d6a,014dede32675824a789311b9d6a31d6a,No,NoDisponible,,,,,,,
166,Bolitoglossa platydactyla,194929,-96.8727166,19.5056863,,False,9,22.91,Amphibia,Caudata,Plethodontidae,1264,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=015491b0adef36dde9cfbbef39648600,015491b0adef36dde9cfbbef39648600,No,NoDisponible,,,,,,,
309,Bolitoglossa platydactyla,194854,-96.8416667,18.8783333,,False,10,28.55,Amphibia,Caudata,Plethodontidae,606,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01954dc9889dbf55beaf4e47029145bd,01954dc9889dbf55beaf4e47029145bd,No,NoDisponible,,,,,,,
15,Bolitoglossa platydactyla,194824,-97.0416667,18.875,,False,9,19.61,Amphibia,Caudata,Plethodontidae,1093,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02855cb8b14d4552c6ce3141f3f6d303,02855cb8b14d4552c6ce3141f3f6d303,No,NoDisponible,,,,,,,
277,Bolitoglossa platydactyla,194854,-96.8433333,18.875,,False,10,28.55,Amphibia,Caudata,Plethodontidae,610,Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02b7f65a6d0c941c69c7486a20687010,02b7f65a6d0c941c69c7486a20687010,No,NoDisponible,,,,,,,
181,Bolitoglossa platydactyla,194832,-96.9300496,18.88,,False,10,24.77,Amphibia,Caudata,Plethodontidae,832,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02e70de1026d1fe2e6bc64fbc0433078,02e70de1026d1fe2e6bc64fbc0433078,No,NoDisponible,,,,,,,
506,Bolitoglossa platydactyla,194830,-96.9977777,18.8969444,,False,9,21.82,Amphibia,Caudata,Plethodontidae,996,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0308c7cf2db3b6042a1dae6e76dace58,0308c7cf2db3b6042a1dae6e76dace58,No,NoDisponible,,,,,,,
713,Bolitoglossa platydactyla,189979,-97.50835,20.0022667,,False,10,26.81,Amphibia,Caudata,Plethodontidae,1050,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03352580420cce68d0f5b594697eb769,03352580420cce68d0f5b594697eb769,No,NoDisponible,,,,,,,
278,Bolitoglossa platydactyla,194854,-96.8433333,18.875,,False,10,28.55,Amphibia,Caudata,Plethodontidae,610,Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03de577178bff67e97f443604594a181,03de577178bff67e97f443604594a181,No,NoDisponible,,,,,,,
381,Bolitoglossa platydactyla,194894,-96.9717192,19.385,,False,9,19.22,Amphibia,Caudata,Plethodontidae,1181,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=041a52327bd00bcd1ea9d168b4ce4e16,041a52327bd00bcd1ea9d168b4ce4e16,No,NoDisponible,,,,,,,
404,Bolitoglossa platydactyla,194891,-96.8808825,19.215,,False,10,26.11,Amphibia,Caudata,Plethodontidae,1026,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=041e6001761016151629d25723493f85,041e6001761016151629d25723493f85,No,NoDisponible,,,,,,,
261,Bolitoglossa platydactyla,194854,-96.8416667,18.875,,False,10,28.55,Amphibia,Caudata,Plethodontidae,608,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0445175a18da4486d65e9a51a42ce05a,0445175a18da4486d65e9a51a42ce05a,No,NoDisponible,,,,,,,
50,Bolitoglossa platydactyla,194824,-97.0272222,18.8497222,,False,9,19.61,Amphibia,Caudata,Plethodontidae,1116,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=049cf89fe468f6ea24bc1cca78fb58fc,049cf89fe468f6ea24bc1cca78fb58fc,No,NoDisponible,,,,,,,
618,Bolitoglossa platydactyla,194923,-96.658,19.2011056,,False,7,10.9,Amphibia,Caudata,Plethodontidae,385,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04d5fd2090c339e0c2c529b095b02fa3,04d5fd2090c339e0c2c529b095b02fa3,No,NoDisponible,,,,,,,
205,Bolitoglossa platydactyla,194822,-97.1033333,18.8583333,,False,8,16.92,Amphibia,Caudata,Plethodontidae,1250,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04f13177e653717e6417c2866576bd1b,04f13177e653717e6417c2866576bd1b,No,NoDisponible,,,,,,,
560,Bolitoglossa platydactyla,194846,-96.9808333,19.1413888,,False,10,29.07,Amphibia,Caudata,Plethodontidae,1347,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0528feda86cb04839c5f8bd9ad6a57d1,0528feda86cb04839c5f8bd9ad6a57d1,No,NoDisponible,,,,,,,
406,Bolitoglossa platydactyla,194908,-96.9416667,19.5416667,,False,9,23.41,Amphibia,Caudata,Plethodontidae,1418,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05722c32263ac9ac7d6242311e0c78b7,05722c32263ac9ac7d6242311e0c78b7,No,NoDisponible,,,,,,,
154,Bolitoglossa platydactyla,199751,-96.4583333,19.3416667,,False,6,1.52,Amphibia,Caudata,Plethodontidae,74,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05837a3cd792f69f4c3d08604cfe8ca1,05837a3cd792f69f4c3d08604cfe8ca1,Si,NoDisponible,Si,Si,Si,,,,
458,Bolitoglossa platydactyla,194926,-96.7083333,19.4416667,,False,9,19.72,Amphibia,Caudata,Plethodontidae,617,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=060b4a5c37afc4d6c79ec761b8afa89c,060b4a5c37afc4d6c79ec761b8afa89c,No,NoDisponible,,,,,,,
56,Bolitoglossa platydactyla,194824,-97.033385,18.8666667,,False,9,19.61,Amphibia,Caudata,Plethodontidae,1168,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=061f3f604531e612410fff59594690ff,061f3f604531e612410fff59594690ff,No,NoDisponible,,,,,,,
207,Bolitoglossa platydactyla,194822,-97.1033866,18.85,,False,8,16.92,Amphibia,Caudata,Plethodontidae,1247,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0634c95df9d093affae8325380277b47,0634c95df9d093affae8325380277b47,No,NoDisponible,,,,,,,
684,Bolitoglossa platydactyla,189980,-97.5098667,20.0760167,,False,10,29.35,Amphibia,Caudata,Plethodontidae,291,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=066e38239c8a94125e14d89980ff26e1,066e38239c8a94125e14d89980ff26e1,No,NoDisponible,,,,,,,
725,Bolitoglossa platydactyla,189977,-97.5214167,20.0185,,False,10,29.7,Amphibia,Caudata,Plethodontidae,952,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=078fc4509b22b04df9abbe01567adb19,078fc4509b22b04df9abbe01567adb19,No,NoDisponible,,,,,,,
443,Bolitoglossa platydactyla,175341,-99.0022202,21.5102786,,False,10,28.41,Amphibia,Caudata,Plethodontidae,105,Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07b8e51518e002c63d0bfaf9923f0542,07b8e51518e002c63d0bfaf9923f0542,No,NoDisponible,,,,,,,
657,Bolitoglossa platydactyla,185464,-97.881944,23.927778,,True,5,-2.35,Amphibia,Caudata,Plethodontidae,37,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=081227e19cfd7d8bd1e0ff5d5e0ab324,081227e19cfd7d8bd1e0ff5d5e0ab324,No,NoDisponible,,,,,,,
248,Bolitoglossa platydactyla,194888,-97.025,19.425,,False,8,16.4,Amphibia,Caudata,Plethodontidae,1393,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a5eec75ef25780481b2e2b43d1d7ab0,0a5eec75ef25780481b2e2b43d1d7ab0,No,NoDisponible,,,,,,,
179,Bolitoglossa platydactyla,194832,-96.9349999,18.8969444,,False,10,24.77,Amphibia,Caudata,Plethodontidae,854,Terrestre,1976,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a63a15766afc5121cc52f69ac326e6b,0a63a15766afc5121cc52f69ac326e6b,No,NoDisponible,,,,,,,
39,Bolitoglossa platydactyla,194824,-97.0219997,18.87,,False,9,19.61,Amphibia,Caudata,Plethodontidae,989,Terrestre,1818,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ae10a7afe5ffd55c537b3d866542502,0ae10a7afe5ffd55c537b3d866542502,No,NoDisponible,,,,,,,
200,Bolitoglossa platydactyla,180194,-98.5583333,20.9083333,,False,10,32.72,Amphibia,Caudata,Plethodontidae,927,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ae7bf5bcf7985cbcdfa9a8a0d1747b3,0ae7bf5bcf7985cbcdfa9a8a0d1747b3,No,NoDisponible,,,,,,,
454,Bolitoglossa platydactyla,194814,-96.684528,18.5999722,,False,10,31.11,Amphibia,Caudata,Plethodontidae,219,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0afa1aa14d575b6a034659d01e2a607c,0afa1aa14d575b6a034659d01e2a607c,No,NoDisponible,,,,,,,
182,Bolitoglossa platydactyla,194832,-96.9300496,18.88,,False,10,24.77,Amphibia,Caudata,Plethodontidae,832,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b9367ea8067c28db1f7a6f039a18d50,0b9367ea8067c28db1f7a6f039a18d50,No,NoDisponible,,,,,,,
297,Bolitoglossa platydactyla,194854,-96.84,18.88,,False,10,28.55,Amphibia,Caudata,Plethodontidae,610,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bbacc9994cbf164086aa9dead771c08,0bbacc9994cbf164086aa9dead771c08,No,NoDisponible,,,,,,,
320,Bolitoglossa platydactyla,194854,-96.8417145,18.875,,False,10,28.55,Amphibia,Caudata,Plethodontidae,608,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bc7f053e0ed4b7314616f78cb7c2acf,0bc7f053e0ed4b7314616f78cb7c2acf,No,NoDisponible,,,,,,,
