,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
0,Bolitoglossa riletti,184632,-97.9083333,16.9916667,,False,1,29.02,Amphibia,Caudata,Plethodontidae,750,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1434657ee662d3aece57da5ba552fa5b,1434657ee662d3aece57da5ba552fa5b,No,,,,,,,,
1,Bolitoglossa riletti,184632,-97.9083333,16.9916667,,False,1,29.02,Amphibia,Caudata,Plethodontidae,750,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a1fedd2dfe9a98be136ecaacabbfa76,1a1fedd2dfe9a98be136ecaacabbfa76,No,,,,,,,,
2,Bolitoglossa riletti,184632,-97.926,16.954,,False,1,29.02,Amphibia,Caudata,Plethodontidae,804,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=263d95d463e754babfce14806f91dd3a,263d95d463e754babfce14806f91dd3a,No,,,,,,,,
3,Bolitoglossa riletti,184632,-97.926,16.954,,False,1,29.02,Amphibia,Caudata,Plethodontidae,804,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cd5580ecf857bd33fbee629e2c6057b0,cd5580ecf857bd33fbee629e2c6057b0,No,,,,,,,,
4,Bolitoglossa riletti,184632,-97.9289972,16.971,,False,1,29.02,Amphibia,Caudata,Plethodontidae,780,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1d3e70498e2b9ed458c1406a3b43644b,1d3e70498e2b9ed458c1406a3b43644b,No,,,,,,,,
5,Bolitoglossa riletti,184632,-97.8939997,16.9869997,,False,1,29.02,Amphibia,Caudata,Plethodontidae,722,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c1207c98be9734152cbfa5071ce0560,0c1207c98be9734152cbfa5071ce0560,No,,,,,,,,
6,Bolitoglossa riletti,184632,-97.8939997,16.9869997,,False,1,29.02,Amphibia,Caudata,Plethodontidae,722,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=17a9758c65a90c9c58fc8bb04466ed35,17a9758c65a90c9c58fc8bb04466ed35,No,,,,,,,,
7,Bolitoglossa riletti,184632,-97.8939997,16.9869997,,False,1,29.02,Amphibia,Caudata,Plethodontidae,722,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2470ccab349dde0198315b52d453714f,2470ccab349dde0198315b52d453714f,No,,,,,,,,
8,Bolitoglossa riletti,184632,-97.8939997,16.9869997,,False,1,29.02,Amphibia,Caudata,Plethodontidae,722,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=303d4e60508145cf859b95df80d93c1d,303d4e60508145cf859b95df80d93c1d,No,,,,,,,,
9,Bolitoglossa riletti,184632,-97.8939997,16.9869997,,False,1,29.02,Amphibia,Caudata,Plethodontidae,722,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6a08d52de9fbfbd2602bf80655ae5cb1,6a08d52de9fbfbd2602bf80655ae5cb1,No,,,,,,,,
10,Bolitoglossa riletti,184632,-97.8939997,16.9869997,,False,1,29.02,Amphibia,Caudata,Plethodontidae,722,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=82e8653c50733772619efe067b270310,82e8653c50733772619efe067b270310,No,,,,,,,,
11,Bolitoglossa riletti,184632,-97.8939997,16.9869997,,False,1,29.02,Amphibia,Caudata,Plethodontidae,722,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8b4b8f12fe0edf0408f88e240fbbe20e,8b4b8f12fe0edf0408f88e240fbbe20e,No,,,,,,,,
12,Bolitoglossa riletti,184632,-97.8939997,16.9869997,,False,1,29.02,Amphibia,Caudata,Plethodontidae,722,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ae248401eaf7a5215aed4226b036df40,ae248401eaf7a5215aed4226b036df40,No,,,,,,,,
13,Bolitoglossa riletti,184632,-97.8939997,16.9869997,,False,1,29.02,Amphibia,Caudata,Plethodontidae,722,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c1136663ba8f088182652ac1529c30ab,c1136663ba8f088182652ac1529c30ab,No,,,,,,,,
14,Bolitoglossa riletti,184632,-97.9289997,16.938,,False,1,29.02,Amphibia,Caudata,Plethodontidae,892,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=053a952d95f34db64ce3e8e9b487acc8,053a952d95f34db64ce3e8e9b487acc8,No,,,,,,,,
15,Bolitoglossa riletti,184632,-97.9289997,16.938,,False,1,29.02,Amphibia,Caudata,Plethodontidae,892,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=24573566c5c56e0aa3cacaf5adb262c1,24573566c5c56e0aa3cacaf5adb262c1,No,,,,,,,,
16,Bolitoglossa riletti,184632,-97.9289997,16.938,,False,1,29.02,Amphibia,Caudata,Plethodontidae,892,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7c509d0b4e0f0f6b0db75ffc3dd74449,7c509d0b4e0f0f6b0db75ffc3dd74449,No,,,,,,,,
17,Bolitoglossa riletti,184632,-97.9289997,16.938,,False,1,29.02,Amphibia,Caudata,Plethodontidae,892,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=89d8c1a3cd0e2909769226a48ab2e4a5,89d8c1a3cd0e2909769226a48ab2e4a5,No,,,,,,,,
18,Bolitoglossa riletti,184632,-97.9289997,16.938,,False,1,29.02,Amphibia,Caudata,Plethodontidae,892,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9194d4587096b94afef8d3267c77c449,9194d4587096b94afef8d3267c77c449,No,,,,,,,,
19,Bolitoglossa riletti,184632,-97.9289997,16.938,,False,1,29.02,Amphibia,Caudata,Plethodontidae,892,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=933d7fd276cf90aebfe5d6fda2bba336,933d7fd276cf90aebfe5d6fda2bba336,No,,,,,,,,
20,Bolitoglossa riletti,184632,-97.9289997,16.938,,False,1,29.02,Amphibia,Caudata,Plethodontidae,892,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a793d80e7768f0985c0bff2fdb72df3d,a793d80e7768f0985c0bff2fdb72df3d,No,,,,,,,,
21,Bolitoglossa riletti,184632,-97.9289997,16.938,,False,1,29.02,Amphibia,Caudata,Plethodontidae,892,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d788a6854cedbc4bbce6106ab793693e,d788a6854cedbc4bbce6106ab793693e,No,,,,,,,,
22,Bolitoglossa riletti,184632,-97.9289997,16.938,,False,1,29.02,Amphibia,Caudata,Plethodontidae,892,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f7d9549e7b97feb4bbcb8f5ff308f077,f7d9549e7b97feb4bbcb8f5ff308f077,No,,,,,,,,
23,Bolitoglossa riletti,184632,-97.8938888,16.9872222,,False,1,29.02,Amphibia,Caudata,Plethodontidae,715,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=72c698f41b7c981f3ac8ef6eee6d988f,72c698f41b7c981f3ac8ef6eee6d988f,No,,,,,,,,
24,Bolitoglossa riletti,184632,-97.9291666,16.9380555,,False,1,29.02,Amphibia,Caudata,Plethodontidae,887,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=115b6365c8f4323718053ff024310ac9,115b6365c8f4323718053ff024310ac9,No,,,,,,,,
25,Bolitoglossa riletti,184632,-97.9291666,16.9380555,,False,1,29.02,Amphibia,Caudata,Plethodontidae,887,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2460cac639b4be58b367760b47e8ded1,2460cac639b4be58b367760b47e8ded1,No,,,,,,,,
26,Bolitoglossa riletti,184632,-97.9291666,16.9380555,,False,1,29.02,Amphibia,Caudata,Plethodontidae,887,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5314d04499a4617f2344c0560f09d860,5314d04499a4617f2344c0560f09d860,No,,,,,,,,
27,Bolitoglossa riletti,184632,-97.9291666,16.9380555,,False,1,29.02,Amphibia,Caudata,Plethodontidae,887,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=632750564f719c8c70ba97f20e92a7ed,632750564f719c8c70ba97f20e92a7ed,No,,,,,,,,
28,Bolitoglossa riletti,184632,-97.9291666,16.9380555,,False,1,29.02,Amphibia,Caudata,Plethodontidae,887,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=664e6f5d6d476de30918984c59778d82,664e6f5d6d476de30918984c59778d82,No,,,,,,,,
29,Bolitoglossa riletti,184632,-97.9291666,16.9380555,,False,1,29.02,Amphibia,Caudata,Plethodontidae,887,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=932c0f9f382c9d0829d9de87945a6e94,932c0f9f382c9d0829d9de87945a6e94,No,,,,,,,,
30,Bolitoglossa riletti,184632,-97.9291666,16.9380555,,False,1,29.02,Amphibia,Caudata,Plethodontidae,887,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a24389360e63d8a9852de31a26993d52,a24389360e63d8a9852de31a26993d52,No,,,,,,,,
31,Bolitoglossa riletti,184632,-97.9291666,16.9380555,,False,1,29.02,Amphibia,Caudata,Plethodontidae,887,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c976530dda280a1c7acadf3017947024,c976530dda280a1c7acadf3017947024,No,,,,,,,,
32,Bolitoglossa riletti,184632,-97.9291666,16.9380555,,False,1,29.02,Amphibia,Caudata,Plethodontidae,887,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f426f5688839b9a2e55f3a4782c3e784,f426f5688839b9a2e55f3a4782c3e784,No,,,,,,,,
33,Bolitoglossa riletti,184632,-97.9261111,16.9538888,,False,1,29.02,Amphibia,Caudata,Plethodontidae,804,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=24919f57be8814b5b09392e24871f246,24919f57be8814b5b09392e24871f246,No,,,,,,,,
34,Bolitoglossa riletti,184632,-97.9261111,16.9538888,,False,1,29.02,Amphibia,Caudata,Plethodontidae,804,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6bb45376e1886cb849ae4adae8f72ba3,6bb45376e1886cb849ae4adae8f72ba3,No,,,,,,,,
