,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
0,Bolitoglossa stuarti,235046,-91.6733333,16.1063889,,False,2,30.65,Amphibia,Caudata,Plethodontidae,1610,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e225248049556f80006ad3ff0d3394d,1e225248049556f80006ad3ff0d3394d,No,,,,,,,,
1,Bolitoglossa stuarti,235046,-91.6733333,16.1063889,,False,2,30.65,Amphibia,Caudata,Plethodontidae,1610,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a8691c6526566eba22d8c83dfabcb6b2,a8691c6526566eba22d8c83dfabcb6b2,No,,,,,,,,
2,Bolitoglossa stuarti,235024,-91.71827,16.10026,,False,2,31.15,Amphibia,Caudata,Plethodontidae,1555,Terrestre,2008,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5f751299f2d25b268fbcdc241bbfa04d,5f751299f2d25b268fbcdc241bbfa04d,No,,,,,,,,
3,Bolitoglossa stuarti,235024,-91.71827,16.10026,,False,2,31.15,Amphibia,Caudata,Plethodontidae,1555,Terrestre,2008,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=79b89fb674b446821327a38180879d6a,79b89fb674b446821327a38180879d6a,No,,,,,,,,
4,Bolitoglossa stuarti,235024,-91.72942,16.09941,,False,2,31.15,Amphibia,Caudata,Plethodontidae,1501,Terrestre,2008,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=068147d47b80addfc7ca26722940ca2e,068147d47b80addfc7ca26722940ca2e,No,,,,,,,,
5,Bolitoglossa stuarti,235024,-91.72942,16.09941,,False,2,31.15,Amphibia,Caudata,Plethodontidae,1501,Terrestre,2008,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a1a0563a31c5f99994325fb79ab5342,1a1a0563a31c5f99994325fb79ab5342,No,,,,,,,,
6,Bolitoglossa stuarti,235024,-91.72942,16.09941,,False,2,31.15,Amphibia,Caudata,Plethodontidae,1501,Terrestre,2008,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c8a5d5085a9e28ee65d3d0a6e4a6697,1c8a5d5085a9e28ee65d3d0a6e4a6697,No,,,,,,,,
7,Bolitoglossa stuarti,235024,-91.72942,16.09941,,False,2,31.15,Amphibia,Caudata,Plethodontidae,1501,Terrestre,2008,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=86f615c2955178e753fa15c514e44400,86f615c2955178e753fa15c514e44400,No,,,,,,,,
8,Bolitoglossa stuarti,235024,-91.72942,16.09941,,False,2,31.15,Amphibia,Caudata,Plethodontidae,1501,Terrestre,2008,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b9573d11b9aa450991489ddcd8629ad3,b9573d11b9aa450991489ddcd8629ad3,No,,,,,,,,
9,Bolitoglossa stuarti,235024,-91.716588,16.1125,,False,2,31.15,Amphibia,Caudata,Plethodontidae,1510,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c8813b2675741d11f842992e838aa58e,c8813b2675741d11f842992e838aa58e,No,,,,,,,,
