,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
19,Bromeliohyla dendroscarta,194824,-97.0224999,18.8699999,,False,7,28.31,Amphibia,Anura,Hylidae,991,Dulceacuícola; Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=001976f58d14a7721289e20a21d42a38,001976f58d14a7721289e20a21d42a38,No,NoDisponible,,,,,,,
251,Bromeliohyla dendroscarta,194824,-97.0225,18.87,,False,7,28.31,Amphibia,Anura,Hylidae,991,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=008fa073f96e9e06bd5017870d7ef05d,008fa073f96e9e06bd5017870d7ef05d,No,NoDisponible,,,,,,,
73,Bromeliohyla dendroscarta,194824,-97.0216699,18.8699999,,False,7,28.31,Amphibia,Anura,Hylidae,988,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d20fbbddf9d375af67de17cc0ddb80,00d20fbbddf9d375af67de17cc0ddb80,No,NoDisponible,,,,,,,
463,Bromeliohyla dendroscarta,209050,-95.2428412,18.4483333,,False,6,24.86,Amphibia,Anura,Hylidae,244,Dulceacuícola; Terrestre,1947,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d9fc44a7abc9f4d87fb30dd40f796c,00d9fc44a7abc9f4d87fb30dd40f796c,No,NoDisponible,,,,,,,
74,Bromeliohyla dendroscarta,194824,-97.0216699,18.8699999,,False,7,28.31,Amphibia,Anura,Hylidae,988,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e8d0dd851b95a0fe37ab871c545bab,00e8d0dd851b95a0fe37ab871c545bab,No,NoDisponible,,,,,,,
75,Bromeliohyla dendroscarta,194824,-97.0216699,18.8699999,,False,7,28.31,Amphibia,Anura,Hylidae,988,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0187bf20f0555f10cc3c5ab5e96b66fb,0187bf20f0555f10cc3c5ab5e96b66fb,No,NoDisponible,,,,,,,
76,Bromeliohyla dendroscarta,194824,-97.0216699,18.8699999,,False,7,28.31,Amphibia,Anura,Hylidae,988,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=020be82917b0888db51af8ba62b1348e,020be82917b0888db51af8ba62b1348e,No,NoDisponible,,,,,,,
77,Bromeliohyla dendroscarta,194824,-97.0216699,18.8699999,,False,7,28.31,Amphibia,Anura,Hylidae,988,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02896d37afcec78c9b07df50e4594ea2,02896d37afcec78c9b07df50e4594ea2,No,NoDisponible,,,,,,,
252,Bromeliohyla dendroscarta,194824,-97.0225,18.87,,False,7,28.31,Amphibia,Anura,Hylidae,991,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03985329c41f99777c394c3fd7138d15,03985329c41f99777c394c3fd7138d15,No,NoDisponible,,,,,,,
253,Bromeliohyla dendroscarta,194824,-97.0225,18.87,,False,7,28.31,Amphibia,Anura,Hylidae,991,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05931c4863b815bbe6d7cf235d1f66dc,05931c4863b815bbe6d7cf235d1f66dc,No,NoDisponible,,,,,,,
448,Bromeliohyla dendroscarta,194846,-96.9858333,19.1263888,,False,11,40.85,Amphibia,Anura,Hylidae,1393,Dulceacuícola; Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06236bb8f40c824c511d46b762cf0f2f,06236bb8f40c824c511d46b762cf0f2f,No,NoDisponible,,,,,,,
78,Bromeliohyla dendroscarta,194824,-97.0216699,18.8699999,,False,7,28.31,Amphibia,Anura,Hylidae,988,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=064382d6c30aba238c27e7fb826bf03d,064382d6c30aba238c27e7fb826bf03d,No,NoDisponible,,,,,,,
79,Bromeliohyla dendroscarta,194824,-97.0216699,18.8699999,,False,7,28.31,Amphibia,Anura,Hylidae,988,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0647f335d7a1c774b04d6fbce9b6031b,0647f335d7a1c774b04d6fbce9b6031b,No,NoDisponible,,,,,,,
