,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
267,Charadrahyla nephila,204229,-95.9690277,17.1814441,,False,3,82.48,Amphibia,Anura,Hylidae,1621,Dulceacuícola; Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01aaa0189ddf3d50e79b030dbee23250,01aaa0189ddf3d50e79b030dbee23250,,,,,,,,,
224,Charadrahyla nephila,208883,-95.0099977,16.76,,False,0,19.94,Amphibia,Anura,Hylidae,185,Dulceacuícola; Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01dbbb4727e292b67d19660ae083ad91,01dbbb4727e292b67d19660ae083ad91,,,,,,,,,
66,Charadrahyla nephila,208892,-94.8672222,16.7894444,,False,1,34.21,Amphibia,Anura,Hylidae,236,Dulceacuícola; Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=021253569477f4b18c9a3199b5594f8e,021253569477f4b18c9a3199b5594f8e,,,,,,,,,
171,Charadrahyla nephila,208878,-94.949996,16.67,,False,0,13.96,Amphibia,Anura,Hylidae,335,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03296d44f8a77a302cde5d24fb37689f,03296d44f8a77a302cde5d24fb37689f,,,,,,,,,
51,Charadrahyla nephila,213556,-94.5011111,16.7894444,,False,0,6.92,Amphibia,Anura,Hylidae,1299,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04772dc2c7f3589a0a9fe85e9df38a94,04772dc2c7f3589a0a9fe85e9df38a94,,,,,,,,,
148,Charadrahyla nephila,208889,-94.9899971,16.73,,False,1,24.36,Amphibia,Anura,Hylidae,190,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06cfd9bd7a5227bedf242a9a255dd191,06cfd9bd7a5227bedf242a9a255dd191,,,,,,,,,
0,Charadrahyla nephila,199564,-96.366,17.6233333,,False,2,52.78,Amphibia,Anura,Hylidae,1614,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0751ffe2ffd7bc25623e2af3c9875cbd,0751ffe2ffd7bc25623e2af3c9875cbd,,,,,,,,,
206,Charadrahyla nephila,208878,-94.9599963,16.7,,False,0,13.96,Amphibia,Anura,Hylidae,227,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07c546d1288c08ba2b87d3db2aee8bfa,07c546d1288c08ba2b87d3db2aee8bfa,,,,,,,,,
54,Charadrahyla nephila,213556,-94.4536111,16.7894444,,False,0,6.92,Amphibia,Anura,Hylidae,1404,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=087c269552cf41be0d7336048a69ae1e,087c269552cf41be0d7336048a69ae1e,,,,,,,,,
149,Charadrahyla nephila,208889,-94.9899971,16.73,,False,1,24.36,Amphibia,Anura,Hylidae,190,Dulceacuícola; Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=091304f7973e7c1ee876d539833c05f6,091304f7973e7c1ee876d539833c05f6,,,,,,,,,
144,Charadrahyla nephila,208889,-94.9899971,16.73,,False,1,24.36,Amphibia,Anura,Hylidae,190,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c8f90731a0bc22530b0e6240ccea374,0c8f90731a0bc22530b0e6240ccea374,,,,,,,,,
194,Charadrahyla nephila,208878,-94.9599964,16.71,,False,0,13.96,Amphibia,Anura,Hylidae,217,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d0f3fb06e20a5087040b00050e0d1e4,0d0f3fb06e20a5087040b00050e0d1e4,,,,,,,,,
55,Charadrahyla nephila,213556,-94.4536111,16.7894444,,False,0,6.92,Amphibia,Anura,Hylidae,1404,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0dabc8a64eb59c368a2e2b96ec10b1fd,0dabc8a64eb59c368a2e2b96ec10b1fd,,,,,,,,,
181,Charadrahyla nephila,208878,-94.9699966,16.71,,False,0,13.96,Amphibia,Anura,Hylidae,198,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e04e027987aba50baebaadff5bff926,0e04e027987aba50baebaadff5bff926,,,,,,,,,
195,Charadrahyla nephila,208878,-94.9599964,16.71,,False,0,13.96,Amphibia,Anura,Hylidae,217,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0eff850a159ea724753eb1ceec23e6fa,0eff850a159ea724753eb1ceec23e6fa,,,,,,,,,
67,Charadrahyla nephila,208892,-94.8672222,16.7894444,,False,1,34.21,Amphibia,Anura,Hylidae,236,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f01990b6cd67d10959ef704082d900e,0f01990b6cd67d10959ef704082d900e,,,,,,,,,
68,Charadrahyla nephila,208892,-94.8672222,16.7894444,,False,1,34.21,Amphibia,Anura,Hylidae,236,Dulceacuícola; Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f2e24f9efab110c4323d0742b0ba954,0f2e24f9efab110c4323d0742b0ba954,,,,,,,,,
56,Charadrahyla nephila,213556,-94.4736111,16.7894444,,False,0,6.92,Amphibia,Anura,Hylidae,1194,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f98c967152637552f5e3148284e4dc7,0f98c967152637552f5e3148284e4dc7,,,,,,,,,
38,Charadrahyla nephila,213556,-94.4755556,16.7894444,,False,0,6.92,Amphibia,Anura,Hylidae,1202,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=109b4bfb5d4391f5436c43556fd5a3bb,109b4bfb5d4391f5436c43556fd5a3bb,,,,,,,,,
157,Charadrahyla nephila,208889,-94.9799969,16.72,,False,1,24.36,Amphibia,Anura,Hylidae,213,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10b7ca081773d1c62743afed3102ae34,10b7ca081773d1c62743afed3102ae34,,,,,,,,,
250,Charadrahyla nephila,199562,-96.4216666,17.6179999,,False,2,56.29,Amphibia,Anura,Hylidae,1345,Dulceacuícola; Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=113aa7f337db50445c3e48706d2cf53b,113aa7f337db50445c3e48706d2cf53b,,,,,,,,,
196,Charadrahyla nephila,208878,-94.9599964,16.71,,False,0,13.96,Amphibia,Anura,Hylidae,217,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=127e1c30461f1c1e487b6e584be2b040,127e1c30461f1c1e487b6e584be2b040,,,,,,,,,
225,Charadrahyla nephila,208883,-95.0099977,16.76,,False,0,19.94,Amphibia,Anura,Hylidae,185,Dulceacuícola; Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1327b5fc0b5c3780299d53673f511529,1327b5fc0b5c3780299d53673f511529,,,,,,,,,
69,Charadrahyla nephila,208892,-94.8672222,16.7894444,,False,1,34.21,Amphibia,Anura,Hylidae,236,Dulceacuícola; Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=134a4d2f9ccb1e9b438a0fdbb425378b,134a4d2f9ccb1e9b438a0fdbb425378b,,,,,,,,,
108,Charadrahyla nephila,213530,-94.6908333,16.7894444,,False,0,13.2,Amphibia,Anura,Hylidae,621,Dulceacuícola; Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=141287bf18d8fc84de07c9b93f96300a,141287bf18d8fc84de07c9b93f96300a,,,,,,,,,
262,Charadrahyla nephila,199557,-96.5467999,17.6800691,,False,3,83.53,Amphibia,Anura,Hylidae,1999,Dulceacuícola; Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14a6248f3e9f039c021b5da0ca1db36d,14a6248f3e9f039c021b5da0ca1db36d,,,,,,,,,
70,Charadrahyla nephila,208892,-94.8672222,16.7894444,,False,1,34.21,Amphibia,Anura,Hylidae,236,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1584b4ec7e00323b4b203d373e6ef618,1584b4ec7e00323b4b203d373e6ef618,,,,,,,,,
136,Charadrahyla nephila,213522,-94.8516667,16.7894444,,False,1,21.72,Amphibia,Anura,Hylidae,188,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15d2a01b0336735cef71aa2cf377dec2,15d2a01b0336735cef71aa2cf377dec2,,,,,,,,,
197,Charadrahyla nephila,208878,-94.9599964,16.71,,False,0,13.96,Amphibia,Anura,Hylidae,217,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1700ae7002ace008b00358610ce0082f,1700ae7002ace008b00358610ce0082f,,,,,,,,,
150,Charadrahyla nephila,208889,-94.9899971,16.73,,False,1,24.36,Amphibia,Anura,Hylidae,190,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1752c4d69d7fb713e8b32d5ec83d1473,1752c4d69d7fb713e8b32d5ec83d1473,,,,,,,,,
71,Charadrahyla nephila,208892,-94.8672222,16.7894444,,False,1,34.21,Amphibia,Anura,Hylidae,236,Dulceacuícola; Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=181bbbf642b2f857e4c23262484b434a,181bbbf642b2f857e4c23262484b434a,,,,,,,,,
115,Charadrahyla nephila,199567,-96.3458333,17.7111111,,False,1,37.46,Amphibia,Anura,Hylidae,189,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=191301c307aeaea44a026117620fcfd4,191301c307aeaea44a026117620fcfd4,,,,,,,,,
72,Charadrahyla nephila,208892,-94.8672222,16.7894444,,False,1,34.21,Amphibia,Anura,Hylidae,236,Dulceacuícola; Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a8f3d2d544202d6604f61b869125b7b,1a8f3d2d544202d6604f61b869125b7b,,,,,,,,,
226,Charadrahyla nephila,208883,-95.0099977,16.76,,False,0,19.94,Amphibia,Anura,Hylidae,185,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b0cab36e6473c5187bf5f4cc88d553b,1b0cab36e6473c5187bf5f4cc88d553b,,,,,,,,,
