,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
1053,Chiropterotriton chiropterus,194822,-97.1033866,18.85,,False,3,34.82,Amphibia,Caudata,Plethodontidae,1247,Terrestre,1828,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=000fc214c7680ba18ef2ec4c18ec107a,000fc214c7680ba18ef2ec4c18ec107a,No,NoDisponible,,,,,,,
3330,Chiropterotriton chiropterus,194911,-96.9333299,19.65,,False,1,12,Amphibia,Caudata,Plethodontidae,1431,Terrestre,1941,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0048eeb754a92f08e09d390875d901e3,0048eeb754a92f08e09d390875d901e3,No,NoDisponible,,,,,,,
3066,Chiropterotriton chiropterus,179954,-98.5667558,19.0166667,,False,5,65.31,Amphibia,Caudata,Plethodontidae,3086,Terrestre,1921,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=004ddd38183f60cc925e026cbdf95b69,004ddd38183f60cc925e026cbdf95b69,No,NoDisponible,,,,,,,
1771,Chiropterotriton chiropterus,175053,-99.285785,19.326381,,False,3,37.22,Amphibia,Caudata,Plethodontidae,2816,Terrestre,1944,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0055a44096fd148a17b1b2b1885717f0,0055a44096fd148a17b1b2b1885717f0,No,NoDisponible,,,,,,,
1972,Chiropterotriton chiropterus,175005,-99.307074,19.065263,,False,3,35.13,Amphibia,Caudata,Plethodontidae,3075,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=005d234500fa4b37819f8c251044b7a5,005d234500fa4b37819f8c251044b7a5,No,NoDisponible,,,,,,,
2100,Chiropterotriton chiropterus,175005,-99.30333,19.05167,,False,3,35.13,Amphibia,Caudata,Plethodontidae,3048,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0079b0bdee713d07b9a2a0cdf663e68d,0079b0bdee713d07b9a2a0cdf663e68d,No,NoDisponible,,,,,,,
1911,Chiropterotriton chiropterus,175005,-99.3034363,19.05167,,False,3,35.13,Amphibia,Caudata,Plethodontidae,3048,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=007fa1630617d0f4000d043506e1e728,007fa1630617d0f4000d043506e1e728,No,NoDisponible,,,,,,,
1231,Chiropterotriton chiropterus,179932,-98.6283036,19.0269745,,False,5,72.4,Amphibia,Caudata,Plethodontidae,5138,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a70d23dcb563bbb4a39fed7e7ca144,00a70d23dcb563bbb4a39fed7e7ca144,No,NoDisponible,,,,,,,
2510,Chiropterotriton chiropterus,175004,-99.2359376,19.0205555,,False,3,31.93,Amphibia,Caudata,Plethodontidae,2477,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00c0115717fdc6a89974411e10ddb358,00c0115717fdc6a89974411e10ddb358,No,NoDisponible,,,,,,,
665,Chiropterotriton chiropterus,175008,-99.2199999,19.15,,False,3,32.44,Amphibia,Caudata,Plethodontidae,3585,Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00c349c0500eaf85206b66130ed0e7a2,00c349c0500eaf85206b66130ed0e7a2,No,NoDisponible,,,,,,,
815,Chiropterotriton chiropterus,194903,-97.0272222,19.6108333,,False,3,41.69,Amphibia,Caudata,Plethodontidae,2174,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00c456b424fe003b9802df661e311827,00c456b424fe003b9802df661e311827,No,NoDisponible,,,,,,,
2511,Chiropterotriton chiropterus,175004,-99.2359376,19.0205555,,False,3,31.93,Amphibia,Caudata,Plethodontidae,2477,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d4ec4ffc7e286d9c931b04e67f0974,00d4ec4ffc7e286d9c931b04e67f0974,No,NoDisponible,,,,,,,
1405,Chiropterotriton chiropterus,189988,-97.3299999,19.7899999,,False,3,40.13,Amphibia,Caudata,Plethodontidae,1960,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d8ccd766d74ea161d0fb615e013a2c,00d8ccd766d74ea161d0fb615e013a2c,No,NoDisponible,,,,,,,
2757,Chiropterotriton chiropterus,194887,-97.0666666,19.3666666,,False,2,18.35,Amphibia,Caudata,Plethodontidae,1582,Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00dd72ad334e2ec4d61011f0b8ed4e83,00dd72ad334e2ec4d61011f0b8ed4e83,No,NoDisponible,,,,,,,
1973,Chiropterotriton chiropterus,175005,-99.307074,19.065263,,False,3,35.13,Amphibia,Caudata,Plethodontidae,3075,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01000d8672a486bdf1161144997b5d28,01000d8672a486bdf1161144997b5d28,No,NoDisponible,,,,,,,
2643,Chiropterotriton chiropterus,194897,-97.147953,19.494445,,False,5,66.33,Amphibia,Caudata,Plethodontidae,4167,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=014eb7510bc23b59ed3ff1f36cb6841b,014eb7510bc23b59ed3ff1f36cb6841b,No,NoDisponible,,,,,,,
1959,Chiropterotriton chiropterus,175005,-99.3101064,19.05,,False,3,35.13,Amphibia,Caudata,Plethodontidae,2903,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0160b344b1ed6381e6e369c0558cb5da,0160b344b1ed6381e6e369c0558cb5da,No,NoDisponible,,,,,,,
3522,Chiropterotriton chiropterus,179930,-98.6713889,19.0375,,False,4,54.34,Amphibia,Caudata,Plethodontidae,3826,Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0161f1ede3766706f7336176df58efaa,0161f1ede3766706f7336176df58efaa,No,NoDisponible,,,,,,,
2758,Chiropterotriton chiropterus,194887,-97.0666666,19.3666666,,False,2,18.35,Amphibia,Caudata,Plethodontidae,1582,Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0166104190c9eb21b9b441d625c49b1e,0166104190c9eb21b9b441d625c49b1e,No,NoDisponible,,,,,,,
1113,Chiropterotriton chiropterus,194901,-97.136403,19.637156,,False,4,46.25,Amphibia,Caudata,Plethodontidae,2473,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01a327480818d1f74b1cc710304587dc,01a327480818d1f74b1cc710304587dc,No,NoDisponible,,,,,,,
1974,Chiropterotriton chiropterus,175005,-99.307074,19.065263,,False,3,35.13,Amphibia,Caudata,Plethodontidae,3075,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01a4c90b6348c76317ddcb62819c9ff9,01a4c90b6348c76317ddcb62819c9ff9,No,NoDisponible,,,,,,,
3570,Chiropterotriton chiropterus,179930,-98.6713889,19.0375,,False,4,54.34,Amphibia,Caudata,Plethodontidae,3826,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01bd7e55f668658be4acd6daf2893d15,01bd7e55f668658be4acd6daf2893d15,No,NoDisponible,,,,,,,
3015,Chiropterotriton chiropterus,179978,-98.7236111,19.2922222,,False,4,52.68,Amphibia,Caudata,Plethodontidae,3233,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01c41875a9b1843d9a60bfa2824d74cc,01c41875a9b1843d9a60bfa2824d74cc,No,NoDisponible,,,,,,,
1210,Chiropterotriton chiropterus,179932,-98.6283036,19.0269745,,False,5,72.4,Amphibia,Caudata,Plethodontidae,5138,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01d38270c5dcd7c44812ed6b6644442c,01d38270c5dcd7c44812ed6b6644442c,No,NoDisponible,,,,,,,
642,Chiropterotriton chiropterus,179935,-98.6333333,19.0841667,,False,4,54.26,Amphibia,Caudata,Plethodontidae,3676,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01e1e15aff853bc2231f78e4a838a8c0,01e1e15aff853bc2231f78e4a838a8c0,No,NoDisponible,,,,,,,
1114,Chiropterotriton chiropterus,194901,-97.136403,19.637156,,False,4,46.25,Amphibia,Caudata,Plethodontidae,2473,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01ebdd08226c1c410ebfecf42e64264b,01ebdd08226c1c410ebfecf42e64264b,No,NoDisponible,,,,,,,
491,Chiropterotriton chiropterus,174999,-99.3666666,19.0727777,,False,3,36.91,Amphibia,Caudata,Plethodontidae,3075,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0202433bbaaf506a044b9394bc73fc8a,0202433bbaaf506a044b9394bc73fc8a,No,NoDisponible,,,,,,,
2101,Chiropterotriton chiropterus,175005,-99.30333,19.05167,,False,3,35.13,Amphibia,Caudata,Plethodontidae,3048,Terrestre,1951,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02211928bee996d1dbef2f09415629fa,02211928bee996d1dbef2f09415629fa,No,NoDisponible,,,,,,,
