,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
0,Craugastor batrachylus,175464,-99.05333,22.60861,,False,1,22.17,Amphibia,Anura,Craugastoridae,200,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19ebe20f447165b3c91263c32f06a7c1,19ebe20f447165b3c91263c32f06a7c1,No,NoDisponible,NoDisponible,,,,,,
1,Craugastor batrachylus,175464,-99.05333,22.60861,,False,1,22.17,Amphibia,Anura,Craugastoridae,200,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=21d086c6ab11fb1b172e210734c5d86a,21d086c6ab11fb1b172e210734c5d86a,No,NoDisponible,NoDisponible,,,,,,
2,Craugastor batrachylus,175464,-99.05333,22.60861,,False,1,22.17,Amphibia,Anura,Craugastoridae,200,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=265a48a1f1d387967125a6688ec74e9d,265a48a1f1d387967125a6688ec74e9d,No,NoDisponible,NoDisponible,,,,,,
3,Craugastor batrachylus,175464,-99.05333,22.60861,,False,1,22.17,Amphibia,Anura,Craugastoridae,200,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3edfbc3750bb4bb8b936b87e5295d6ab,3edfbc3750bb4bb8b936b87e5295d6ab,No,NoDisponible,NoDisponible,,,,,,
4,Craugastor batrachylus,175464,-99.05333,22.60861,,False,1,22.17,Amphibia,Anura,Craugastoridae,200,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4308515ffb9a2b0ee7a6d54a4cb991fc,4308515ffb9a2b0ee7a6d54a4cb991fc,No,NoDisponible,NoDisponible,,,,,,
5,Craugastor batrachylus,175464,-99.05333,22.60861,,False,1,22.17,Amphibia,Anura,Craugastoridae,200,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=44395c0f9f0352de298d06e4b91ab92b,44395c0f9f0352de298d06e4b91ab92b,No,NoDisponible,NoDisponible,,,,,,
6,Craugastor batrachylus,175464,-99.05333,22.60861,,False,1,22.17,Amphibia,Anura,Craugastoridae,200,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6bbb1a93197fc503c4510bc36d597ffc,6bbb1a93197fc503c4510bc36d597ffc,No,NoDisponible,NoDisponible,,,,,,
7,Craugastor batrachylus,175464,-99.05333,22.60861,,False,1,22.17,Amphibia,Anura,Craugastoridae,200,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7fdbfafd91d0721d22632cb43a11b303,7fdbfafd91d0721d22632cb43a11b303,No,NoDisponible,NoDisponible,,,,,,
8,Craugastor batrachylus,175464,-99.05333,22.60861,,False,1,22.17,Amphibia,Anura,Craugastoridae,200,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9a1db8bd5aebc846f64aa40670c8c008,9a1db8bd5aebc846f64aa40670c8c008,No,NoDisponible,NoDisponible,,,,,,
9,Craugastor batrachylus,175464,-99.05333,22.60861,,False,1,22.17,Amphibia,Anura,Craugastoridae,200,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c316a29cb673d4ff1137a102638d864f,c316a29cb673d4ff1137a102638d864f,No,NoDisponible,NoDisponible,,,,,,
