,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
125,Craugastor hobartsmithi,150863,-102.075,19.325,,False,2,20.33,Amphibia,Anura,Craugastoridae,1492,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=001573f87868dc040a589e1ef2e032ff,001573f87868dc040a589e1ef2e032ff,No,NoDisponible,,,,,,,
244,Craugastor hobartsmithi,165121,-100.5453888,17.5802499,,False,3,39.53,Amphibia,Anura,Craugastoridae,2222,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0144754658d579b1fc03fb171fcfa89f,0144754658d579b1fc03fb171fcfa89f,No,NoDisponible,,,,,,,
72,Craugastor hobartsmithi,165358,-100.125,19.4166667,,False,2,20.67,Amphibia,Anura,Craugastoridae,2608,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01756a7860ce344d45bcc02c7d195539,01756a7860ce344d45bcc02c7d195539,No,NoDisponible,,,,,,,
50,Craugastor hobartsmithi,122875,-105.225,21.625,,False,1,9.34,Amphibia,Anura,Craugastoridae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01ac2d2a7daaa58696eb5515579825d9,01ac2d2a7daaa58696eb5515579825d9,No,NoDisponible,,,,,,,
210,Craugastor hobartsmithi,118462,-105.9102793,23.46,,False,2,16.27,Amphibia,Anura,Craugastoridae,1152,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02c44118da7f05d575af30ded4e50320,02c44118da7f05d575af30ded4e50320,No,NoDisponible,,,,,,,
177,Craugastor hobartsmithi,165363,-100.2091944,19.5041667,,False,3,30.74,Amphibia,Anura,Craugastoridae,3181,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02e8b3bcd8297aad2f4e1983c3d89cbe,02e8b3bcd8297aad2f4e1983c3d89cbe,No,NoDisponible,,,,,,,
73,Craugastor hobartsmithi,165358,-100.125,19.4166667,,False,2,20.67,Amphibia,Anura,Craugastoridae,2608,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=043d44709d07afc0a36873fc1d0a7799,043d44709d07afc0a36873fc1d0a7799,No,NoDisponible,,,,,,,
141,Craugastor hobartsmithi,165362,-100.2528889,19.5476667,,False,3,31.56,Amphibia,Anura,Craugastoridae,2996,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=059a8510f366c27f6a12a2d712d4d91a,059a8510f366c27f6a12a2d712d4d91a,No,NoDisponible,,,,,,,
56,Craugastor hobartsmithi,170079,-99.8083333,18.5083333,,False,3,33.88,Amphibia,Anura,Craugastoridae,1865,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06db89fef0f7ba2968dbaa5cf0c22ded,06db89fef0f7ba2968dbaa5cf0c22ded,No,NoDisponible,,,,,,,
10,Craugastor hobartsmithi,131959,-104.21,19.6,,False,3,35.65,Amphibia,Anura,Craugastoridae,1521,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06e0da50a0a7d089ae97fcd76ca45658,06e0da50a0a7d089ae97fcd76ca45658,No,NoDisponible,,,,,,,
142,Craugastor hobartsmithi,165362,-100.2528889,19.5476667,,False,3,31.56,Amphibia,Anura,Craugastoridae,2996,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=071f5a83611a5726a6cc6fcedda25e32,071f5a83611a5726a6cc6fcedda25e32,No,NoDisponible,,,,,,,
193,Craugastor hobartsmithi,122862,-105.285763,21.5397262,,False,1,5.23,Amphibia,Anura,Craugastoridae,19,Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a08f95c48a9150c2c32d3e5e5501103,0a08f95c48a9150c2c32d3e5e5501103,No,NoDisponible,,,,,,,
74,Craugastor hobartsmithi,165358,-100.125,19.4166667,,False,2,20.67,Amphibia,Anura,Craugastoridae,2608,Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a3c33bc5429df46d8fc94e6b29d0a68,0a3c33bc5429df46d8fc94e6b29d0a68,No,NoDisponible,,,,,,,
115,Craugastor hobartsmithi,170110,-99.60477,18.599462,,False,3,38.98,Amphibia,Anura,Craugastoridae,2594,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b8ba82cd004c0bb845fcb417a0fc1ae,0b8ba82cd004c0bb845fcb417a0fc1ae,No,NoDisponible,,,,,,,
132,Craugastor hobartsmithi,165361,-100.3083333,19.4916667,,False,3,31.96,Amphibia,Anura,Craugastoridae,2285,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b92720dc73b55b610b62cc6e3f48a70,0b92720dc73b55b610b62cc6e3f48a70,No,NoDisponible,,,,,,,
251,Craugastor hobartsmithi,127484,-104.6486108,21.1977777,,False,2,15.67,Amphibia,Anura,Craugastoridae,920,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b9cede2aeffc1141fe4c9cad44fe8ef,0b9cede2aeffc1141fe4c9cad44fe8ef,No,NoDisponible,,,,,,,
113,Craugastor hobartsmithi,165358,-100.125,19.4166667,,False,2,20.67,Amphibia,Anura,Craugastoridae,2608,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c5a691a8fca4675e60f2722150d5ee8,0c5a691a8fca4675e60f2722150d5ee8,No,NoDisponible,,,,,,,
32,Craugastor hobartsmithi,136581,-104.06,19.35,,False,3,31.8,Amphibia,Anura,Craugastoridae,754,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c799d0493ced49e9537f5a486c64547,0c799d0493ced49e9537f5a486c64547,No,NoDisponible,,,,,,,
157,Craugastor hobartsmithi,165364,-100.2479722,19.5316667,,False,2,23.88,Amphibia,Anura,Craugastoridae,2872,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e4bda1f690808a9004f94ee631e7394,0e4bda1f690808a9004f94ee631e7394,No,NoDisponible,,,,,,,
224,Craugastor hobartsmithi,118464,-105.8336104,23.433333,,False,2,25.1,Amphibia,Anura,Craugastoridae,1410,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e4dca10ff40f4629035f05c09499b1f,0e4dca10ff40f4629035f05c09499b1f,No,NoDisponible,,,,,,,
276,Craugastor hobartsmithi,174993,-99.4366667,18.9288889,,False,3,41.09,Amphibia,Anura,Craugastoridae,1666,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e8f04031972b906ab7defb178045a06,0e8f04031972b906ab7defb178045a06,No,NoDisponible,,,,,,,
75,Craugastor hobartsmithi,165358,-100.125,19.4166667,,False,2,20.67,Amphibia,Anura,Craugastoridae,2608,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0eb7f511a9e123033506d4c2c0ae8dee,0eb7f511a9e123033506d4c2c0ae8dee,No,NoDisponible,,,,,,,
181,Craugastor hobartsmithi,174837,-99.1177778,17.4341667,,False,2,21.79,Amphibia,Anura,Craugastoridae,970,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f8836f933b81a02e5c96654cfeb2236,0f8836f933b81a02e5c96654cfeb2236,No,NoDisponible,,,,,,,
184,Craugastor hobartsmithi,127258,-105.03,19.53,,False,1,10.95,Amphibia,Anura,Craugastoridae,29,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fbab6ca208a675ce0fb01eb3c673578,0fbab6ca208a675ce0fb01eb3c673578,Si,NoDisponible,Si,Si,Si,,,,
33,Craugastor hobartsmithi,136581,-104.06,19.35,,False,3,31.8,Amphibia,Anura,Craugastoridae,754,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10546321ba095e326bcc94facdba2fcf,10546321ba095e326bcc94facdba2fcf,No,NoDisponible,,,,,,,
252,Craugastor hobartsmithi,165352,-100.1924999,19.4438888,,False,2,25.64,Amphibia,Anura,Craugastoridae,2841,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11020ec47841268c902df343c1aac57d,11020ec47841268c902df343c1aac57d,No,NoDisponible,,,,,,,
112,Craugastor hobartsmithi,165358,-100.1416667,19.4083333,,False,2,20.67,Amphibia,Anura,Craugastoridae,2662,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11363f51d55910c5c19e52b3852fec84,11363f51d55910c5c19e52b3852fec84,No,NoDisponible,,,,,,,
202,Craugastor hobartsmithi,122864,-105.280461,21.5603256,,False,1,2.24,Amphibia,Anura,Craugastoridae,15,Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11e5b2dc68ab3906e9ba98c18e6a9159,11e5b2dc68ab3906e9ba98c18e6a9159,No,NoDisponible,,,,,,,
