,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
178,Craugastor lineatus,222525,-93.2736111,16.8694444,,False,2,37.03,Amphibia,Anura,Craugastoridae,1026,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b4f1f80a5084f9ae83dc28332bdb19,00b4f1f80a5084f9ae83dc28332bdb19,No,NoDisponible,,,,,,,
120,Craugastor lineatus,230696,-92.1347222,15.0416667,,False,2,37.73,Amphibia,Anura,Craugastoridae,765,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=033c0cb7453df8502064e69798ae9f2f,033c0cb7453df8502064e69798ae9f2f,No,NoDisponible,,,,,,,
179,Craugastor lineatus,222525,-93.2736111,16.8694444,,False,2,37.03,Amphibia,Anura,Craugastoridae,1026,Dulceacuícola; Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03790b94eebfbe5153324818bb4da557,03790b94eebfbe5153324818bb4da557,No,NoDisponible,,,,,,,
5,Craugastor lineatus,226533,-92.8452778,15.4791667,,False,1,27.86,Amphibia,Anura,Craugastoridae,201,Dulceacuícola; Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04c5a535c556c33788efd3d25651d493,04c5a535c556c33788efd3d25651d493,Si,NoDisponible,No,,Si,,,,
3,Craugastor lineatus,226533,-92.8497222,15.4786111,,False,1,27.86,Amphibia,Anura,Craugastoridae,185,Dulceacuícola; Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05df9602df17f7cf41a73fb7204510a6,05df9602df17f7cf41a73fb7204510a6,Si,NoDisponible,No,,Si,,,,
48,Craugastor lineatus,230713,-92.0833333,15.0861111,,False,4,64.96,Amphibia,Anura,Craugastoridae,1683,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=065343d38863f8c05e3efbf7f49e2d2a,065343d38863f8c05e3efbf7f49e2d2a,No,NoDisponible,,,,,,,
86,Craugastor lineatus,235046,-91.6799171,16.11,,False,2,34.18,Amphibia,Anura,Craugastoridae,1513,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07e5f7e22dac0cf0a2f1a7cbcffe2098,07e5f7e22dac0cf0a2f1a7cbcffe2098,No,NoDisponible,,,,,,,
121,Craugastor lineatus,230696,-92.1347222,15.0416667,,False,2,37.73,Amphibia,Anura,Craugastoridae,765,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=093135f1d58ea272db05ea38805e84ea,093135f1d58ea272db05ea38805e84ea,No,NoDisponible,,,,,,,
6,Craugastor lineatus,226533,-92.8452778,15.4791667,,False,1,27.86,Amphibia,Anura,Craugastoridae,201,Dulceacuícola; Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09e0cc56fd3a8599d7486916c9cf5cfe,09e0cc56fd3a8599d7486916c9cf5cfe,Si,NoDisponible,No,,Si,,,,
187,Craugastor lineatus,218153,-93.7844444,17.0194444,,False,2,36.96,Amphibia,Anura,Craugastoridae,270,Dulceacuícola; Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a2a93850647dc0e39e40fa299a24734,0a2a93850647dc0e39e40fa299a24734,No,NoDisponible,,,,,,,
