,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
113,Craugastor matudai,230727,-92.4694444,15.5152778,,False,1,56.38,Amphibia,Anura,Craugastoridae,1800,Terrestre,1941,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=008763d4d0132c622c98796c4e3142f9,008763d4d0132c622c98796c4e3142f9,No,NoDisponible,,,,,,,
74,Craugastor matudai,230724,-92.4291667,15.45,,False,1,63.84,Amphibia,Anura,Craugastoridae,2530,Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ff6e48c8f8d1c5d5a9a0f61d576f40,00ff6e48c8f8d1c5d5a9a0f61d576f40,No,NoDisponible,,,,,,,
83,Craugastor matudai,230732,-92.3222222,15.4111111,,False,1,46.38,Amphibia,Anura,Craugastoridae,2370,Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03faccbaa5b647d3e77b8402ea5ae483,03faccbaa5b647d3e77b8402ea5ae483,No,NoDisponible,,,,,,,
84,Craugastor matudai,230732,-92.3222222,15.4111111,,False,1,46.38,Amphibia,Anura,Craugastoridae,2370,Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07866d5ad1cfc113820749e33f611e7a,07866d5ad1cfc113820749e33f611e7a,No,NoDisponible,,,,,,,
85,Craugastor matudai,230732,-92.3222222,15.4111111,,False,1,46.38,Amphibia,Anura,Craugastoridae,2370,Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07d8d4e7b375851459b407953535b5fc,07d8d4e7b375851459b407953535b5fc,No,NoDisponible,,,,,,,
114,Craugastor matudai,230727,-92.4694444,15.5152778,,False,1,56.38,Amphibia,Anura,Craugastoridae,1800,Terrestre,1941,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=085111ccb38571d9c548ff902c25cbf2,085111ccb38571d9c548ff902c25cbf2,No,NoDisponible,,,,,,,
126,Craugastor matudai,230709,-92.2497222,15.2208333,,False,1,48.36,Amphibia,Anura,Craugastoridae,2294,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08a507e22dba316027e9839c583ff6ab,08a507e22dba316027e9839c583ff6ab,No,NoDisponible,,,,,,,
86,Craugastor matudai,230732,-92.3222222,15.4111111,,False,1,46.38,Amphibia,Anura,Craugastoridae,2370,Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09c64554ed5fe40d0fd467059987f1a2,09c64554ed5fe40d0fd467059987f1a2,No,NoDisponible,,,,,,,
69,Craugastor matudai,230722,-92.5363889,15.4472222,,False,1,61.03,Amphibia,Anura,Craugastoridae,1357,Terrestre,1941,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ab544480f37468cccd270b4d93bb352,0ab544480f37468cccd270b4d93bb352,No,NoDisponible,,,,,,,
19,Craugastor matudai,226540,-92.614262,15.412534,,False,1,48.47,Amphibia,Anura,Craugastoridae,2056,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ba94ed54a24f86607a31682a914b86b,0ba94ed54a24f86607a31682a914b86b,No,NoDisponible,,,,,,,
