,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
3,Craugastor omiltemanus,169974,-99.6916667,17.5416667,,False,6,74.62,Amphibia,Anura,Craugastoridae,2351,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02810e723f3c1f5956de3927ae7e6926,02810e723f3c1f5956de3927ae7e6926,No,NoDisponible,,,,,,,
22,Craugastor omiltemanus,170017,-99.6916667,17.5916667,,False,6,71.7,Amphibia,Anura,Craugastoridae,2603,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04d169ee9f19bb8e5c2e8bf58028695c,04d169ee9f19bb8e5c2e8bf58028695c,No,NoDisponible,,,,,,,
60,Craugastor omiltemanus,169942,-99.9720999,17.5108,,False,6,69.68,Amphibia,Anura,Craugastoridae,1870,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=059283a6489c6886a8d5147ed2dc3824,059283a6489c6886a8d5147ed2dc3824,No,NoDisponible,,,,,,,
0,Craugastor omiltemanus,169974,-99.6916667,17.5416667,,False,6,74.62,Amphibia,Anura,Craugastoridae,2351,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a78f9ead0e6d7da206e76c6802cd744,0a78f9ead0e6d7da206e76c6802cd744,No,NoDisponible,,,,,,,
61,Craugastor omiltemanus,169942,-99.9720999,17.5108,,False,6,69.68,Amphibia,Anura,Craugastoridae,1870,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d7f19cf846996be23949d13e478efab,0d7f19cf846996be23949d13e478efab,No,NoDisponible,,,,,,,
30,Craugastor omiltemanus,170017,-99.7055556,17.5566667,,False,6,71.7,Amphibia,Anura,Craugastoridae,2464,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11cdc426860c3da789c0b5e38e1e5342,11cdc426860c3da789c0b5e38e1e5342,No,NoDisponible,,,,,,,
10,Craugastor omiltemanus,170019,-99.675,17.5583333,,False,6,67.11,Amphibia,Anura,Craugastoridae,2103,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11ff4be70ea0828f526719ff907b4690,11ff4be70ea0828f526719ff907b4690,No,NoDisponible,,,,,,,
49,Craugastor omiltemanus,169994,-99.8380555,17.6213888,,False,6,67.08,Amphibia,Anura,Craugastoridae,2415,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=164572e59922673602623e692de26182,164572e59922673602623e692de26182,No,NoDisponible,,,,,,,
55,Craugastor omiltemanus,169994,-99.8422222,17.6172222,,False,6,67.08,Amphibia,Anura,Craugastoridae,2482,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=165a74dadc27d2cdccfaabf737724500,165a74dadc27d2cdccfaabf737724500,No,NoDisponible,,,,,,,
50,Craugastor omiltemanus,169994,-99.8380555,17.6213888,,False,6,67.08,Amphibia,Anura,Craugastoridae,2415,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a30f0d40ffae93c3ed7dbbac92db084,1a30f0d40ffae93c3ed7dbbac92db084,No,NoDisponible,,,,,,,
13,Craugastor omiltemanus,170019,-99.675,17.55833,,False,6,67.11,Amphibia,Anura,Craugastoridae,2103,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c6b6e021096d40f4ecf8f60e70e671c,1c6b6e021096d40f4ecf8f60e70e671c,No,NoDisponible,,,,,,,
14,Craugastor omiltemanus,170019,-99.675,17.55833,,False,6,67.11,Amphibia,Anura,Craugastoridae,2103,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2005195cac4a359fe3925164a4a5a450,2005195cac4a359fe3925164a4a5a450,No,NoDisponible,,,,,,,
