,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
197,Craugastor pygmaeus,169983,-99.475,17.4416667,,False,4,25.04,Amphibia,Anura,Craugastoridae,1313,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0037b9b4b8f40450d50f17654cd07477,0037b9b4b8f40450d50f17654cd07477,No,NoDisponible,,,,,,,
585,Craugastor pygmaeus,122796,-105.2451505,20.9035752,,False,4,25.16,Amphibia,Anura,Craugastoridae,531,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0063c7d64d9975ad3596be3b886de3df,0063c7d64d9975ad3596be3b886de3df,Si,NoDisponible,,,No,,,,
159,Craugastor pygmaeus,194824,-97.0416667,18.875,,False,4,22.55,Amphibia,Anura,Craugastoridae,1093,Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00f7165bb86a022d0926ad75878ad047,00f7165bb86a022d0926ad75878ad047,No,NoDisponible,,,,,,,
391,Craugastor pygmaeus,230696,-92.1413889,15.0361111,,False,4,33.4,Amphibia,Anura,Craugastoridae,695,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00fbb9d3c83261d787226d73d0e42454,00fbb9d3c83261d787226d73d0e42454,Si,NoDisponible,Si,Si,Si,,,,
108,Craugastor pygmaeus,180185,-98.7,21.13333,,False,3,12.23,Amphibia,Anura,Craugastoridae,706,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=023942e2fdca505db66e4416a386b7ce,023942e2fdca505db66e4416a386b7ce,No,NoDisponible,,,,,,,
268,Craugastor pygmaeus,194854,-96.8416667,18.8783333,,False,4,29.79,Amphibia,Anura,Craugastoridae,606,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02ac4cafd7eca60e46588cc5f208d019,02ac4cafd7eca60e46588cc5f208d019,No,NoDisponible,,,,,,,
548,Craugastor pygmaeus,189625,-97.2623055,16.7774444,,False,3,13.16,Amphibia,Anura,Craugastoridae,2374,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02daa6ccccf642536276e8131a11a86a,02daa6ccccf642536276e8131a11a86a,Si,NoDisponible,Si,Si,Si,,,,
233,Craugastor pygmaeus,209055,-95.21917,18.50139,,False,5,43.51,Amphibia,Anura,Craugastoridae,587,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0323b10d469a21067d9110a1e2bf4b2f,0323b10d469a21067d9110a1e2bf4b2f,Si,NoDisponible,Si,Si,Si,,,,
453,Craugastor pygmaeus,226539,-92.6097222,15.3847222,,False,4,28.57,Amphibia,Anura,Craugastoridae,1077,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0346a47c21f24476011e0b1395b49cc4,0346a47c21f24476011e0b1395b49cc4,Si,NoDisponible,Si,Si,Si,,,,
72,Craugastor pygmaeus,226703,-92.8794444,17.1408333,,False,5,35.45,Amphibia,Anura,Craugastoridae,1734,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=037c8fcd066ec8f9a53283d24a6726f0,037c8fcd066ec8f9a53283d24a6726f0,No,NoDisponible,,,,,,,
136,Craugastor pygmaeus,194824,-97.0416667,18.875,,False,4,22.55,Amphibia,Anura,Craugastoridae,1093,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=038a500d0dd98dee8d73feecbafc0db3,038a500d0dd98dee8d73feecbafc0db3,No,NoDisponible,,,,,,,
210,Craugastor pygmaeus,169980,-99.4916667,17.3416667,,False,5,35.36,Amphibia,Anura,Craugastoridae,1173,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=038b8fe8e88ee7fabaa7bbc0e846daad,038b8fe8e88ee7fabaa7bbc0e846daad,No,NoDisponible,,,,,,,
201,Craugastor pygmaeus,209050,-95.225,18.4583333,,False,4,25.43,Amphibia,Anura,Craugastoridae,303,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03ef5cc89e26a7dfe6d750c8679f6470,03ef5cc89e26a7dfe6d750c8679f6470,No,NoDisponible,,,,,,,
418,Craugastor pygmaeus,226537,-92.6527778,15.3986111,,False,4,20.35,Amphibia,Anura,Craugastoridae,488,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=047eab6ac41d88a0cf3f35ec79370f1c,047eab6ac41d88a0cf3f35ec79370f1c,Si,NoDisponible,Si,Si,Si,,,,
487,Craugastor pygmaeus,218039,-93.9258333,16.3625,,False,4,20.95,Amphibia,Anura,Craugastoridae,1572,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04de26b5420b66a67130bdd20a4f39b0,04de26b5420b66a67130bdd20a4f39b0,No,NoDisponible,,,,,,,
498,Craugastor pygmaeus,118450,-106.0102809,23.31,,False,3,-1.14,Amphibia,Anura,Craugastoridae,170,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=052b6284778e765c22ea87d273d633c2,052b6284778e765c22ea87d273d633c2,Si,NoDisponible,,,No,,,,
463,Craugastor pygmaeus,226539,-92.6319444,15.3777778,,False,4,28.57,Amphibia,Anura,Craugastoridae,403,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0575a9c9975ebc0fac6f3cda82ca78b5,0575a9c9975ebc0fac6f3cda82ca78b5,Si,NoDisponible,Si,Si,Si,,,,
376,Craugastor pygmaeus,194905,-96.9588889,19.4775,,False,4,30.32,Amphibia,Anura,Craugastoridae,1253,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05805881fe20c011c63d8e68fd61d308,05805881fe20c011c63d8e68fd61d308,No,NoDisponible,,,,,,,
577,Craugastor pygmaeus,222408,-93.6163889,16.1580556,,False,5,34.31,Amphibia,Anura,Craugastoridae,1036,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05dec02eb80eb56fdbbd423f550a9ddb,05dec02eb80eb56fdbbd423f550a9ddb,No,NoDisponible,,,,,,,
220,Craugastor pygmaeus,222368,-93.425,15.8583333,,False,3,15.24,Amphibia,Anura,Craugastoridae,56,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06df0f21210acd45f1371333ddd082b9,06df0f21210acd45f1371333ddd082b9,No,NoDisponible,,,,,,,
660,Craugastor pygmaeus,222495,-93.4561111,16.8788889,,False,4,20.21,Amphibia,Anura,Craugastoridae,1002,Terrestre,1994,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07c43ae3725f4d5b841290278dfc9cab,07c43ae3725f4d5b841290278dfc9cab,No,NoDisponible,,,,,,,
384,Craugastor pygmaeus,194896,-96.9344444,19.45,,False,4,29.77,Amphibia,Anura,Craugastoridae,1147,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=082b0fb198cdedd77ebef87f88a626e4,082b0fb198cdedd77ebef87f88a626e4,No,NoDisponible,,,,,,,
454,Craugastor pygmaeus,226539,-92.6097222,15.3847222,,False,4,28.57,Amphibia,Anura,Craugastoridae,1077,Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=089dc880e7c9c4522acc0927eabf0941,089dc880e7c9c4522acc0927eabf0941,Si,NoDisponible,Si,Si,Si,,,,
160,Craugastor pygmaeus,194824,-97.0416667,18.875,,False,4,22.55,Amphibia,Anura,Craugastoridae,1093,Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=094ab77d721ba9f121736de43dcfe48d,094ab77d721ba9f121736de43dcfe48d,No,NoDisponible,,,,,,,
619,Craugastor pygmaeus,222634,-93.2555556,17.6319444,,False,4,17.06,Amphibia,Anura,Craugastoridae,84,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a300e85bf896d968edbba9a154fdeb2,0a300e85bf896d968edbba9a154fdeb2,Si,NoDisponible,No,,Si,,,,
202,Craugastor pygmaeus,209050,-95.225,18.4583333,,False,4,25.43,Amphibia,Anura,Craugastoridae,303,Terrestre,1935,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a4c891c7c9cecb78136e7cf9bda8827,0a4c891c7c9cecb78136e7cf9bda8827,No,NoDisponible,,,,,,,
406,Craugastor pygmaeus,230723,-92.4861111,15.3791667,,False,5,39.97,Amphibia,Anura,Craugastoridae,915,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a52b03d4d3673222baeeedec5896771,0a52b03d4d3673222baeeedec5896771,Si,NoDisponible,Si,Si,Si,,,,
394,Craugastor pygmaeus,230696,-92.1347222,15.0416667,,False,4,33.4,Amphibia,Anura,Craugastoridae,765,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a6c7f028434079b9a818d890599c9b7,0a6c7f028434079b9a818d890599c9b7,Si,NoDisponible,Si,Si,Si,,,,
662,Craugastor pygmaeus,209079,-95.07,18.5161111,,False,4,25.87,Amphibia,Anura,Craugastoridae,316,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ac64287b961b2bd85d53a8c0a178a1a,0ac64287b961b2bd85d53a8c0a178a1a,No,NoDisponible,,,,,,,
