,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
356,Craugastor rugulosus,226539,-92.6208333,15.3625,,False,8,33.91,Amphibia,Anura,Craugastoridae,211,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=001bab4333f324a91ee0650a499b08fc,001bab4333f324a91ee0650a499b08fc,Si,NoDisponible,No,,Si,,,,
1208,Craugastor rugulosus,194560,-96.625,16.425,,False,6,1.53,Amphibia,Anura,Craugastoridae,1669,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=002f8501f678ac975791879021bac617,002f8501f678ac975791879021bac617,No,NoDisponible,,,,,,,
600,Craugastor rugulosus,226537,-92.6430556,15.3652778,,False,8,29.23,Amphibia,Anura,Craugastoridae,160,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=004d479864ad9032ab3779fb1ffea21d,004d479864ad9032ab3779fb1ffea21d,Si,NoDisponible,No,,Si,,,,
574,Craugastor rugulosus,226537,-92.6916667,15.3583333,,False,8,29.23,Amphibia,Anura,Craugastoridae,108,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=004e7f255d9f6f2df75cdad9aa6a65d5,004e7f255d9f6f2df75cdad9aa6a65d5,Si,NoDisponible,No,,Si,,,,
601,Craugastor rugulosus,226537,-92.6430556,15.3652778,,False,8,29.23,Amphibia,Anura,Craugastoridae,160,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00801c1e9281e32be6b611b1b1724dbb,00801c1e9281e32be6b611b1b1724dbb,Si,NoDisponible,No,,Si,,,,
1004,Craugastor rugulosus,226537,-92.675,15.3388889,,False,8,29.23,Amphibia,Anura,Craugastoridae,82,Dulceacuícola; Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00940a2bdb4a6860125868929ca98e74,00940a2bdb4a6860125868929ca98e74,Si,NoDisponible,No,,Si,,,,
1520,Craugastor rugulosus,194612,-96.8000401,16.816667,,False,6,7.8,Amphibia,Anura,Craugastoridae,1532,Dulceacuícola; Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00bdf9a7047e353b1db3e3a5373f74e3,00bdf9a7047e353b1db3e3a5373f74e3,No,NoDisponible,,,,,,,
1312,Craugastor rugulosus,230696,-92.1347222,15.0416667,,False,8,33.88,Amphibia,Anura,Craugastoridae,765,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ca6ce845a52c5c091841e1d1f884f5,00ca6ce845a52c5c091841e1d1f884f5,Si,NoDisponible,No,,Si,,,,
1213,Craugastor rugulosus,218031,-93.7583333,16.0916667,,False,7,18.38,Amphibia,Anura,Craugastoridae,41,Dulceacuícola; Terrestre,1935,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d02014a6fa036078e6176cf9666442,00d02014a6fa036078e6176cf9666442,No,NoDisponible,,,,,,,
8,Craugastor rugulosus,226702,-92.96306,17.21611,,False,9,44.34,Amphibia,Anura,Craugastoridae,1883,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00f038be9452315601d7d3071b304dee,00f038be9452315601d7d3071b304dee,Si,NoDisponible,Si,Si,Si,,,,
