,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
10,Craugastor spatulatus,194824,-97.0227778,18.8713889,,False,1,22.43,Amphibia,Anura,Craugastoridae,991,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0134d74b835e7b314fc9dec0f669f62b,0134d74b835e7b314fc9dec0f669f62b,No,NoDisponible,,,,,,,
137,Craugastor spatulatus,208878,-94.9699966,16.71,,False,0,3.12,Amphibia,Anura,Craugastoridae,198,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0261c0f64e4cd6189bde7a922c68e15a,0261c0f64e4cd6189bde7a922c68e15a,Si,NoDisponible,No,,Si,,,,
88,Craugastor spatulatus,208883,-95.0099977,16.76,,False,1,16.56,Amphibia,Anura,Craugastoridae,185,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0345953bc5f93d332ba1343d315c8939,0345953bc5f93d332ba1343d315c8939,Si,NoDisponible,No,,Si,,,,
89,Craugastor spatulatus,208883,-95.0099977,16.76,,False,1,16.56,Amphibia,Anura,Craugastoridae,185,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=083ed3e6cae187d6986d46973864a205,083ed3e6cae187d6986d46973864a205,Si,NoDisponible,No,,Si,,,,
30,Craugastor spatulatus,199512,-96.5109,17.53729,,False,2,42.79,Amphibia,Anura,Craugastoridae,2748,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08d869a993bce5d51b00b61837f2c89e,08d869a993bce5d51b00b61837f2c89e,No,NoDisponible,,,,,,,
0,Craugastor spatulatus,194824,-97.0416667,18.875,,False,1,22.43,Amphibia,Anura,Craugastoridae,1093,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a2f23cfbcc9fb667b9e88b954150872,0a2f23cfbcc9fb667b9e88b954150872,No,NoDisponible,,,,,,,
151,Craugastor spatulatus,199439,-96.3400287,16.63,,False,0,-5.14,Amphibia,Anura,Craugastoridae,1169,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bf65c430735514b9051ec873a5efe89,0bf65c430735514b9051ec873a5efe89,Si,NoDisponible,No,,Si,,,,
16,Craugastor spatulatus,194824,-97.0216699,18.8699999,,False,1,22.43,Amphibia,Anura,Craugastoridae,988,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cdef0af70c4dfc4491185dc82b64607,0cdef0af70c4dfc4491185dc82b64607,No,NoDisponible,,,,,,,
44,Craugastor spatulatus,199564,-96.36,17.6299999,,False,2,44.95,Amphibia,Anura,Craugastoridae,1574,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0dd35cc3c091fb9d2643e04da3c24434,0dd35cc3c091fb9d2643e04da3c24434,No,NoDisponible,,,,,,,
90,Craugastor spatulatus,208883,-95.0099977,16.76,,False,1,16.56,Amphibia,Anura,Craugastoridae,185,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f924604136b0ab6a33ea099ddb49630,0f924604136b0ab6a33ea099ddb49630,Si,NoDisponible,No,,Si,,,,
91,Craugastor spatulatus,208883,-95.0099977,16.76,,False,1,16.56,Amphibia,Anura,Craugastoridae,185,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ff88c1ec5dae6a387fcae121595da5e,0ff88c1ec5dae6a387fcae121595da5e,Si,NoDisponible,No,,Si,,,,
92,Craugastor spatulatus,208883,-95.0099977,16.76,,False,1,16.56,Amphibia,Anura,Craugastoridae,185,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=111bdd7afcd3985f1ec347993dea2f13,111bdd7afcd3985f1ec347993dea2f13,Si,NoDisponible,No,,Si,,,,
58,Craugastor spatulatus,208889,-94.9999974,16.75,,False,1,21.11,Amphibia,Anura,Craugastoridae,192,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12397a01fa60999283046d7225e1da20,12397a01fa60999283046d7225e1da20,Si,NoDisponible,No,,Si,,,,
