,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
34,Craugastor stuarti,222519,-93.31,16.8666666,,False,2,30.61,Amphibia,Anura,Craugastoridae,1091,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02a23bebdfe1794b2f042db0bf0d33eb,02a23bebdfe1794b2f042db0bf0d33eb,No,NoDisponible,,,,,,,
2,Craugastor stuarti,226700,-92.8602778,17.1163889,,False,2,35.87,Amphibia,Anura,Craugastoridae,1668,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03bf64f11946210d48ac34faa5c845d0,03bf64f11946210d48ac34faa5c845d0,Si,NoDisponible,Si,Si,Si,,,,
60,Craugastor stuarti,222496,-93.4388511,16.95694,,False,2,25.84,Amphibia,Anura,Craugastoridae,586,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b552e0ed8694222e21a5e71d767f727,0b552e0ed8694222e21a5e71d767f727,No,NoDisponible,,,,,,,
57,Craugastor stuarti,222519,-93.2833333,16.8597222,,False,2,30.61,Amphibia,Anura,Craugastoridae,1075,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c6f767e5d1e5bc18a92ff33fca03a49,0c6f767e5d1e5bc18a92ff33fca03a49,No,NoDisponible,,,,,,,
89,Craugastor stuarti,230832,-92.0499259,16.12,,False,2,22.41,Amphibia,Anura,Craugastoridae,1552,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d6ea1ab931c915ce4983885183b091a,0d6ea1ab931c915ce4983885183b091a,No,NoDisponible,,,,,,,
80,Craugastor stuarti,230866,-92.5099387,16.82,,False,1,17.01,Amphibia,Anura,Craugastoridae,2032,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e11892716cac4b9b31cf2f0bcfdb34f,0e11892716cac4b9b31cf2f0bcfdb34f,Si,NoDisponible,Si,Si,Si,,,,
56,Craugastor stuarti,222519,-93.2847222,16.8583333,,False,2,30.61,Amphibia,Anura,Craugastoridae,1080,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0eb724c05faf4d91bcc7dd3ee810d6de,0eb724c05faf4d91bcc7dd3ee810d6de,No,NoDisponible,,,,,,,
86,Craugastor stuarti,226537,-92.6399379,15.4,,True,0,-82.43,Amphibia,Anura,Craugastoridae,751,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=105f87db850962c3cc24f8133242d33e,105f87db850962c3cc24f8133242d33e,Si,NoDisponible,No,,Si,,,,
61,Craugastor stuarti,222496,-93.4388511,16.95694,,False,2,25.84,Amphibia,Anura,Craugastoridae,586,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=113e3344365f316511f28ead18a619c2,113e3344365f316511f28ead18a619c2,No,NoDisponible,,,,,,,
88,Craugastor stuarti,230861,-92.351528,16.6378888,,False,1,17.48,Amphibia,Anura,Craugastoridae,2102,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1660878cce50e97a2e8c3ffd3836599c,1660878cce50e97a2e8c3ffd3836599c,Si,NoDisponible,No,,Si,,,,
104,Craugastor stuarti,222525,-93.2736111,16.8694444,,False,2,35.15,Amphibia,Anura,Craugastoridae,1026,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1669087e20c8d44f3d8c95f30d4d09c3,1669087e20c8d44f3d8c95f30d4d09c3,No,NoDisponible,,,,,,,
62,Craugastor stuarti,222496,-93.4388511,16.95694,,False,2,25.84,Amphibia,Anura,Craugastoridae,586,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=191c580b25fd01b7de55b021e4e3cb45,191c580b25fd01b7de55b021e4e3cb45,No,NoDisponible,,,,,,,
35,Craugastor stuarti,222519,-93.31,16.8666666,,False,2,30.61,Amphibia,Anura,Craugastoridae,1091,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19774c662084d64d0f04351de845469a,19774c662084d64d0f04351de845469a,No,NoDisponible,,,,,,,
36,Craugastor stuarti,222519,-93.31,16.8666666,,False,2,30.61,Amphibia,Anura,Craugastoridae,1091,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1987e2a861356954217e89c8cb815282,1987e2a861356954217e89c8cb815282,No,NoDisponible,,,,,,,
14,Craugastor stuarti,222514,-93.375,16.8416667,,False,2,24.26,Amphibia,Anura,Craugastoridae,941,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1cdce2aeaa9dc3ac8a4acc8373ec065b,1cdce2aeaa9dc3ac8a4acc8373ec065b,No,NoDisponible,,,,,,,
114,Craugastor stuarti,230836,-92.1375,16.2680556,,False,1,3.66,Amphibia,Anura,Craugastoridae,1618,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1d65e3109c67f8b306315ec595e378fb,1d65e3109c67f8b306315ec595e378fb,No,NoDisponible,,,,,,,
93,Craugastor stuarti,222525,-93.2736111,16.8694444,,False,2,35.15,Amphibia,Anura,Craugastoridae,1026,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=228652ac984ac52eaad52247bd4a3388,228652ac984ac52eaad52247bd4a3388,No,NoDisponible,,,,,,,
