,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
301,Dendropsophus robertmertensi,222465,-93.7083333,16.4527778,,False,4,10.21,Amphibia,Anura,Hylidae,593,Dulceacuícola; Terrestre,1935,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=000489c9fef50305f5768b9dc64b4748,000489c9fef50305f5768b9dc64b4748,No,NoDisponible,,,,,,,
6,Dendropsophus robertmertensi,213539,-94.461,16.4958333,,False,5,17.54,Amphibia,Anura,Hylidae,31,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00476b2f0502fd0aa5cd33c60515e086,00476b2f0502fd0aa5cd33c60515e086,No,NoDisponible,,,,,,,
262,Dendropsophus robertmertensi,218040,-93.9208333,16.4263889,,False,5,17.57,Amphibia,Anura,Hylidae,1047,Dulceacuícola; Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ffdf1f4b5c46e007d55987307454b4,00ffdf1f4b5c46e007d55987307454b4,No,NoDisponible,,,,,,,
32,Dendropsophus robertmertensi,218090,-93.7916667,16.5583333,,False,5,16.34,Amphibia,Anura,Hylidae,789,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0129379057694f93106244347c66742c,0129379057694f93106244347c66742c,Si,NoDisponible,Si,Si,Si,,,,
321,Dendropsophus robertmertensi,218046,-93.8222222,16.4388889,,False,5,16.38,Amphibia,Anura,Hylidae,626,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0220b00af409220407fd17c1c8b3b8ca,0220b00af409220407fd17c1c8b3b8ca,No,NoDisponible,,,,,,,
349,Dendropsophus robertmertensi,230676,-92.44,15.13,,False,6,37.3,Amphibia,Anura,Hylidae,38,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02abdc3d28b7c8555351e40994b1e265,02abdc3d28b7c8555351e40994b1e265,No,NoDisponible,,,,,,,
7,Dendropsophus robertmertensi,213539,-94.461,16.4958333,,False,5,17.54,Amphibia,Anura,Hylidae,31,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=031c7787be80a968f2b78b8bd43c8a65,031c7787be80a968f2b78b8bd43c8a65,No,NoDisponible,,,,,,,
350,Dendropsophus robertmertensi,230676,-92.44,15.13,,False,6,37.3,Amphibia,Anura,Hylidae,38,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=048dc6c7c20499850c54f45f25c5e639,048dc6c7c20499850c54f45f25c5e639,No,NoDisponible,,,,,,,
365,Dendropsophus robertmertensi,218085,-93.9818889,16.6081944,,False,4,14.82,Amphibia,Anura,Hylidae,754,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05822b551cac0bea587f8562976e0b94,05822b551cac0bea587f8562976e0b94,Si,NoDisponible,Si,Si,Si,,,,
8,Dendropsophus robertmertensi,213539,-94.461,16.4958333,,False,5,17.54,Amphibia,Anura,Hylidae,31,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=058b96e6ae7a76dc167d7469bd6f169a,058b96e6ae7a76dc167d7469bd6f169a,No,NoDisponible,,,,,,,
69,Dendropsophus robertmertensi,218035,-93.8833026,16.2333333,,False,6,26.72,Amphibia,Anura,Hylidae,83,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06ccdd86b7b791808ddb125b97a27443,06ccdd86b7b791808ddb125b97a27443,No,NoDisponible,,,,,,,
194,Dendropsophus robertmertensi,218027,-93.7777778,15.9569444,,False,5,25.31,Amphibia,Anura,Hylidae,9,Dulceacuícola; Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0747aace263fb096aa734ff997d0bbcf,0747aace263fb096aa734ff997d0bbcf,No,NoDisponible,,,,,,,
