,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
121,Dermophis mexicanus,230696,-92.1347222,15.0416667,,False,3,25.46,Amphibia,Gymnophiona,Dermophiidae,765,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=006e655f44216664eca414a8f56056f1,006e655f44216664eca414a8f56056f1,No,NoDisponible,,,,,,,
38,Dermophis mexicanus,218006,-94.225,16.375,,False,3,21.07,Amphibia,Gymnophiona,Dermophiidae,162,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0073785df5e31a147c27f59680afee1f,0073785df5e31a147c27f59680afee1f,No,NoDisponible,,,,,,,
32,Dermophis mexicanus,199785,-96.1416667,19.1916667,,False,3,15.9,Amphibia,Gymnophiona,Dermophiidae,11,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01ce5898ae39c348edb986f8457a549e,01ce5898ae39c348edb986f8457a549e,No,NoDisponible,,,,,,,
174,Dermophis mexicanus,230976,-92.0191667,17.4944444,,False,3,32.3,Amphibia,Gymnophiona,Dermophiidae,68,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02d4f73270a26a27a909216d0d3e2853,02d4f73270a26a27a909216d0d3e2853,Si,NoDisponible,No,,Si,,,,
167,Dermophis mexicanus,230673,-92.4947222,15.0833333,,False,3,22.11,Amphibia,Gymnophiona,Dermophiidae,23,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0376e93125b3abe582d468646de27708,0376e93125b3abe582d468646de27708,No,NoDisponible,,,,,,,
88,Dermophis mexicanus,230696,-92.1452777,15.0363888,,False,3,25.46,Amphibia,Gymnophiona,Dermophiidae,744,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03be0aa12a42fdfef5d55e82b9a775b9,03be0aa12a42fdfef5d55e82b9a775b9,Si,NoDisponible,Si,Si,Si,,,,
43,Dermophis mexicanus,208936,-95.075,17.2416667,,False,3,18.81,Amphibia,Gymnophiona,Dermophiidae,50,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=048aa2bf1444b4f1c61af5f60e4925c2,048aa2bf1444b4f1c61af5f60e4925c2,No,NoDisponible,,,,,,,
89,Dermophis mexicanus,230696,-92.1452777,15.0363888,,False,3,25.46,Amphibia,Gymnophiona,Dermophiidae,744,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=067819cdfdf7400802b9a595f04ea839,067819cdfdf7400802b9a595f04ea839,Si,NoDisponible,Si,Si,Si,,,,
273,Dermophis mexicanus,230665,-92.3541667,14.8013889,,False,3,16.81,Amphibia,Gymnophiona,Dermophiidae,40,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=078c378918b94ed50a4e33597b526a08,078c378918b94ed50a4e33597b526a08,No,NoDisponible,,,,,,,
122,Dermophis mexicanus,230696,-92.1347222,15.0416667,,False,3,25.46,Amphibia,Gymnophiona,Dermophiidae,765,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0966829badacb6bfb770c5db9995e480,0966829badacb6bfb770c5db9995e480,No,NoDisponible,,,,,,,
