,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
943,Dryophytes plicatus,180114,-98.8625841,20.6214955,,False,3,-1.32,Amphibia,Anura,Hylidae,1628,Dulceacuícola; Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=002ff9d3a688ecd111af6ddccffeb795,002ff9d3a688ecd111af6ddccffeb795,Si,NoDisponible,Si,Si,Si,,,,
36,Dryophytes plicatus,175005,-99.30333,19.05167,,False,5,39.43,Amphibia,Anura,Hylidae,3048,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00427a8e1c9de0711c9b378f1349860f,00427a8e1c9de0711c9b378f1349860f,No,NoDisponible,,,,,,,
558,Dryophytes plicatus,179981,-98.7194444,19.3388889,,False,6,52.2,Amphibia,Anura,Hylidae,3258,Dulceacuícola; Terrestre,1951,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00707a559294098ea850a44979357e54,00707a559294098ea850a44979357e54,No,NoDisponible,,,,,,,
625,Dryophytes plicatus,179981,-98.7183333,19.3183333,,False,6,52.2,Amphibia,Anura,Hylidae,3263,Dulceacuícola; Terrestre,1994,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b0183c51cbc8fba077b3be3f205b58,00b0183c51cbc8fba077b3be3f205b58,No,NoDisponible,,,,,,,
420,Dryophytes plicatus,175002,-99.2711111,19.0211111,,False,5,37.28,Amphibia,Anura,Hylidae,2496,Dulceacuícola; Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d63fd77ba8e53f529c5a99ae60f40e,00d63fd77ba8e53f529c5a99ae60f40e,No,NoDisponible,,,,,,,
1045,Dryophytes plicatus,170233,-99.5494444,19.5080556,,False,5,35.92,Amphibia,Anura,Hylidae,2970,Dulceacuícola; Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01176f6c3491d521792f4cbd8b27a764,01176f6c3491d521792f4cbd8b27a764,No,NoDisponible,,,,,,,
899,Dryophytes plicatus,179933,-98.6861111,19.0819444,,False,6,53.69,Amphibia,Anura,Hylidae,3227,Dulceacuícola; Terrestre,1942,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=011f332b8cced9102cd3be91b5c09870,011f332b8cced9102cd3be91b5c09870,No,NoDisponible,,,,,,,
341,Dryophytes plicatus,180106,-98.7416667,20.375,,False,4,11.38,Amphibia,Anura,Hylidae,2011,Dulceacuícola; Terrestre,1940,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=012f38303fc56ebf98677515ae42502a,012f38303fc56ebf98677515ae42502a,No,NoDisponible,,,,,,,
10,Dryophytes plicatus,175044,-99.3686111,19.2902778,,False,6,43.97,Amphibia,Anura,Hylidae,3076,Dulceacuícola; Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0179c70f7d2b30b221ef67bca4c065d3,0179c70f7d2b30b221ef67bca4c065d3,No,NoDisponible,,,,,,,
830,Dryophytes plicatus,175042,-99.3902778,19.3038889,,False,5,37.18,Amphibia,Anura,Hylidae,2992,Dulceacuícola; Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0199a8586e329b7465784842830f3aca,0199a8586e329b7465784842830f3aca,No,NoDisponible,,,,,,,
37,Dryophytes plicatus,175005,-99.30333,19.05167,,False,5,39.43,Amphibia,Anura,Hylidae,3048,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01c43242380ad1ca0fa261c650d3da5d,01c43242380ad1ca0fa261c650d3da5d,No,NoDisponible,,,,,,,
1086,Dryophytes plicatus,170244,-99.9186111,19.8197222,,False,5,30.58,Amphibia,Anura,Hylidae,2512,Dulceacuícola; Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01c57c09c26a5eccb558b2c9ffb79fe5,01c57c09c26a5eccb558b2c9ffb79fe5,No,NoDisponible,,,,,,,
315,Dryophytes plicatus,180063,-98.6667621,20.1666667,,False,5,38.57,Amphibia,Anura,Hylidae,2753,Dulceacuícola; Terrestre,1914,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0224ebb91aa7fe760b961086ef2e65d0,0224ebb91aa7fe760b961086ef2e65d0,No,NoDisponible,,,,,,,
664,Dryophytes plicatus,180062,-98.7300968,20.22,,False,5,41.46,Amphibia,Anura,Hylidae,2448,Dulceacuícola; Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02a77e2d6ecf656d3797b83f863ffb1e,02a77e2d6ecf656d3797b83f863ffb1e,No,NoDisponible,,,,,,,
0,Dryophytes plicatus,175044,-99.325,19.275,,False,6,43.97,Amphibia,Anura,Hylidae,3639,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02aac77cff897fd67237f51b67672646,02aac77cff897fd67237f51b67672646,No,NoDisponible,,,,,,,
470,Dryophytes plicatus,179981,-98.733333,19.35,,False,6,52.2,Amphibia,Anura,Hylidae,3504,Dulceacuícola; Terrestre,1965,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02ae4fa912376fdb0f14e05bf65f7c02,02ae4fa912376fdb0f14e05bf65f7c02,No,NoDisponible,,,,,,,
665,Dryophytes plicatus,180062,-98.7300968,20.22,,False,5,41.46,Amphibia,Anura,Hylidae,2448,Dulceacuícola; Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03706f15c0b49a8db6d08cf0bf824b4f,03706f15c0b49a8db6d08cf0bf824b4f,No,NoDisponible,,,,,,,
1036,Dryophytes plicatus,170163,-99.6058333,18.9311111,,False,4,24.27,Amphibia,Anura,Hylidae,2074,Dulceacuícola; Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=041f4aa0bd553de44d7623a33604ad32,041f4aa0bd553de44d7623a33604ad32,No,NoDisponible,,,,,,,
888,Dryophytes plicatus,180013,-98.4539202,19.3274633,,False,4,21.13,Amphibia,Anura,Hylidae,2358,Dulceacuícola; Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04693c6c85325898f9da76bdf0095ff6,04693c6c85325898f9da76bdf0095ff6,No,NoDisponible,,,,,,,
342,Dryophytes plicatus,180106,-98.7416667,20.375,,False,4,11.38,Amphibia,Anura,Hylidae,2011,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=052865a44c7ea1d76adbd68ce16abcd3,052865a44c7ea1d76adbd68ce16abcd3,No,NoDisponible,,,,,,,
446,Dryophytes plicatus,179981,-98.713929,19.333317,,False,6,52.2,Amphibia,Anura,Hylidae,3218,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0536f7662290174ef3811c41da2b5ac9,0536f7662290174ef3811c41da2b5ac9,No,NoDisponible,,,,,,,
790,Dryophytes plicatus,170187,-99.7697222,19.2422222,,False,5,39.04,Amphibia,Anura,Hylidae,2899,Dulceacuícola; Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05b27c3053e8f7f5f24a5cd0e17198f9,05b27c3053e8f7f5f24a5cd0e17198f9,No,NoDisponible,,,,,,,
7,Dryophytes plicatus,175044,-99.35,19.2666667,,False,6,43.97,Amphibia,Anura,Hylidae,3582,Dulceacuícola; Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05db924c3a7f7c951f2c2c8f852bab5f,05db924c3a7f7c951f2c2c8f852bab5f,No,NoDisponible,,,,,,,
38,Dryophytes plicatus,175005,-99.30333,19.05167,,False,5,39.43,Amphibia,Anura,Hylidae,3048,Dulceacuícola; Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=062899c9544188919961797c5eaad676,062899c9544188919961797c5eaad676,No,NoDisponible,,,,,,,
316,Dryophytes plicatus,180063,-98.6667621,20.1666667,,False,5,38.57,Amphibia,Anura,Hylidae,2753,Dulceacuícola; Terrestre,1914,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06380d3b3924ebfc3ea5c0fe3809796f,06380d3b3924ebfc3ea5c0fe3809796f,No,NoDisponible,,,,,,,
39,Dryophytes plicatus,175005,-99.30333,19.05167,,False,5,39.43,Amphibia,Anura,Hylidae,3048,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06f1fac2de095dce639ee54683eeb016,06f1fac2de095dce639ee54683eeb016,No,NoDisponible,,,,,,,
983,Dryophytes plicatus,174997,-99.3913889,19.0644444,,False,5,35.2,Amphibia,Anura,Hylidae,2826,Dulceacuícola; Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06faa1c05503f3546db03ec8d33792d3,06faa1c05503f3546db03ec8d33792d3,No,NoDisponible,,,,,,,
208,Dryophytes plicatus,179990,-98.8400975,19.69,,False,3,4.62,Amphibia,Anura,Hylidae,2295,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0765552f2c0a158f10f20e7682f1ee05,0765552f2c0a158f10f20e7682f1ee05,Si,NoDisponible,Si,Si,No,,,,
40,Dryophytes plicatus,175005,-99.30333,19.05167,,False,5,39.43,Amphibia,Anura,Hylidae,3048,Dulceacuícola; Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0781e3920098bb3e3c6dc92f89325cfd,0781e3920098bb3e3c6dc92f89325cfd,No,NoDisponible,,,,,,,
910,Dryophytes plicatus,179984,-98.6447277,19.413778,,False,6,45.27,Amphibia,Anura,Hylidae,3203,Dulceacuícola; Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0784cc1c2df63dbe5c17bb434d55df56,0784cc1c2df63dbe5c17bb434d55df56,No,NoDisponible,,,,,,,
666,Dryophytes plicatus,180062,-98.7300968,20.22,,False,5,41.46,Amphibia,Anura,Hylidae,2448,Dulceacuícola; Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07a948c2ced0a248d7604c1e08b8c27a,07a948c2ced0a248d7604c1e08b8c27a,No,NoDisponible,,,,,,,
238,Dryophytes plicatus,174999,-99.325,19.0583333,,False,5,40.47,Amphibia,Anura,Hylidae,3005,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07d51822bbeabb9315a7c443b0079de4,07d51822bbeabb9315a7c443b0079de4,No,NoDisponible,,,,,,,
831,Dryophytes plicatus,175042,-99.3902778,19.3038889,,False,5,37.18,Amphibia,Anura,Hylidae,2992,Dulceacuícola; Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=080d57714f981fd2a103f70df02201d1,080d57714f981fd2a103f70df02201d1,No,NoDisponible,,,,,,,
791,Dryophytes plicatus,170187,-99.7697222,19.2422222,,False,5,39.04,Amphibia,Anura,Hylidae,2899,Dulceacuícola; Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0895d5ec0aa7683d60f4d4f7d4b4423f,0895d5ec0aa7683d60f4d4f7d4b4423f,No,NoDisponible,,,,,,,
832,Dryophytes plicatus,175042,-99.3902778,19.3038889,,False,5,37.18,Amphibia,Anura,Hylidae,2992,Dulceacuícola; Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08a2fd26c942631abaab09071a21d4d9,08a2fd26c942631abaab09071a21d4d9,No,NoDisponible,,,,,,,
559,Dryophytes plicatus,179981,-98.7194444,19.3388889,,False,6,52.2,Amphibia,Anura,Hylidae,3258,Dulceacuícola; Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=092cedcaa408e9e6706b3b98a7710aa1,092cedcaa408e9e6706b3b98a7710aa1,No,NoDisponible,,,,,,,
626,Dryophytes plicatus,179981,-98.7183333,19.3183333,,False,6,52.2,Amphibia,Anura,Hylidae,3263,Dulceacuícola; Terrestre,1994,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=094ca33ec14c7772bc0a7cac8456b5a3,094ca33ec14c7772bc0a7cac8456b5a3,No,NoDisponible,,,,,,,
970,Dryophytes plicatus,175070,-99.31,19.7033333,,False,4,19.97,Amphibia,Anura,Hylidae,2361,Dulceacuícola; Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09c538062293386764edadf1c9e11359,09c538062293386764edadf1c9e11359,Si,NoDisponible,Si,Si,No,,,,
