,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
154,Eleutherodactylus angustidigitorum,150854,-102.3166666,19.4166666,,False,3,34.77,Amphibia,Anura,Eleutherodactylidae,3720,Terrestre,1941,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b29023e64c93e510c5db33dc769855,00b29023e64c93e510c5db33dc769855,No,NoDisponible,,,,,,,
320,Eleutherodactylus angustidigitorum,141329,-103.4602052,19.48,,False,1,8.5,Amphibia,Anura,Eleutherodactylidae,991,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d63a55b4ff56619cbb69788bfb569b,00d63a55b4ff56619cbb69788bfb569b,No,NoDisponible,,,,,,,
40,Eleutherodactylus angustidigitorum,150948,-101.9199999,19.8199999,,False,2,25.15,Amphibia,Anura,Eleutherodactylidae,2372,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e339af9d76b11212be625db2704df0,00e339af9d76b11212be625db2704df0,No,NoDisponible,,,,,,,
399,Eleutherodactylus angustidigitorum,150911,-101.8299999,19.5899999,,False,3,35.75,Amphibia,Anura,Eleutherodactylidae,2492,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=028b4771274d865d5f44b298476fd635,028b4771274d865d5f44b298476fd635,No,NoDisponible,,,,,,,
321,Eleutherodactylus angustidigitorum,141329,-103.4602052,19.48,,False,1,8.5,Amphibia,Anura,Eleutherodactylidae,991,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02ddffd4d9706028db87649380cc8266,02ddffd4d9706028db87649380cc8266,No,NoDisponible,,,,,,,
382,Eleutherodactylus angustidigitorum,136631,-103.65,19.6299999,,False,3,46.55,Amphibia,Anura,Eleutherodactylidae,2266,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0302ad798ab14992de09d83b2d895ae2,0302ad798ab14992de09d83b2d895ae2,No,NoDisponible,,,,,,,
62,Eleutherodactylus angustidigitorum,146095,-102.3617,19.3372999,,False,3,33.13,Amphibia,Anura,Eleutherodactylidae,2096,Terrestre,1941,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04f2641c809d77392f8b4fc83ef4d27f,04f2641c809d77392f8b4fc83ef4d27f,No,NoDisponible,,,,,,,
168,Eleutherodactylus angustidigitorum,150864,-102.0583333,19.425,,False,2,17.41,Amphibia,Anura,Eleutherodactylidae,1646,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05c2347bf23fe59f10e4e9079e77649e,05c2347bf23fe59f10e4e9079e77649e,No,NoDisponible,,,,,,,
155,Eleutherodactylus angustidigitorum,150854,-102.3166666,19.4166666,,False,3,34.77,Amphibia,Anura,Eleutherodactylidae,3720,Terrestre,1941,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05c5a5af08722b85422b359aa9f24003,05c5a5af08722b85422b359aa9f24003,No,NoDisponible,,,,,,,
18,Eleutherodactylus angustidigitorum,175008,-99.1916667,19.1416667,,False,3,28.24,Amphibia,Anura,Eleutherodactylidae,3171,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0827db7eb10ea62bc14c852e04cef68d,0827db7eb10ea62bc14c852e04cef68d,No,NoDisponible,,,,,,,
169,Eleutherodactylus angustidigitorum,150864,-102.0583333,19.425,,False,2,17.41,Amphibia,Anura,Eleutherodactylidae,1646,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08b4698d7fbc48c5e2f867f112af8d15,08b4698d7fbc48c5e2f867f112af8d15,No,NoDisponible,,,,,,,
367,Eleutherodactylus angustidigitorum,175004,-99.2359376,19.0205555,,False,3,39.32,Amphibia,Anura,Eleutherodactylidae,2477,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=091b2e3da7e44a6d3b5403e057e2b89f,091b2e3da7e44a6d3b5403e057e2b89f,No,NoDisponible,,,,,,,
193,Eleutherodactylus angustidigitorum,155701,-101.4668261,19.6166667,,False,3,27.79,Amphibia,Anura,Eleutherodactylidae,2370,Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=094c41a17ec4aeef099979b3916a6eaf,094c41a17ec4aeef099979b3916a6eaf,No,NoDisponible,,,,,,,
427,Eleutherodactylus angustidigitorum,170170,-99.55,19.0166667,,False,3,36.4,Amphibia,Anura,Eleutherodactylidae,2411,Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09e0e1a2422414f08af6ed8ba893f759,09e0e1a2422414f08af6ed8ba893f759,No,NoDisponible,,,,,,,
