,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
6,Eleutherodactylus longipes,175503,-99.1901183,23.1,,False,4,27.04,Amphibia,Anura,Eleutherodactylidae,1150,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=002d7e6ecf0f932598f6f730c26228ab,002d7e6ecf0f932598f6f730c26228ab,No,NoDisponible,,,,,,,
123,Eleutherodactylus longipes,175522,-99.1655556,23.0508333,,False,4,23.56,Amphibia,Anura,Eleutherodactylidae,351,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ee7155033a246e9014349fbd90b064,00ee7155033a246e9014349fbd90b064,No,NoDisponible,,,,,,,
124,Eleutherodactylus longipes,175522,-99.1655556,23.0508333,,False,4,23.56,Amphibia,Anura,Eleutherodactylidae,351,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04f67fe1f2f80d64bd069bc3235cdd05,04f67fe1f2f80d64bd069bc3235cdd05,No,NoDisponible,,,,,,,
29,Eleutherodactylus longipes,175502,-99.275,23.1416667,,False,3,13.22,Amphibia,Anura,Eleutherodactylidae,1679,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05c08eece889a2c5683f08a3147a6733,05c08eece889a2c5683f08a3147a6733,No,NoDisponible,,,,,,,
140,Eleutherodactylus longipes,170537,-99.5400008,21.8888894,,False,3,12.55,Amphibia,Anura,Eleutherodactylidae,1256,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08d101babcdf3a5af787ced7bad6d60f,08d101babcdf3a5af787ced7bad6d60f,No,NoDisponible,,,,,,,
75,Eleutherodactylus longipes,166093,-100.4375,25.7155556,,False,3,22.32,Amphibia,Anura,Eleutherodactylidae,1671,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09d709dfc97776ef445c551400c80ce4,09d709dfc97776ef445c551400c80ce4,No,NoDisponible,,,,,,,
5,Eleutherodactylus longipes,175503,-99.2401196,23.12,,False,4,27.04,Amphibia,Anura,Eleutherodactylidae,1973,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09dcfa94d819dcf27d4a0b380c9381f8,09dcfa94d819dcf27d4a0b380c9381f8,No,NoDisponible,,,,,,,
154,Eleutherodactylus longipes,170658,-99.7083333,23.0083333,,False,2,6.8,Amphibia,Anura,Eleutherodactylidae,1162,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a6daedcad1018f2d320e5e7c7ff380a,0a6daedcad1018f2d320e5e7c7ff380a,No,NoDisponible,,,,,,,
113,Eleutherodactylus longipes,170425,-99.5692869,21.1219444,,False,2,10.57,Amphibia,Anura,Eleutherodactylidae,2053,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0acfeef7e027a29a471bcdaa911ccdf6,0acfeef7e027a29a471bcdaa911ccdf6,No,NoDisponible,,,,,,,
57,Eleutherodactylus longipes,170874,-99.5783333,24.8630556,,False,3,15.36,Amphibia,Anura,Eleutherodactylidae,360,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0aed5451a13841c213f627d925cb250a,0aed5451a13841c213f627d925cb250a,No,NoDisponible,,,,,,,
