,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
30,Eleutherodactylus nitidus,170079,-99.8,18.5,,False,4,25.82,Amphibia,Anura,Eleutherodactylidae,1675,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0082eb069b22bc390d31cdc1f151fed2,0082eb069b22bc390d31cdc1f151fed2,No,NoDisponible,,,,,,,
283,Eleutherodactylus nitidus,136624,-103.5202064,19.43,,False,4,23.67,Amphibia,Anura,Eleutherodactylidae,1176,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=019a878d01d904f693b123fb2c752bfa,019a878d01d904f693b123fb2c752bfa,No,NoDisponible,,,,,,,
290,Eleutherodactylus nitidus,136624,-103.5202064,19.43,,False,4,23.67,Amphibia,Anura,Eleutherodactylidae,1176,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01a4cc879a1675cfda622bea906516ef,01a4cc879a1675cfda622bea906516ef,No,NoDisponible,,,,,,,
359,Eleutherodactylus nitidus,136636,-103.5002063,19.53,,False,4,29.33,Amphibia,Anura,Eleutherodactylidae,1608,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01ce537bf46607f1f1c01cc0204fd170,01ce537bf46607f1f1c01cc0204fd170,No,NoDisponible,,,,,,,
184,Eleutherodactylus nitidus,175014,-99.125,18.8583333,,False,4,24.39,Amphibia,Anura,Eleutherodactylidae,1463,Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=021db8c95091249c2a20b9d4558f141e,021db8c95091249c2a20b9d4558f141e,No,NoDisponible,,,,,,,
360,Eleutherodactylus nitidus,136636,-103.5002063,19.53,,False,4,29.33,Amphibia,Anura,Eleutherodactylidae,1608,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=023dccda93558c0da7ed51abcd3653ae,023dccda93558c0da7ed51abcd3653ae,No,NoDisponible,,,,,,,
361,Eleutherodactylus nitidus,136636,-103.5002063,19.53,,False,4,29.33,Amphibia,Anura,Eleutherodactylidae,1608,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02512665086059d0ea4dbb7dd9d0149c,02512665086059d0ea4dbb7dd9d0149c,No,NoDisponible,,,,,,,
440,Eleutherodactylus nitidus,199507,-96.4772988,17.3202827,,False,4,25.91,Amphibia,Anura,Eleutherodactylidae,2160,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=029d7f9e902ef64da1b5cf0b8d489dbc,029d7f9e902ef64da1b5cf0b8d489dbc,No,NoDisponible,,,,,,,
427,Eleutherodactylus nitidus,122788,-105.3972049,20.9114769,,False,3,11.48,Amphibia,Anura,Eleutherodactylidae,83,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=032664ff031a8f223e6bc2cd38297fd4,032664ff031a8f223e6bc2cd38297fd4,Si,NoDisponible,Si,Si,No,,,,
134,Eleutherodactylus nitidus,194666,-96.725,17.075,,False,4,29.17,Amphibia,Anura,Eleutherodactylidae,1588,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0347f29b5eadcf9b6ab04db19bfe6290,0347f29b5eadcf9b6ab04db19bfe6290,No,NoDisponible,,,,,,,
280,Eleutherodactylus nitidus,184852,-98.201517,19.0416166,,False,3,17.19,Amphibia,Anura,Eleutherodactylidae,2155,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=039e8e7595154475980fe7510b31bbb6,039e8e7595154475980fe7510b31bbb6,No,NoDisponible,,,,,,,
170,Eleutherodactylus nitidus,194596,-96.7416667,16.575,,False,3,20.91,Amphibia,Anura,Eleutherodactylidae,1452,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=040c92b6d03c1057422d4536e023a3a1,040c92b6d03c1057422d4536e023a3a1,Si,NoDisponible,Si,Si,Si,,,,
135,Eleutherodactylus nitidus,194666,-96.725,17.075,,False,4,29.17,Amphibia,Anura,Eleutherodactylidae,1588,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=044356b07c9e4a0777c634b4114eadac,044356b07c9e4a0777c634b4114eadac,No,NoDisponible,,,,,,,
185,Eleutherodactylus nitidus,175014,-99.125,18.8583333,,False,4,24.39,Amphibia,Anura,Eleutherodactylidae,1463,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=044f9a7ed030b966d8517b5c8478bd8c,044f9a7ed030b966d8517b5c8478bd8c,No,NoDisponible,,,,,,,
438,Eleutherodactylus nitidus,179797,-98.8545908,17.9701769,,False,3,19.28,Amphibia,Anura,Eleutherodactylidae,1555,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04abb2fb3330cddab48c7a4e234f2004,04abb2fb3330cddab48c7a4e234f2004,No,NoDisponible,,,,,,,
50,Eleutherodactylus nitidus,170039,-99.67444,17.96889,,False,3,10.31,Amphibia,Anura,Eleutherodactylidae,751,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05c92775a379e2a4312feb51d3688036,05c92775a379e2a4312feb51d3688036,No,NoDisponible,,,,,,,
295,Eleutherodactylus nitidus,127488,-104.6497252,21.292856,,False,3,18.24,Amphibia,Anura,Eleutherodactylidae,1255,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05f3dffe6da0bf34d8bf1f056c648b31,05f3dffe6da0bf34d8bf1f056c648b31,No,NoDisponible,,,,,,,
163,Eleutherodactylus nitidus,175013,-99.1202777,18.7972222,,False,3,21.49,Amphibia,Anura,Eleutherodactylidae,1124,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0673bfa25ba09517cb388bae30c6abff,0673bfa25ba09517cb388bae30c6abff,No,NoDisponible,,,,,,,
15,Eleutherodactylus nitidus,175028,-99.05,18.98,,False,5,36.96,Amphibia,Anura,Eleutherodactylidae,1707,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=067ce4198449c7c3f4e682d2cdf312d6,067ce4198449c7c3f4e682d2cdf312d6,No,NoDisponible,,,,,,,
11,Eleutherodactylus nitidus,170017,-99.6916667,17.575,,False,5,36.97,Amphibia,Anura,Eleutherodactylidae,2454,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06b080465f460d50f378a6fa68a100a5,06b080465f460d50f378a6fa68a100a5,No,NoDisponible,,,,,,,
362,Eleutherodactylus nitidus,136636,-103.5002063,19.53,,False,4,29.33,Amphibia,Anura,Eleutherodactylidae,1608,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06e8c147d79fe3f19a2c38b613a96b7d,06e8c147d79fe3f19a2c38b613a96b7d,No,NoDisponible,,,,,,,
363,Eleutherodactylus nitidus,136636,-103.5002063,19.53,,False,4,29.33,Amphibia,Anura,Eleutherodactylidae,1608,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07038dad4db75b55981abf4ef3206b11,07038dad4db75b55981abf4ef3206b11,No,NoDisponible,,,,,,,
179,Eleutherodactylus nitidus,189810,-97.4416667,18.475,,False,3,18.41,Amphibia,Anura,Eleutherodactylidae,1724,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07368d5d2477369931f2b38f3837aba2,07368d5d2477369931f2b38f3837aba2,No,NoDisponible,,,,,,,
259,Eleutherodactylus nitidus,189903,-97.45,19.34,,False,3,9.93,Amphibia,Anura,Eleutherodactylidae,2483,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0780ed51c24735569074f6caa8d15663,0780ed51c24735569074f6caa8d15663,Si,NoDisponible,No,,Si,,,,
317,Eleutherodactylus nitidus,141469,-103.3335399,20.6833333,,False,3,14.87,Amphibia,Anura,Eleutherodactylidae,1541,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08898f912961baf343f71f5f784a29d0,08898f912961baf343f71f5f784a29d0,No,NoDisponible,,,,,,,
353,Eleutherodactylus nitidus,199468,-96.012856,16.5636888,,False,3,14.19,Amphibia,Anura,Eleutherodactylidae,774,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=091611f4aec122cf9c8a352cedd14f5a,091611f4aec122cf9c8a352cedd14f5a,No,NoDisponible,,,,,,,
229,Eleutherodactylus nitidus,127525,-104.89389,21.51611,,False,3,12.19,Amphibia,Anura,Eleutherodactylidae,923,Terrestre,1957,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a3395ed55f685152e21d954c548c894,0a3395ed55f685152e21d954c548c894,No,NoDisponible,,,,,,,
17,Eleutherodactylus nitidus,175028,-99.0916667,18.9916667,,False,5,36.96,Amphibia,Anura,Eleutherodactylidae,1682,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b1eb3dba71310a570c12e5da6be1830,0b1eb3dba71310a570c12e5da6be1830,No,NoDisponible,,,,,,,
31,Eleutherodactylus nitidus,170079,-99.8,18.5,,False,4,25.82,Amphibia,Anura,Eleutherodactylidae,1675,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b260fd54a93ba635ebc7ed42c61bb45,0b260fd54a93ba635ebc7ed42c61bb45,No,NoDisponible,,,,,,,
146,Eleutherodactylus nitidus,175033,-99.016766,18.9166666,,False,5,31.17,Amphibia,Anura,Eleutherodactylidae,1247,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c1817fb16e3a7158190a8fde5479428,0c1817fb16e3a7158190a8fde5479428,No,NoDisponible,,,,,,,
339,Eleutherodactylus nitidus,118464,-105.8502779,23.45,,False,4,23.44,Amphibia,Anura,Eleutherodactylidae,1194,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cb6ff2f4eb7fa94f184545f215a222d,0cb6ff2f4eb7fa94f184545f215a222d,No,NoDisponible,,,,,,,
236,Eleutherodactylus nitidus,194695,-97.0663889,17.70875,,False,5,38.31,Amphibia,Anura,Eleutherodactylidae,1385,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cbf04d2373d4a2118aef285c575bd95,0cbf04d2373d4a2118aef285c575bd95,Si,NoDisponible,Si,Si,Si,,,,
364,Eleutherodactylus nitidus,136636,-103.5002063,19.53,,False,4,29.33,Amphibia,Anura,Eleutherodactylidae,1608,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f3e16b665beb2614db50fb981e340ca,0f3e16b665beb2614db50fb981e340ca,No,NoDisponible,,,,,,,
241,Eleutherodactylus nitidus,170009,-99.85,17.8327778,,False,3,19.41,Amphibia,Anura,Eleutherodactylidae,1344,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f59a9c021fd7111473d38dadb7f04f5,0f59a9c021fd7111473d38dadb7f04f5,No,NoDisponible,,,,,,,
311,Eleutherodactylus nitidus,184796,-98.0623,18.46535,,False,3,20.95,Amphibia,Anura,Eleutherodactylidae,1651,Terrestre,2011,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fbf4d369eb5dbd08cf6914219487509,0fbf4d369eb5dbd08cf6914219487509,No,NoDisponible,,,,,,,
340,Eleutherodactylus nitidus,118464,-105.8502779,23.45,,False,4,23.44,Amphibia,Anura,Eleutherodactylidae,1194,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1126245101a9b2de0e7f4b8cf3a77608,1126245101a9b2de0e7f4b8cf3a77608,No,NoDisponible,,,,,,,
284,Eleutherodactylus nitidus,136624,-103.5202064,19.43,,False,4,23.67,Amphibia,Anura,Eleutherodactylidae,1176,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11c1ef620a19ff879be587315d14aaeb,11c1ef620a19ff879be587315d14aaeb,No,NoDisponible,,,,,,,
233,Eleutherodactylus nitidus,132113,-104.581017,21.09504,,False,3,14.61,Amphibia,Anura,Eleutherodactylidae,862,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11cc6b7070f6ac300149fb61b53d2158,11cc6b7070f6ac300149fb61b53d2158,No,NoDisponible,,,,,,,
212,Eleutherodactylus nitidus,175002,-99.2583333,19.0083333,,False,4,28.78,Amphibia,Anura,Eleutherodactylidae,2265,Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1256d72d1ba0edd250641c85c946b04b,1256d72d1ba0edd250641c85c946b04b,No,NoDisponible,,,,,,,
443,Eleutherodactylus nitidus,141456,-103.2458683,20.4745941,,False,3,10.99,Amphibia,Anura,Eleutherodactylidae,1537,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12ca4dbee1a6fe15875b47a382707a5d,12ca4dbee1a6fe15875b47a382707a5d,No,NoDisponible,,,,,,,
197,Eleutherodactylus nitidus,189860,-97.3083333,18.725,,False,3,19.61,Amphibia,Anura,Eleutherodactylidae,1687,Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=147db3dfdc21cf309dd55ad5752a8f77,147db3dfdc21cf309dd55ad5752a8f77,Si,NoDisponible,Si,Si,Si,,,,
356,Eleutherodactylus nitidus,179967,-98.3167531,19.08333,,False,3,13.47,Amphibia,Anura,Eleutherodactylidae,2164,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1625e943ac9d9cab30441d1ae6cec40a,1625e943ac9d9cab30441d1ae6cec40a,No,NoDisponible,,,,,,,
19,Eleutherodactylus nitidus,175028,-99.0501001,19,,False,5,36.96,Amphibia,Anura,Eleutherodactylidae,1902,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1677756f2b092e4f566f55dc22ea1569,1677756f2b092e4f566f55dc22ea1569,No,NoDisponible,,,,,,,
102,Eleutherodactylus nitidus,175003,-99.2301041,18.92,,False,4,24.26,Amphibia,Anura,Eleutherodactylidae,1500,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16d0aae64a0411d0f6a6ffed9ec0fc7e,16d0aae64a0411d0f6a6ffed9ec0fc7e,No,NoDisponible,,,,,,,
424,Eleutherodactylus nitidus,175005,-99.2833333,19.05,,False,3,13.3,Amphibia,Anura,Eleutherodactylidae,2773,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=17f0bea10afc2e82ac0edd4dd8a9c8fe,17f0bea10afc2e82ac0edd4dd8a9c8fe,Si,NoDisponible,Si,Si,No,,,,
