,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
124,Eleutherodactylus rubrimaculatus,230684,-92.305,15.1302778,,False,6,45.59,Amphibia,Anura,Eleutherodactylidae,587,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03332e753ca67112e22345ae9f1d42bd,03332e753ca67112e22345ae9f1d42bd,Si,NoDisponible,Si,Si,Si,,,,
57,Eleutherodactylus rubrimaculatus,230657,-92.4988889,14.8025,,False,3,20.28,Amphibia,Anura,Eleutherodactylidae,12,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06e3e90f28e720ebd825b891cb8736de,06e3e90f28e720ebd825b891cb8736de,Si,NoDisponible,Si,Si,Si,,,,
126,Eleutherodactylus rubrimaculatus,230713,-92.1236111,15.1263889,,False,6,54.53,Amphibia,Anura,Eleutherodactylidae,3423,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=091ca095e178486a2e0234eb128ae368,091ca095e178486a2e0234eb128ae368,Si,NoDisponible,Si,Si,Si,,,,
120,Eleutherodactylus rubrimaculatus,230675,-92.4319444,15.1263889,,False,4,26.65,Amphibia,Anura,Eleutherodactylidae,67,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09d778695ea1ecc24d04dfd27bb4f40f,09d778695ea1ecc24d04dfd27bb4f40f,No,NoDisponible,,,,,,,
67,Eleutherodactylus rubrimaculatus,230696,-92.1499254,15.03,,False,5,39.3,Amphibia,Anura,Eleutherodactylidae,711,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c1106964204e471bdaac950ea19a51c,0c1106964204e471bdaac950ea19a51c,Si,NoDisponible,Si,Si,Si,,,,
22,Eleutherodactylus rubrimaculatus,226539,-92.6208333,15.3625,,False,5,38.44,Amphibia,Anura,Eleutherodactylidae,211,Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c44567c782ce02f39ba5e7c96ae5576,0c44567c782ce02f39ba5e7c96ae5576,No,NoDisponible,,,,,,,
142,Eleutherodactylus rubrimaculatus,226521,-92.9713889,15.6419444,,False,5,39.3,Amphibia,Anura,Eleutherodactylidae,656,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d9d53bc0ea7b1d9eb4dafbe27a9c493,0d9d53bc0ea7b1d9eb4dafbe27a9c493,Si,NoDisponible,No,,Si,,,,
121,Eleutherodactylus rubrimaculatus,230909,-92.093259,16.90667,,False,4,26.58,Amphibia,Anura,Eleutherodactylidae,892,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10195d2097f90b37f256e637f20a346f,10195d2097f90b37f256e637f20a346f,Si,NoDisponible,No,,Si,,,,
68,Eleutherodactylus rubrimaculatus,230696,-92.1499254,15.03,,False,5,39.3,Amphibia,Anura,Eleutherodactylidae,711,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14e748acfb634bc49ae1d18790ca260e,14e748acfb634bc49ae1d18790ca260e,Si,NoDisponible,Si,Si,Si,,,,
62,Eleutherodactylus rubrimaculatus,230696,-92.1452777,15.0363888,,False,5,39.3,Amphibia,Anura,Eleutherodactylidae,744,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15253cd4dd0cc4aac988c27503e81306,15253cd4dd0cc4aac988c27503e81306,Si,NoDisponible,Si,Si,Si,,,,
23,Eleutherodactylus rubrimaculatus,226539,-92.6208333,15.3625,,False,5,38.44,Amphibia,Anura,Eleutherodactylidae,211,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1835ea7b120c4b7dcbdcd91df1bcb52b,1835ea7b120c4b7dcbdcd91df1bcb52b,No,NoDisponible,,,,,,,
12,Eleutherodactylus rubrimaculatus,226533,-92.805,15.5125,,False,5,40.35,Amphibia,Anura,Eleutherodactylidae,572,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1840684be6e79ddd498439a8642b576e,1840684be6e79ddd498439a8642b576e,Si,NoDisponible,Si,Si,Si,,,,
24,Eleutherodactylus rubrimaculatus,226539,-92.6208333,15.3625,,False,5,38.44,Amphibia,Anura,Eleutherodactylidae,211,Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b1f502110565b6f04d2c6030d543276,1b1f502110565b6f04d2c6030d543276,No,NoDisponible,,,,,,,
81,Eleutherodactylus rubrimaculatus,230696,-92.1347222,15.0416667,,False,5,39.3,Amphibia,Anura,Eleutherodactylidae,765,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c31760ccfb73a90bacb78c39ce8dc9e,1c31760ccfb73a90bacb78c39ce8dc9e,Si,NoDisponible,Si,Si,Si,,,,
145,Eleutherodactylus rubrimaculatus,230708,-92.1802778,15.1563889,,False,6,51.12,Amphibia,Anura,Eleutherodactylidae,999,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c6ac558315e587ad51bfb4fc16e1136,1c6ac558315e587ad51bfb4fc16e1136,Si,NoDisponible,Si,Si,Si,,,,
146,Eleutherodactylus rubrimaculatus,230708,-92.1802778,15.1563889,,False,6,51.12,Amphibia,Anura,Eleutherodactylidae,999,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1cc58f91242331d11cedf1fdd5195b64,1cc58f91242331d11cedf1fdd5195b64,Si,NoDisponible,Si,Si,Si,,,,
58,Eleutherodactylus rubrimaculatus,230657,-92.4988889,14.8025,,False,3,20.28,Amphibia,Anura,Eleutherodactylidae,12,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f20aa86668faf80abadc28b87d4d500,1f20aa86668faf80abadc28b87d4d500,Si,NoDisponible,Si,Si,Si,,,,
147,Eleutherodactylus rubrimaculatus,230708,-92.1802778,15.1563889,,False,6,51.12,Amphibia,Anura,Eleutherodactylidae,999,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=217d285a49f0d0b68b0413f9b961c73d,217d285a49f0d0b68b0413f9b961c73d,Si,NoDisponible,Si,Si,Si,,,,
17,Eleutherodactylus rubrimaculatus,226539,-92.6083333,15.3583333,,False,5,38.44,Amphibia,Anura,Eleutherodactylidae,281,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=220f5556f69c3272849a180ad26d2867,220f5556f69c3272849a180ad26d2867,No,NoDisponible,,,,,,,
122,Eleutherodactylus rubrimaculatus,230909,-92.093259,16.90667,,False,4,26.58,Amphibia,Anura,Eleutherodactylidae,892,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=22531deeb7b7b185c2ef64c1a5022968,22531deeb7b7b185c2ef64c1a5022968,Si,NoDisponible,No,,Si,,,,
148,Eleutherodactylus rubrimaculatus,230708,-92.1802778,15.1563889,,False,6,51.12,Amphibia,Anura,Eleutherodactylidae,999,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2729c8f28a76d58c45ad9e4905fd701c,2729c8f28a76d58c45ad9e4905fd701c,Si,NoDisponible,Si,Si,Si,,,,
25,Eleutherodactylus rubrimaculatus,226539,-92.6208333,15.3625,,False,5,38.44,Amphibia,Anura,Eleutherodactylidae,211,Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=27cbae08c7f94c5906a4c1ed0f926f8c,27cbae08c7f94c5906a4c1ed0f926f8c,No,NoDisponible,,,,,,,
119,Eleutherodactylus rubrimaculatus,230675,-92.4399325,15.12,,False,4,26.65,Amphibia,Anura,Eleutherodactylidae,35,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=29a173533c6c5ba553331e5fb44b8dc1,29a173533c6c5ba553331e5fb44b8dc1,No,NoDisponible,,,,,,,
26,Eleutherodactylus rubrimaculatus,226539,-92.6208333,15.3625,,False,5,38.44,Amphibia,Anura,Eleutherodactylidae,211,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2a592d6d3da956e814a8935f2cfdf10b,2a592d6d3da956e814a8935f2cfdf10b,No,NoDisponible,,,,,,,
