,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
1,Eleutherodactylus verruculatus,185014,-98.00444,20.21083,,True,1,-138.35,Amphibia,Anura,Eleutherodactylidae,1344,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=30e8de4c9cb0313c31fb4b53624c44b0,30e8de4c9cb0313c31fb4b53624c44b0,No,NoDisponible,,,,,,,
6,Eleutherodactylus verruculatus,175716,-99.0372222,24.6252778,,False,3,21.89,Amphibia,Anura,Eleutherodactylidae,703,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37485b0bf2b66ec57c2b9e4b8f3f43d5,37485b0bf2b66ec57c2b9e4b8f3f43d5,Si,NoDisponible,No,,No,,,,
7,Eleutherodactylus verruculatus,175716,-99.0372222,24.6252778,,False,3,21.89,Amphibia,Anura,Eleutherodactylidae,703,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=43fa2329c35df5d425e4bfd8a0e44821,43fa2329c35df5d425e4bfd8a0e44821,Si,NoDisponible,No,,No,,,,
8,Eleutherodactylus verruculatus,175716,-99.0372222,24.6252778,,False,3,21.89,Amphibia,Anura,Eleutherodactylidae,703,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4674ff0ee040dff01034658d945553c5,4674ff0ee040dff01034658d945553c5,Si,NoDisponible,No,,No,,,,
9,Eleutherodactylus verruculatus,175716,-99.0372222,24.6252778,,False,3,21.89,Amphibia,Anura,Eleutherodactylidae,703,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4f16797bc7e5246f88e12d865bf7fff1,4f16797bc7e5246f88e12d865bf7fff1,Si,NoDisponible,No,,No,,,,
2,Eleutherodactylus verruculatus,194835,-97.025,18.9416667,,True,0,-148.95,Amphibia,Anura,Eleutherodactylidae,1066,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5aac6163fd8a808c5b916b16119c3a55,5aac6163fd8a808c5b916b16119c3a55,Si,NoDisponible,No,,Si,,,,
0,Eleutherodactylus verruculatus,185014,-98.0083333,20.225,,True,1,-138.35,Amphibia,Anura,Eleutherodactylidae,1638,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5c4f84bcce28220661f77a652d8b81d6,5c4f84bcce28220661f77a652d8b81d6,Si,NoDisponible,Si,Si,Si,,,,
3,Eleutherodactylus verruculatus,174988,-99.2341666,18.7430555,,False,2,8.99,Amphibia,Anura,Eleutherodactylidae,1071,Terrestre,1941,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=69335a8184d9705e5fe91e8e2ea67055,69335a8184d9705e5fe91e8e2ea67055,Si,NoDisponible,No,,No,,,,
10,Eleutherodactylus verruculatus,175716,-99.0372222,24.6252778,,False,3,21.89,Amphibia,Anura,Eleutherodactylidae,703,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=79a7136aad18ccedc6c8671ab13f3b61,79a7136aad18ccedc6c8671ab13f3b61,Si,NoDisponible,No,,No,,,,
11,Eleutherodactylus verruculatus,175716,-99.0372222,24.6252778,,False,3,21.89,Amphibia,Anura,Eleutherodactylidae,703,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7e0233baaaf189cf01186547f31135e0,7e0233baaaf189cf01186547f31135e0,Si,NoDisponible,No,,No,,,,
12,Eleutherodactylus verruculatus,175716,-99.0372222,24.6252778,,False,3,21.89,Amphibia,Anura,Eleutherodactylidae,703,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ad418d79af13b38c58b011580c37bd2a,ad418d79af13b38c58b011580c37bd2a,Si,NoDisponible,No,,No,,,,
4,Eleutherodactylus verruculatus,170676,-99.6680556,23.3008333,,False,2,12.03,Amphibia,Anura,Eleutherodactylidae,1745,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b3b9f0f6cf7c1809d5ef38e09f2b9b6d,b3b9f0f6cf7c1809d5ef38e09f2b9b6d,Si,NoDisponible,No,,No,,,,
5,Eleutherodactylus verruculatus,175524,-99.0638889,23.0194444,,False,2,10.45,Amphibia,Anura,Eleutherodactylidae,100,Terrestre,1997,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c85e820f6a2309ed1c2e0b690373920b,c85e820f6a2309ed1c2e0b690373920b,Si,NoDisponible,No,,No,,,,
