,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
30,Exerodonta chimalapa,194666,-96.716709,17.1,,True,0,-6.21,Amphibia,Anura,Hylidae,1650,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0796d84d861e2168b63d33fe9aef3b5b,0796d84d861e2168b63d33fe9aef3b5b,Si,NoDisponible,No,,Si,,,,
19,Exerodonta chimalapa,218052,-94.1674999,16.5563888,,False,5,51.45,Amphibia,Anura,Hylidae,1659,Dulceacuícola; Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09d6fdd5aa6f9bf54c37f048b4a600c1,09d6fdd5aa6f9bf54c37f048b4a600c1,No,NoDisponible,,,,,,,
25,Exerodonta chimalapa,218056,-94.1874999,16.6875999,,False,3,35.14,Amphibia,Anura,Hylidae,1005,Dulceacuícola; Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ea866eca128bf46ecd200d2a057e660,0ea866eca128bf46ecd200d2a057e660,No,NoDisponible,,,,,,,
32,Exerodonta chimalapa,218096,-93.7424999,16.6681899,,False,2,26.35,Amphibia,Anura,Hylidae,562,Dulceacuícola; Terrestre,2002,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1613784ebfa698d707d71d3fb61bb8a9,1613784ebfa698d707d71d3fb61bb8a9,No,NoDisponible,,,,,,,
34,Exerodonta chimalapa,213555,-94.4498999,16.7639,,False,5,54.68,Amphibia,Anura,Hylidae,2149,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=25a4db418c76d19feb4198916128c49d,25a4db418c76d19feb4198916128c49d,No,NoDisponible,,,,,,,
31,Exerodonta chimalapa,213538,-94.5599864,16.54,,False,2,23.6,Amphibia,Anura,Hylidae,46,Dulceacuícola; Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2cd3a66477fcb89f9867df438868cc62,2cd3a66477fcb89f9867df438868cc62,No,NoDisponible,,,,,,,
3,Exerodonta chimalapa,218057,-94.121778,16.4786944,,False,3,34.16,Amphibia,Anura,Hylidae,984,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2dd3537db0baab40aff0c772c15f66f3,2dd3537db0baab40aff0c772c15f66f3,Si,NoDisponible,Si,Si,Si,,,,
26,Exerodonta chimalapa,218056,-94.1874999,16.6875999,,False,3,35.14,Amphibia,Anura,Hylidae,1005,Dulceacuícola; Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=30fc8d3c74cb414e7812167e4c7da307,30fc8d3c74cb414e7812167e4c7da307,No,NoDisponible,,,,,,,
15,Exerodonta chimalapa,218057,-94.090528,16.4703333,,False,3,34.16,Amphibia,Anura,Hylidae,825,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=35ff328d059a60e1552a0a087b9b5b8e,35ff328d059a60e1552a0a087b9b5b8e,No,NoDisponible,,,,,,,
29,Exerodonta chimalapa,230690,-92.2554876,14.90694,,False,1,14.31,Amphibia,Anura,Hylidae,175,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ae3fde7024d217fd570ff69e2539ec2,3ae3fde7024d217fd570ff69e2539ec2,Si,NoDisponible,No,,Si,,,,
