,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
166,Exerodonta melanomma,169983,-99.480105,17.44,,False,5,49.38,Amphibia,Anura,Hylidae,1395,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0126309cff343d922f4ed25f2ec9099a,0126309cff343d922f4ed25f2ec9099a,No,NoDisponible,,,,,,,
186,Exerodonta melanomma,165094,-100.2947222,17.2541666,,False,2,30.34,Amphibia,Anura,Hylidae,798,Dulceacuícola; Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01891d694c48cff46934ee67d77e6efb,01891d694c48cff46934ee67d77e6efb,No,NoDisponible,,,,,,,
137,Exerodonta melanomma,169980,-99.4672,17.3606,,False,5,55.62,Amphibia,Anura,Hylidae,823,Dulceacuícola; Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=026a18b0bbeef2233cb905888425510c,026a18b0bbeef2233cb905888425510c,No,NoDisponible,,,,,,,
258,Exerodonta melanomma,194504,-97.07147,16.15336,,False,4,38.97,Amphibia,Anura,Hylidae,952,Dulceacuícola; Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0405bc1d3d2cd30d5542a1b3cf4f9179,0405bc1d3d2cd30d5542a1b3cf4f9179,No,NoDisponible,,,,,,,
95,Exerodonta melanomma,194513,-97.13712,16.21342,,False,5,50.25,Amphibia,Anura,Hylidae,1862,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05008f05fcf6be1c5888bf8ff472aed2,05008f05fcf6be1c5888bf8ff472aed2,No,NoDisponible,,,,,,,
62,Exerodonta melanomma,194513,-97.1400463,16.22,,False,5,50.25,Amphibia,Anura,Hylidae,1995,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05af41209391ce7dd7b26990aff5cfbf,05af41209391ce7dd7b26990aff5cfbf,No,NoDisponible,,,,,,,
63,Exerodonta melanomma,194513,-97.1400463,16.22,,False,5,50.25,Amphibia,Anura,Hylidae,1995,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=060e8eddf57ee246c0f8e1808f76d4e1,060e8eddf57ee246c0f8e1808f76d4e1,No,NoDisponible,,,,,,,
207,Exerodonta melanomma,174807,-99.329343,17.43361,,False,3,33.01,Amphibia,Anura,Hylidae,1895,Dulceacuícola; Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06987066b4af07cec6dacc99211a0ebf,06987066b4af07cec6dacc99211a0ebf,No,NoDisponible,,,,,,,
229,Exerodonta melanomma,194502,-97.140046,16.13,,False,4,43.62,Amphibia,Anura,Hylidae,506,Dulceacuícola; Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06d6704dde67dfcff720e82743cd7248,06d6704dde67dfcff720e82743cd7248,No,NoDisponible,,,,,,,
224,Exerodonta melanomma,199362,-96.5313011,16.0193588,,False,5,50.45,Amphibia,Anura,Hylidae,1436,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08065961b345dc64bb5c7bf9e6bf48ba,08065961b345dc64bb5c7bf9e6bf48ba,No,NoDisponible,,,,,,,
