,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
160,Exerodonta smaragdina,118464,-105.8336104,23.433333,,False,3,20.38,Amphibia,Anura,Hylidae,1410,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0161281ef89d5570da01e5d726663451,0161281ef89d5570da01e5d726663451,Si,NoDisponible,Si,Si,Si,,,,
270,Exerodonta smaragdina,141198,-103.30778,18.34056,,False,3,16.18,Amphibia,Anura,Hylidae,359,Dulceacuícola; Terrestre,1951,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02536c34681d9eecd080e1e18407093b,02536c34681d9eecd080e1e18407093b,No,NoDisponible,,,,,,,
103,Exerodonta smaragdina,131936,-104.3502267,19.71,,False,3,32.24,Amphibia,Anura,Hylidae,979,Dulceacuícola; Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0786ae5d3de8e7caf11e6bd97264b451,0786ae5d3de8e7caf11e6bd97264b451,No,NoDisponible,,,,,,,
116,Exerodonta smaragdina,131936,-104.3513882,19.7052698,,False,3,32.24,Amphibia,Anura,Hylidae,934,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=084d3aee9c8f5156fdcd3380b9390365,084d3aee9c8f5156fdcd3380b9390365,No,NoDisponible,,,,,,,
41,Exerodonta smaragdina,179901,-98.408139,18.5093333,,False,3,11.12,Amphibia,Anura,Hylidae,1426,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0869de07e1891463b2d45ad6cb3fe0e7,0869de07e1891463b2d45ad6cb3fe0e7,No,NoDisponible,,,,,,,
248,Exerodonta smaragdina,189764,-97.66177,18.1766669,,False,3,10.7,Amphibia,Anura,Hylidae,1732,Dulceacuícola; Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08dd78e22f441df16f88541d25a62192,08dd78e22f441df16f88541d25a62192,Si,NoDisponible,No,,No,,,,
161,Exerodonta smaragdina,118464,-105.8336104,23.433333,,False,3,20.38,Amphibia,Anura,Hylidae,1410,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=099915ee4743634bfe7b8587378deb78,099915ee4743634bfe7b8587378deb78,Si,NoDisponible,Si,Si,Si,,,,
58,Exerodonta smaragdina,118511,-105.8402785,23.63,,True,1,-30.89,Amphibia,Anura,Hylidae,2254,Dulceacuícola; Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09afabf8e9146746ef12e52306084308,09afabf8e9146746ef12e52306084308,Si,NoDisponible,No,,No,,,,
259,Exerodonta smaragdina,155463,-101.6333999,17.7410999,,False,3,13.69,Amphibia,Anura,Hylidae,22,Dulceacuícola; Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a2b644d6c0e1c66f7d403e889cbce87,0a2b644d6c0e1c66f7d403e889cbce87,No,NoDisponible,,,,,,,
202,Exerodonta smaragdina,118464,-105.8405319,23.4433543,,False,3,20.38,Amphibia,Anura,Hylidae,1215,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bcb1ad0ca3578828f09e42f8090561b,0bcb1ad0ca3578828f09e42f8090561b,Si,NoDisponible,Si,Si,Si,,,,
96,Exerodonta smaragdina,127522,-104.9002465,21.4166667,,False,3,17.49,Amphibia,Anura,Hylidae,1002,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c7e40398bb8a3dbc7eb6437c30ffce9,0c7e40398bb8a3dbc7eb6437c30ffce9,No,NoDisponible,,,,,,,
117,Exerodonta smaragdina,131936,-104.3513882,19.7052698,,False,3,32.24,Amphibia,Anura,Hylidae,934,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d62a570af304ca4065eabeb2473605e,0d62a570af304ca4065eabeb2473605e,No,NoDisponible,,,,,,,
104,Exerodonta smaragdina,131936,-104.3502267,19.71,,False,3,32.24,Amphibia,Anura,Hylidae,979,Dulceacuícola; Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0dbe3ba9eeb25d413ec19e6e6d596ae7,0dbe3ba9eeb25d413ec19e6e6d596ae7,No,NoDisponible,,,,,,,
34,Exerodonta smaragdina,179901,-98.4167505,18.5,,False,3,11.12,Amphibia,Anura,Hylidae,1385,Dulceacuícola; Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0dfbba27004285548d115d8dce4bf5fc,0dfbba27004285548d115d8dce4bf5fc,No,NoDisponible,,,,,,,
162,Exerodonta smaragdina,118464,-105.8336104,23.433333,,False,3,20.38,Amphibia,Anura,Hylidae,1410,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e117f4dc704851fa7262264dd160d79,0e117f4dc704851fa7262264dd160d79,Si,NoDisponible,Si,Si,Si,,,,
11,Exerodonta smaragdina,146132,-102.8,20.0899999,,False,3,17.39,Amphibia,Anura,Hylidae,1834,Dulceacuícola; Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e7842013dbe06616f0a0313fc2a9b4e,0e7842013dbe06616f0a0313fc2a9b4e,Si,NoDisponible,No,,Si,,,,
163,Exerodonta smaragdina,118464,-105.8336104,23.433333,,False,3,20.38,Amphibia,Anura,Hylidae,1410,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f290c322cd694e84697fbfdb7a1d2ad,0f290c322cd694e84697fbfdb7a1d2ad,Si,NoDisponible,Si,Si,Si,,,,
