,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
10,Gastrophryne mazatlanensis,78526,-111.049208,29.0721805,,False,1,11.24,Amphibia,Anura,Microhylidae,185,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f34c7bae25db6ecd8fc0961912bee1c,0f34c7bae25db6ecd8fc0961912bee1c,Si,NoDisponible,NoDisponible,,No,,,,
11,Gastrophryne mazatlanensis,96338,-109.1706483,25.9129197,,False,2,13.19,Amphibia,Anura,Microhylidae,13,Terrestre,2017,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2db0ba4c4882c8c1d0659dc358d518b8,2db0ba4c4882c8c1d0659dc358d518b8,Si,NoDisponible,NoDisponible,,Si,,,,
8,Gastrophryne mazatlanensis,122912,-105.5133822,22.4008058,,False,0,9.51,Amphibia,Anura,Microhylidae,6,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=39a6680375cfe6eb8d60b86dc7842054,39a6680375cfe6eb8d60b86dc7842054,Si,NoDisponible,NoDisponible,,No,,,,
5,Gastrophryne mazatlanensis,83037,-110.7705799,29.0333599,,False,4,16.08,Amphibia,Anura,Microhylidae,262,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=43e15ce37fb0fbde655e816b61ae0ac9,43e15ce37fb0fbde655e816b61ae0ac9,Si,NoDisponible,NoDisponible,,No,,,,
0,Gastrophryne mazatlanensis,113915,-106.4153,23.2361,,False,3,14.14,Amphibia,Anura,Microhylidae,9,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4ec2f6ab63111451c7d439d3a8cc917b,4ec2f6ab63111451c7d439d3a8cc917b,No,NoDisponible,NoDisponible,,,,,,
2,Gastrophryne mazatlanensis,113915,-106.41,23.25,,False,3,14.14,Amphibia,Anura,Microhylidae,9,Terrestre,1934,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6da700db738b0674b4c2d1142aec2703,6da700db738b0674b4c2d1142aec2703,No,NoDisponible,NoDisponible,,,,,,
3,Gastrophryne mazatlanensis,113915,-106.41,23.25,,False,3,14.14,Amphibia,Anura,Microhylidae,9,Terrestre,1934,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8a280ce90b3a718e6b618b5b1c3ea761,8a280ce90b3a718e6b618b5b1c3ea761,No,NoDisponible,NoDisponible,,,,,,
6,Gastrophryne mazatlanensis,113914,-106.4350749,23.3041708,,False,3,14.18,Amphibia,Anura,Microhylidae,19,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a82debef5448c2803ed26150e81be856,a82debef5448c2803ed26150e81be856,No,NoDisponible,NoDisponible,,,,,,
1,Gastrophryne mazatlanensis,113915,-106.4153,23.2361,,False,3,14.14,Amphibia,Anura,Microhylidae,9,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b2faf5380ddc9f564955ca26bfa4fcca,b2faf5380ddc9f564955ca26bfa4fcca,No,NoDisponible,NoDisponible,,,,,,
4,Gastrophryne mazatlanensis,113915,-106.41,23.25,,False,3,14.14,Amphibia,Anura,Microhylidae,9,Terrestre,1934,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b8622448a5b8ee569283f153dccaa0c9,b8622448a5b8ee569283f153dccaa0c9,No,NoDisponible,NoDisponible,,,,,,
9,Gastrophryne mazatlanensis,122912,-105.5121236,22.4018263,,False,0,9.51,Amphibia,Anura,Microhylidae,8,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=efafdf0352cc2663f82357c2d8b0f6aa,efafdf0352cc2663f82357c2d8b0f6aa,Si,NoDisponible,NoDisponible,,No,,,,
7,Gastrophryne mazatlanensis,113914,-106.4372799,23.3040138,,False,3,14.18,Amphibia,Anura,Microhylidae,20,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ffb06c66551bd9414e6e417a20ba1ad4,ffb06c66551bd9414e6e417a20ba1ad4,No,NoDisponible,NoDisponible,,,,,,
