,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
0,Gastrophryne olivacea,137416,-103.925,26.3083333,,False,3,4.25,Amphibia,Anura,Microhylidae,1149,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01dd9a73e486dcadf4f2a42377c466b2,01dd9a73e486dcadf4f2a42377c466b2,Si,NoDisponible,Si,Si,Si,,,,
1,Gastrophryne olivacea,137416,-103.925,26.3083333,,False,3,4.25,Amphibia,Anura,Microhylidae,1149,Dulceacuícola; Terrestre,1934,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=336b21924b524891551346cefe0a2515,336b21924b524891551346cefe0a2515,No,NoDisponible,,,,,,,
2,Gastrophryne olivacea,137416,-103.925,26.3083333,,False,3,4.25,Amphibia,Anura,Microhylidae,1149,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8909472e836d70778b7368253b652014,8909472e836d70778b7368253b652014,No,NoDisponible,,,,,,,
3,Gastrophryne olivacea,137416,-103.925,26.3083333,,False,3,4.25,Amphibia,Anura,Microhylidae,1149,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ddd95b12418be8cbfc0ee3b160b1f76b,ddd95b12418be8cbfc0ee3b160b1f76b,Si,NoDisponible,Si,Si,Si,,,,
4,Gastrophryne olivacea,137416,-103.925,26.3083333,,False,3,4.25,Amphibia,Anura,Microhylidae,1149,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e90231cd9a00b81b8a0826da774015b8,e90231cd9a00b81b8a0826da774015b8,No,NoDisponible,,,,,,,
5,Gastrophryne olivacea,83063,-110.5916667,29.0583333,,False,3,4.76,Amphibia,Anura,Microhylidae,464,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b14602c1f5be58cf46d06d834576487,0b14602c1f5be58cf46d06d834576487,No,NoDisponible,,,,,,,
6,Gastrophryne olivacea,161494,-101.1416667,28.1083333,,False,3,2.46,Amphibia,Anura,Microhylidae,431,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5b7bf9f0bdb8c71dc0fc8ab4ca20af2c,5b7bf9f0bdb8c71dc0fc8ab4ca20af2c,No,NoDisponible,,,,,,,
7,Gastrophryne olivacea,156699,-101.525,27.8916667,,False,3,2.97,Amphibia,Anura,Microhylidae,489,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04ce7d437b0668f9297c0a95ae18e75e,04ce7d437b0668f9297c0a95ae18e75e,No,NoDisponible,,,,,,,
8,Gastrophryne olivacea,156699,-101.525,27.8916667,,False,3,2.97,Amphibia,Anura,Microhylidae,489,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bb53858492cd5892745e5138bfdd6b37,bb53858492cd5892745e5138bfdd6b37,No,NoDisponible,,,,,,,
9,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bf914d5d3fda432a351463818df9e44,0bf914d5d3fda432a351463818df9e44,No,NoDisponible,,,,,,,
10,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2330a6a08f9089d6ebd47859727c2cab,2330a6a08f9089d6ebd47859727c2cab,No,NoDisponible,,,,,,,
11,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d21e39d114c1642bb9c14bceffd6e8c,2d21e39d114c1642bb9c14bceffd6e8c,No,NoDisponible,,,,,,,
12,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3336e062dddc7ac050483be1a5697f87,3336e062dddc7ac050483be1a5697f87,Si,NoDisponible,Si,Si,Si,,,,
13,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=33b6b1c46f500c3a8962937502b6ae7a,33b6b1c46f500c3a8962937502b6ae7a,Si,NoDisponible,Si,Si,Si,,,,
14,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3491db5d0628fced94dc8965a77c19c0,3491db5d0628fced94dc8965a77c19c0,Si,NoDisponible,Si,Si,Si,,,,
15,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c2d271b8b56f01e082092658e304c1e,3c2d271b8b56f01e082092658e304c1e,No,NoDisponible,,,,,,,
16,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c4308209a9ffe8a1d0b32f130398234,3c4308209a9ffe8a1d0b32f130398234,No,NoDisponible,,,,,,,
17,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f5c92e49a2a51079818a3105f57226c,3f5c92e49a2a51079818a3105f57226c,No,NoDisponible,,,,,,,
18,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=538e41f722998dc129f41ee0b625669d,538e41f722998dc129f41ee0b625669d,No,NoDisponible,,,,,,,
19,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=67f63b1e6c8b394dd7cbefca6dfc245d,67f63b1e6c8b394dd7cbefca6dfc245d,No,NoDisponible,,,,,,,
20,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7742274a65356dbabf22679dea84184f,7742274a65356dbabf22679dea84184f,Si,NoDisponible,No,,No,,,,
21,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7795c3a13bde87def20a286c9408a481,7795c3a13bde87def20a286c9408a481,No,NoDisponible,,,,,,,
22,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=80124bcb976c57f43710fedaaabd3c39,80124bcb976c57f43710fedaaabd3c39,No,NoDisponible,,,,,,,
23,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8bfc32f90bea9a7763a3d98a48e0acc2,8bfc32f90bea9a7763a3d98a48e0acc2,No,NoDisponible,,,,,,,
24,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8c8623b239cbc904e20fbbb05b4c00ee,8c8623b239cbc904e20fbbb05b4c00ee,No,NoDisponible,,,,,,,
25,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9327c602426666dffb5a7f1d2b7b705a,9327c602426666dffb5a7f1d2b7b705a,No,NoDisponible,,,,,,,
26,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c1b9a28a3f46f38a66c8042f2eb782f6,c1b9a28a3f46f38a66c8042f2eb782f6,No,NoDisponible,,,,,,,
27,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d8138821dee786d2959f819d900c29db,d8138821dee786d2959f819d900c29db,No,NoDisponible,,,,,,,
28,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=db48d58230bf8b0772255b119cf6f71a,db48d58230bf8b0772255b119cf6f71a,No,NoDisponible,,,,,,,
29,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e61503827cce778d661d88c5a071585e,e61503827cce778d661d88c5a071585e,Si,NoDisponible,Si,Si,Si,,,,
30,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ed6a01facee8769669361f587005c367,ed6a01facee8769669361f587005c367,No,NoDisponible,,,,,,,
31,Gastrophryne olivacea,156699,-101.5075833,27.8783888,,False,3,2.97,Amphibia,Anura,Microhylidae,484,Dulceacuícola; Terrestre,1938,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=efb745c16615dc5046d94438f9a37e63,efb745c16615dc5046d94438f9a37e63,No,NoDisponible,,,,,,,
32,Gastrophryne olivacea,96508,-108.6916667,26.9083333,,False,3,4.05,Amphibia,Anura,Microhylidae,410,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fac36653cea68fa622864f5456fad36f,fac36653cea68fa622864f5456fad36f,No,NoDisponible,,,,,,,
33,Gastrophryne olivacea,96508,-108.6767777,26.9166666,,False,3,4.05,Amphibia,Anura,Microhylidae,359,Dulceacuícola; Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d8d8e86df3beb86fbc2d66aef072d32,0d8d8e86df3beb86fbc2d66aef072d32,No,NoDisponible,,,,,,,
34,Gastrophryne olivacea,96508,-108.6767777,26.9166666,,False,3,4.05,Amphibia,Anura,Microhylidae,359,Dulceacuícola; Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2a9a89fc751bcbcbef48fc48c01a0819,2a9a89fc751bcbcbef48fc48c01a0819,No,NoDisponible,,,,,,,
35,Gastrophryne olivacea,96508,-108.6767777,26.9166666,,False,3,4.05,Amphibia,Anura,Microhylidae,359,Dulceacuícola; Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3dd782e60806343273c4dc779ec1a458,3dd782e60806343273c4dc779ec1a458,No,NoDisponible,,,,,,,
36,Gastrophryne olivacea,96508,-108.6767777,26.9166666,,False,3,4.05,Amphibia,Anura,Microhylidae,359,Dulceacuícola; Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=407e87aadc471659630527ae8f38ea37,407e87aadc471659630527ae8f38ea37,No,NoDisponible,,,,,,,
37,Gastrophryne olivacea,96508,-108.6767777,26.9166666,,False,3,4.05,Amphibia,Anura,Microhylidae,359,Dulceacuícola; Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=51d004ed40148d292cf57761410f44c0,51d004ed40148d292cf57761410f44c0,No,NoDisponible,,,,,,,
38,Gastrophryne olivacea,96508,-108.6767777,26.9166666,,False,3,4.05,Amphibia,Anura,Microhylidae,359,Dulceacuícola; Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=54b824b9a881922567a7f2a710834a1e,54b824b9a881922567a7f2a710834a1e,No,NoDisponible,,,,,,,
39,Gastrophryne olivacea,96508,-108.6767777,26.9166666,,False,3,4.05,Amphibia,Anura,Microhylidae,359,Dulceacuícola; Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5fa29977a6f25ea17f3d799296480157,5fa29977a6f25ea17f3d799296480157,No,NoDisponible,,,,,,,
40,Gastrophryne olivacea,96508,-108.6767777,26.9166666,,False,3,4.05,Amphibia,Anura,Microhylidae,359,Dulceacuícola; Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7fa7f7e7a38bee94531333ec14b4d820,7fa7f7e7a38bee94531333ec14b4d820,No,NoDisponible,,,,,,,
41,Gastrophryne olivacea,96508,-108.6767777,26.9166666,,False,3,4.05,Amphibia,Anura,Microhylidae,359,Dulceacuícola; Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8968d872efbc3b004eb574bb79e0b48a,8968d872efbc3b004eb574bb79e0b48a,No,NoDisponible,,,,,,,
42,Gastrophryne olivacea,96508,-108.6767777,26.9166666,,False,3,4.05,Amphibia,Anura,Microhylidae,359,Dulceacuícola; Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8998ed63a0625fd21c6ce7389c8ade5e,8998ed63a0625fd21c6ce7389c8ade5e,No,NoDisponible,,,,,,,
43,Gastrophryne olivacea,96508,-108.6767777,26.9166666,,False,3,4.05,Amphibia,Anura,Microhylidae,359,Dulceacuícola; Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b0c3af8eb0e25f8c9e615f9b0cb1018d,b0c3af8eb0e25f8c9e615f9b0cb1018d,No,NoDisponible,,,,,,,
44,Gastrophryne olivacea,96508,-108.6767777,26.9166666,,False,3,4.05,Amphibia,Anura,Microhylidae,359,Dulceacuícola; Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c3e5d2c0646728545b60100b3a30583f,c3e5d2c0646728545b60100b3a30583f,No,NoDisponible,,,,,,,
45,Gastrophryne olivacea,96508,-108.6767777,26.9166666,,False,3,4.05,Amphibia,Anura,Microhylidae,359,Dulceacuícola; Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c8171a4eebf1bdeafbea7d7385e97981,c8171a4eebf1bdeafbea7d7385e97981,No,NoDisponible,,,,,,,
