,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
849,Hypopachus variolosus,261030,-88.2298419,18.9,,False,4,14.91,Amphibia,Anura,Microhylidae,15,Dulceacuícola; Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=003919314f17b47b33bf6b8df8edb337,003919314f17b47b33bf6b8df8edb337,No,NoDisponible,NoDisponible,,,,,,
1111,Hypopachus variolosus,252324,-89.2980555,18.7522222,,False,4,10.13,Amphibia,Anura,Microhylidae,220,Dulceacuícola; Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=008b803fbeece73c0a239fdc846b5320,008b803fbeece73c0a239fdc846b5320,No,NoDisponible,NoDisponible,,,,,,
754,Hypopachus variolosus,136549,-103.7702097,18.78,,False,4,11.28,Amphibia,Anura,Microhylidae,15,Dulceacuícola; Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=020da81129c93f064f0513edc4b710f0,020da81129c93f064f0513edc4b710f0,No,NoDisponible,NoDisponible,,,,,,
521,Hypopachus variolosus,208825,-94.99,16.22,,False,4,10.08,Amphibia,Anura,Microhylidae,11,Dulceacuícola; Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=029871e03dc0d3f464e3fb0dbfab3398,029871e03dc0d3f464e3fb0dbfab3398,No,NoDisponible,NoDisponible,,,,,,
900,Hypopachus variolosus,218036,-93.8852477,16.25,,False,4,16.27,Amphibia,Anura,Microhylidae,72,Dulceacuícola; Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02dc6d66f71c8c438ef6a6d90002b6e5,02dc6d66f71c8c438ef6a6d90002b6e5,No,NoDisponible,NoDisponible,,,,,,
141,Hypopachus variolosus,261347,-88.1583333,21.3583333,,False,4,12.22,Amphibia,Anura,Microhylidae,17,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=036f4fe479167279031c8d9848692def,036f4fe479167279031c8d9848692def,No,NoDisponible,NoDisponible,,,,,,
1296,Hypopachus variolosus,218083,-93.8944444,16.4430556,,False,3,3.03,Amphibia,Anura,Microhylidae,981,Dulceacuícola; Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03e9453fb9ca5fe418bbbae27359fc82,03e9453fb9ca5fe418bbbae27359fc82,No,NoDisponible,NoDisponible,,,,,,
1251,Hypopachus variolosus,230838,-92.2458333,16.3791667,,False,3,-0.28,Amphibia,Anura,Microhylidae,2016,Dulceacuícola; Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0415709990cdbcaded6c3f2224f2038c,0415709990cdbcaded6c3f2224f2038c,No,NoDisponible,NoDisponible,,,,,,
615,Hypopachus variolosus,118450,-106.0202812,23.31,,False,4,8.96,Amphibia,Anura,Microhylidae,176,Dulceacuícola; Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=041dcf531b40b64376c32532f6035bd7,041dcf531b40b64376c32532f6035bd7,No,NoDisponible,NoDisponible,,,,,,
183,Hypopachus variolosus,243670,-90.8099029,18.61,,False,4,11.55,Amphibia,Anura,Microhylidae,101,Dulceacuícola; Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=043d2a0e10d4d40bcd7692e80c2ae953,043d2a0e10d4d40bcd7692e80c2ae953,No,NoDisponible,NoDisponible,,,,,,
755,Hypopachus variolosus,136549,-103.7702097,18.78,,False,4,11.28,Amphibia,Anura,Microhylidae,15,Dulceacuícola; Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=045379b2dee6da19757d61c3a65bd11c,045379b2dee6da19757d61c3a65bd11c,No,NoDisponible,NoDisponible,,,,,,
100,Hypopachus variolosus,127522,-104.9002466,21.43,,False,3,5.53,Amphibia,Anura,Microhylidae,978,Dulceacuícola; Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=047e0ab8c1e8a3bf43fdb0d6e30db2fd,047e0ab8c1e8a3bf43fdb0d6e30db2fd,No,NoDisponible,NoDisponible,,,,,,
684,Hypopachus variolosus,113915,-106.4202902,23.24,,False,3,6.2,Amphibia,Anura,Microhylidae,6,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04831667978049a1762a5284cb99d5d9,04831667978049a1762a5284cb99d5d9,No,NoDisponible,NoDisponible,,,,,,
967,Hypopachus variolosus,118425,-106.160284,23.22,,False,3,7.99,Amphibia,Anura,Microhylidae,34,Dulceacuícola; Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04861a6ccaad4335257fc0ec1246ed14,04861a6ccaad4335257fc0ec1246ed14,No,NoDisponible,NoDisponible,,,,,,
463,Hypopachus variolosus,127488,-104.6497252,21.292856,,False,3,2.29,Amphibia,Anura,Microhylidae,1255,Dulceacuícola; Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04b56a0b69e6392c221464f4d00166d5,04b56a0b69e6392c221464f4d00166d5,No,NoDisponible,NoDisponible,,,,,,
1076,Hypopachus variolosus,261167,-88.0156666,19.8910277,,False,4,12.43,Amphibia,Anura,Microhylidae,19,Dulceacuícola; Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04b7756418c9d1c113e402d49638710f,04b7756418c9d1c113e402d49638710f,No,NoDisponible,NoDisponible,,,,,,
901,Hypopachus variolosus,218036,-93.8852477,16.25,,False,4,16.27,Amphibia,Anura,Microhylidae,72,Dulceacuícola; Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04d2f6859667838c89ef3ea39dea3006,04d2f6859667838c89ef3ea39dea3006,No,NoDisponible,NoDisponible,,,,,,
500,Hypopachus variolosus,175025,-99.1302778,18.9652778,,False,4,9.12,Amphibia,Anura,Microhylidae,1580,Dulceacuícola; Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=050d76ccc0030065ad99e007312d6f85,050d76ccc0030065ad99e007312d6f85,No,NoDisponible,NoDisponible,,,,,,
1257,Hypopachus variolosus,218081,-93.9736111,16.4944444,,False,3,3.82,Amphibia,Anura,Microhylidae,671,Dulceacuícola; Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05268af8063f667059317938825a3907,05268af8063f667059317938825a3907,No,NoDisponible,NoDisponible,,,,,,
68,Hypopachus variolosus,184675,-97.9083333,17.0083333,,False,4,8.13,Amphibia,Anura,Microhylidae,724,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=056bc4369bb28442c4453897a9261897,056bc4369bb28442c4453897a9261897,No,NoDisponible,NoDisponible,,,,,,
344,Hypopachus variolosus,174936,-99.3201052,18.62,,False,3,7.05,Amphibia,Anura,Microhylidae,885,Dulceacuícola; Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05c921c88ce2f643506aaccf91f09d12,05c921c88ce2f643506aaccf91f09d12,No,NoDisponible,NoDisponible,,,,,,
1258,Hypopachus variolosus,218081,-93.9736111,16.4944444,,False,3,3.82,Amphibia,Anura,Microhylidae,671,Dulceacuícola; Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05cf75869595fd5e0bf50e1331186188,05cf75869595fd5e0bf50e1331186188,No,NoDisponible,NoDisponible,,,,,,
1108,Hypopachus variolosus,252322,-89.3952777,18.7313888,,False,4,10.25,Amphibia,Anura,Microhylidae,273,Dulceacuícola; Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05e0815294cedf36e69dce34b6cde572,05e0815294cedf36e69dce34b6cde572,No,NoDisponible,NoDisponible,,,,,,
