,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
8,Incilius alvarius,78524,-110.975,28.975,,False,5,15.76,Amphibia,Anura,Bufonidae,221,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0061af4e5ddab603e30c4565357381cc,0061af4e5ddab603e30c4565357381cc,No,NoDisponible,,,,,,,
199,Incilius alvarius,96507,-108.68333,26.9,,False,4,1.87,Amphibia,Anura,Bufonidae,425,Dulceacuícola; Terrestre,1947,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=006eeb0d030c66295d79eb929e8dba9b,006eeb0d030c66295d79eb929e8dba9b,No,NoDisponible,,,,,,,
201,Incilius alvarius,96507,-108.6919166,26.9031388,,False,4,1.87,Amphibia,Anura,Bufonidae,400,Dulceacuícola; Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d905b4d9db6a30a56dd7cc599467b0,00d905b4d9db6a30a56dd7cc599467b0,No,NoDisponible,,,,,,,
9,Incilius alvarius,51607,-114.875,32.5083333,,False,5,11.75,Amphibia,Anura,Bufonidae,25,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0128a2524ef3d1ab65dc277938c51d79,0128a2524ef3d1ab65dc277938c51d79,No,NoDisponible,,,,,,,
86,Incilius alvarius,65203,-112.8504948,31.86,,False,5,13.12,Amphibia,Anura,Bufonidae,403,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01438941d1bd0b09805c472ba8141b99,01438941d1bd0b09805c472ba8141b99,No,NoDisponible,,,,,,,
176,Incilius alvarius,78463,-111,28.5,,False,5,19.66,Amphibia,Anura,Bufonidae,521,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=033ac8d8c8377172f3c25ffd4f751bce,033ac8d8c8377172f3c25ffd4f751bce,No,NoDisponible,,,,,,,
311,Incilius alvarius,96498,-108.8813055,26.9391666,,False,4,5.33,Amphibia,Anura,Bufonidae,279,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05da7ad720a3b88f27c6c8d00cde5917,05da7ad720a3b88f27c6c8d00cde5917,No,NoDisponible,,,,,,,
80,Incilius alvarius,65203,-112.8704953,31.86,,False,5,13.12,Amphibia,Anura,Bufonidae,398,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=089ddf8f7759858b83d52e8f20f5da3c,089ddf8f7759858b83d52e8f20f5da3c,No,NoDisponible,,,,,,,
230,Incilius alvarius,92001,-109.4803827,27.16,,False,5,13.65,Amphibia,Anura,Bufonidae,50,Dulceacuícola; Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0910740e61b99714191bd7f3c0f4f85f,0910740e61b99714191bd7f3c0f4f85f,No,NoDisponible,,,,,,,
348,Incilius alvarius,51649,-114.9305498,32.6,,False,5,11.83,Amphibia,Anura,Bufonidae,26,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09782beccfe8a73fb22bcddf0b634037,09782beccfe8a73fb22bcddf0b634037,Si,NoDisponible,Si,Si,Si,,,,
107,Incilius alvarius,96543,-109,27.5,,True,3,-4.84,Amphibia,Anura,Bufonidae,1038,Dulceacuícola; Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a018e8ca493941a303cdbd80ab9a522,0a018e8ca493941a303cdbd80ab9a522,No,NoDisponible,,,,,,,
373,Incilius alvarius,91927,-109.6924999,27.0045,,False,5,13.1,Amphibia,Anura,Bufonidae,21,Dulceacuícola; Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0af50b4bb2553b2620a7db3df80fed8b,0af50b4bb2553b2620a7db3df80fed8b,No,NoDisponible,,,,,,,
