,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
240,Incilius canaliferus,230696,-92.1452777,15.0363888,,False,9,29.79,Amphibia,Anura,Bufonidae,744,Dulceacuícola; Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=001345764348075ae9bee6ea7de10e9c,001345764348075ae9bee6ea7de10e9c,Si,NoDisponible,Si,Si,Si,,,,
778,Incilius canaliferus,226539,-92.6002778,15.3708333,,False,10,37.61,Amphibia,Anura,Bufonidae,500,Dulceacuícola; Terrestre,1940,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=006a3903750581c20be8659bcd95c5f2,006a3903750581c20be8659bcd95c5f2,No,NoDisponible,,,,,,,
808,Incilius canaliferus,218035,-93.8985799,16.23389,,False,9,29.68,Amphibia,Anura,Bufonidae,48,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00c3e0202bbdc55ef19ab5d5721da0ac,00c3e0202bbdc55ef19ab5d5721da0ac,No,NoDisponible,,,,,,,
696,Incilius canaliferus,226539,-92.6,15.3722222,,False,10,37.61,Amphibia,Anura,Bufonidae,564,Dulceacuícola; Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0139bfe37f845f2b5260e56e51e635b1,0139bfe37f845f2b5260e56e51e635b1,No,NoDisponible,,,,,,,
555,Incilius canaliferus,226512,-92.91778,15.57583,,False,9,32.64,Amphibia,Anura,Bufonidae,337,Dulceacuícola; Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=013e7321f8b5ffea529ccb8c1c56b2af,013e7321f8b5ffea529ccb8c1c56b2af,No,NoDisponible,,,,,,,
115,Incilius canaliferus,226537,-92.675,15.3388889,,False,10,37.28,Amphibia,Anura,Bufonidae,82,Dulceacuícola; Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=014a2cccafab5d9a44b43ba9e1fd198d,014a2cccafab5d9a44b43ba9e1fd198d,No,NoDisponible,,,,,,,
623,Incilius canaliferus,230616,-92.4225,14.7186111,,False,8,22.17,Amphibia,Anura,Bufonidae,12,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=017eaa5a413fb23a4604d619cc1706d5,017eaa5a413fb23a4604d619cc1706d5,Si,NoDisponible,Si,Si,Si,,,,
814,Incilius canaliferus,199645,-96.4000378,18.5,,False,7,13.4,Amphibia,Anura,Bufonidae,75,Dulceacuícola; Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0257a4586c666245310cf6805cde9a55,0257a4586c666245310cf6805cde9a55,Si,NoDisponible,No,,No,,,,
704,Incilius canaliferus,226539,-92.6208333,15.3625,,False,10,37.61,Amphibia,Anura,Bufonidae,211,Dulceacuícola; Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=026f1914861d6f879956752902d6cf80,026f1914861d6f879956752902d6cf80,No,NoDisponible,,,,,,,
362,Incilius canaliferus,230696,-92.1347222,15.0416667,,False,9,29.79,Amphibia,Anura,Bufonidae,765,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0384f7da47a2726b7677ee9bed0c91ab,0384f7da47a2726b7677ee9bed0c91ab,No,NoDisponible,,,,,,,
