,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
287,Incilius mazatlanensis,96501,-108.9416667,27.025,,False,6,9.04,Amphibia,Anura,Bufonidae,394,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0004c62902294a691360bf14f41a752f,0004c62902294a691360bf14f41a752f,No,NoDisponible,,,,,,,
2205,Incilius mazatlanensis,92143,-109.3005277,28.2556944,,False,6,6.5,Amphibia,Anura,Bufonidae,426,Dulceacuícola; Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00229bdd58a1d897a5272f817b2b20e9,00229bdd58a1d897a5272f817b2b20e9,No,NoDisponible,,,,,,,
1975,Incilius mazatlanensis,87486,-109.9303956,27.55,,False,6,4.73,Amphibia,Anura,Bufonidae,34,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0047414800171ed00961f47d9d8e397e,0047414800171ed00961f47d9d8e397e,No,NoDisponible,,,,,,,
664,Incilius mazatlanensis,113970,-106.630298,23.85,,False,6,13.08,Amphibia,Anura,Bufonidae,66,Dulceacuícola; Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0052276f4b8fbb877a2ed083eda3a0c8,0052276f4b8fbb877a2ed083eda3a0c8,No,NoDisponible,,,,,,,
546,Incilius mazatlanensis,92001,-109.475,27.125,,False,6,4.6,Amphibia,Anura,Bufonidae,44,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00587f44b974d8ef9b4ea278518bd7c8,00587f44b974d8ef9b4ea278518bd7c8,No,NoDisponible,,,,,,,
440,Incilius mazatlanensis,113915,-106.4153,23.2361,,False,6,7.87,Amphibia,Anura,Bufonidae,9,Dulceacuícola; Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00710f00cdb419b3b91087c9774b6a40,00710f00cdb419b3b91087c9774b6a40,No,NoDisponible,,,,,,,
1359,Incilius mazatlanensis,118427,-106.1302834,23.23,,False,6,12.8,Amphibia,Anura,Bufonidae,73,Dulceacuícola; Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0072639ee7c9bd9484d8b05532f583d6,0072639ee7c9bd9484d8b05532f583d6,No,NoDisponible,,,,,,,
271,Incilius mazatlanensis,118443,-105.85694,22.99028,,False,6,13.51,Amphibia,Anura,Bufonidae,29,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0093719ebfec1258ebbf0d5af90bdd3c,0093719ebfec1258ebbf0d5af90bdd3c,No,NoDisponible,,,,,,,
1769,Incilius mazatlanensis,132110,-104.4699999,21.05,,False,6,0.76,Amphibia,Anura,Bufonidae,1003,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0098a7812d2fc1b64dcf37571078e13f,0098a7812d2fc1b64dcf37571078e13f,No,NoDisponible,,,,,,,
973,Incilius mazatlanensis,96349,-109.0703661,25.96,,False,6,6.43,Amphibia,Anura,Bufonidae,16,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b66c48f408d22deb54f698a95ea068,00b66c48f408d22deb54f698a95ea068,Si,NoDisponible,Si,Si,Si,,,,
767,Incilius mazatlanensis,127525,-104.9083333,21.525,,False,6,5.93,Amphibia,Anura,Bufonidae,958,Dulceacuícola; Terrestre,1934,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d10a4ac0af0b439c9e7e87886b62a8,00d10a4ac0af0b439c9e7e87886b62a8,No,NoDisponible,,,,,,,
749,Incilius mazatlanensis,113916,-106.41,23.31,,False,6,11.95,Amphibia,Anura,Bufonidae,57,Dulceacuícola; Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d937836e1cb45b49fe31a3f07be3e9,00d937836e1cb45b49fe31a3f07be3e9,No,NoDisponible,,,,,,,
54,Incilius mazatlanensis,96507,-108.6919166,26.9031388,,False,6,8.99,Amphibia,Anura,Bufonidae,400,Dulceacuícola; Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d9bfbfdc14ac40ffacd58ca30494ae,00d9bfbfdc14ac40ffacd58ca30494ae,No,NoDisponible,,,,,,,
2501,Incilius mazatlanensis,101011,-108.5360277,27.3944166,,False,6,4.96,Amphibia,Anura,Bufonidae,443,Dulceacuícola; Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0100633f604a8da3142d0c29f0055866,0100633f604a8da3142d0c29f0055866,No,NoDisponible,,,,,,,
307,Incilius mazatlanensis,96501,-108.9393888,27.0225277,,False,6,9.04,Amphibia,Anura,Bufonidae,388,Dulceacuícola; Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0114687982ecbea60fe07331fe1d81e7,0114687982ecbea60fe07331fe1d81e7,No,NoDisponible,,,,,,,
2347,Incilius mazatlanensis,101011,-108.5360277,27.3944166,,False,6,4.96,Amphibia,Anura,Bufonidae,443,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0114f7ad9af98dbee2015231e2bf81e1,0114f7ad9af98dbee2015231e2bf81e1,No,NoDisponible,,,,,,,
638,Incilius mazatlanensis,122862,-105.285536,21.53944,,False,6,9.34,Amphibia,Anura,Bufonidae,16,Dulceacuícola; Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=013128951b46904a8c71376b7f51d9e1,013128951b46904a8c71376b7f51d9e1,No,NoDisponible,,,,,,,
