,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
24,Incilius tutelarius,222413,-93.5500711,16.0461055,,False,2,40.37,Amphibia,Anura,Bufonidae,2024,Dulceacuícola; Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=089cc35895664f5cabf06f0735fbf3bf,089cc35895664f5cabf06f0735fbf3bf,No,NoDisponible,NoDisponible,,,,,,
10,Incilius tutelarius,222419,-93.6016328,16.195,,False,3,58.59,Amphibia,Anura,Bufonidae,1901,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08e2170901dcee9367f7eada1a7dc8b5,08e2170901dcee9367f7eada1a7dc8b5,No,NoDisponible,NoDisponible,,,,,,
29,Incilius tutelarius,218063,-94.0527778,16.6416667,,False,2,46.45,Amphibia,Anura,Bufonidae,1607,Dulceacuícola; Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0afd65202884a3b0338690dc4fbe4c2e,0afd65202884a3b0338690dc4fbe4c2e,No,NoDisponible,NoDisponible,,,,,,
30,Incilius tutelarius,218063,-94.0527778,16.6416667,,False,2,46.45,Amphibia,Anura,Bufonidae,1607,Dulceacuícola; Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c491604ff677b42370d47d52e1da79a,1c491604ff677b42370d47d52e1da79a,No,NoDisponible,NoDisponible,,,,,,
31,Incilius tutelarius,218063,-94.0527778,16.6416667,,False,2,46.45,Amphibia,Anura,Bufonidae,1607,Dulceacuícola; Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2273b37927f28c577c18cddeac7ef717,2273b37927f28c577c18cddeac7ef717,No,NoDisponible,NoDisponible,,,,,,
23,Incilius tutelarius,218039,-93.9258333,16.3625,,False,2,43.29,Amphibia,Anura,Bufonidae,1572,Dulceacuícola; Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=26559d24b38346ce9233fb419f7f3824,26559d24b38346ce9233fb419f7f3824,No,NoDisponible,NoDisponible,,,,,,
32,Incilius tutelarius,218063,-94.0527778,16.6416667,,False,2,46.45,Amphibia,Anura,Bufonidae,1607,Dulceacuícola; Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=268310d310f0064d8102ca36a2fa47e3,268310d310f0064d8102ca36a2fa47e3,No,NoDisponible,NoDisponible,,,,,,
33,Incilius tutelarius,218063,-94.0527778,16.6416667,,False,2,46.45,Amphibia,Anura,Bufonidae,1607,Dulceacuícola; Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e58eafc7313f57d78f0abb49ad50f48,2e58eafc7313f57d78f0abb49ad50f48,No,NoDisponible,NoDisponible,,,,,,
34,Incilius tutelarius,218063,-94.0527778,16.6416667,,False,2,46.45,Amphibia,Anura,Bufonidae,1607,Dulceacuícola; Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2fb67e13fe8eb4aa8767ab70d4ba32d5,2fb67e13fe8eb4aa8767ab70d4ba32d5,No,NoDisponible,NoDisponible,,,,,,
11,Incilius tutelarius,222419,-93.6016328,16.195,,False,3,58.59,Amphibia,Anura,Bufonidae,1901,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ddb9a7b8570137d4063930d5601b782,3ddb9a7b8570137d4063930d5601b782,No,NoDisponible,NoDisponible,,,,,,
12,Incilius tutelarius,222419,-93.6016328,16.195,,False,3,58.59,Amphibia,Anura,Bufonidae,1901,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4c28d4eb30ee6f2d053f8549b721f189,4c28d4eb30ee6f2d053f8549b721f189,No,NoDisponible,NoDisponible,,,,,,
9,Incilius tutelarius,194666,-96.716709,17.1,,False,2,40.94,Amphibia,Anura,Bufonidae,1650,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=50cb592517a430f98c1830ac13736fa8,50cb592517a430f98c1830ac13736fa8,Si,NoDisponible,NoDisponible,,No,,,No,
13,Incilius tutelarius,222419,-93.6016328,16.195,,False,3,58.59,Amphibia,Anura,Bufonidae,1901,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=532292ab4f0d44ba6c01132ba5064449,532292ab4f0d44ba6c01132ba5064449,No,NoDisponible,NoDisponible,,,,,,
17,Incilius tutelarius,222419,-93.6125,16.1958333,,False,3,58.59,Amphibia,Anura,Bufonidae,2444,Dulceacuícola; Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=55000964232f3f48bb6d6c70eaf8194b,55000964232f3f48bb6d6c70eaf8194b,No,NoDisponible,NoDisponible,,,,,,
28,Incilius tutelarius,230724,-92.475,15.425,,False,3,60.16,Amphibia,Anura,Bufonidae,1868,Dulceacuícola; Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=584a6eda09ac405a2850be1a94ab1b06,584a6eda09ac405a2850be1a94ab1b06,No,NoDisponible,NoDisponible,,,,,,
45,Incilius tutelarius,226517,-93.0880556,15.7997222,,False,3,60.12,Amphibia,Anura,Bufonidae,1612,Dulceacuícola; Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5bdd1e71046ba1f6fa5481b1a5b8d9a2,5bdd1e71046ba1f6fa5481b1a5b8d9a2,No,NoDisponible,NoDisponible,,,,,,
25,Incilius tutelarius,222416,-93.4601666,16.1198638,,False,1,24.41,Amphibia,Anura,Bufonidae,750,Dulceacuícola; Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=691793fdd669f758abdaaabcc05d3d2a,691793fdd669f758abdaaabcc05d3d2a,No,NoDisponible,NoDisponible,,,,,,
3,Incilius tutelarius,218056,-94.19258,16.66845,,False,0,17.02,Amphibia,Anura,Bufonidae,1056,Dulceacuícola; Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6a12c0945d582d68aa14d9fda0d2b78b,6a12c0945d582d68aa14d9fda0d2b78b,No,NoDisponible,NoDisponible,,,,,,
4,Incilius tutelarius,194666,-96.716709,17.1,,False,2,40.94,Amphibia,Anura,Bufonidae,1650,Dulceacuícola; Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6c1d98d96ae080f0b2592ec3cb2e5cd0,6c1d98d96ae080f0b2592ec3cb2e5cd0,Si,NoDisponible,NoDisponible,,No,,,No,
18,Incilius tutelarius,222419,-93.6125,16.1958333,,False,3,58.59,Amphibia,Anura,Bufonidae,2444,Dulceacuícola; Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6d0f5bd8b9776f8bbcf56f21df4084f0,6d0f5bd8b9776f8bbcf56f21df4084f0,No,NoDisponible,NoDisponible,,,,,,
35,Incilius tutelarius,218063,-94.0527778,16.6416667,,False,2,46.45,Amphibia,Anura,Bufonidae,1607,Dulceacuícola; Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6dee382678075e8feafbdf971aa95638,6dee382678075e8feafbdf971aa95638,No,NoDisponible,NoDisponible,,,,,,
26,Incilius tutelarius,230732,-92.2805556,15.4555556,,False,2,40.32,Amphibia,Anura,Bufonidae,2858,Dulceacuícola; Terrestre,1941,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=725ad653b06897d85b6f5fa46916831c,725ad653b06897d85b6f5fa46916831c,No,NoDisponible,NoDisponible,,,,,,
0,Incilius tutelarius,218052,-94.1835,16.5615,,False,3,56.62,Amphibia,Anura,Bufonidae,1309,Dulceacuícola; Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=73c9c708b2b372d95c904948a36d9e75,73c9c708b2b372d95c904948a36d9e75,No,NoDisponible,NoDisponible,,,,,,
1,Incilius tutelarius,218052,-94.1835,16.5615,,False,3,56.62,Amphibia,Anura,Bufonidae,1309,Dulceacuícola; Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=74e985345531a82cac6a88d1e2f54848,74e985345531a82cac6a88d1e2f54848,No,NoDisponible,NoDisponible,,,,,,
41,Incilius tutelarius,226537,-92.6541667,15.3625,,False,1,25.84,Amphibia,Anura,Bufonidae,139,Dulceacuícola; Terrestre,1944,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7976969d0f152956bf561e2b716b2e4a,7976969d0f152956bf561e2b716b2e4a,No,NoDisponible,NoDisponible,,,,,,
5,Incilius tutelarius,194666,-96.716709,17.1,,False,2,40.94,Amphibia,Anura,Bufonidae,1650,Dulceacuícola; Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8b770673799139da553f36e67664e67a,8b770673799139da553f36e67664e67a,Si,NoDisponible,NoDisponible,,No,,,No,
42,Incilius tutelarius,230755,-92.1875,15.3875,,False,3,64.37,Amphibia,Anura,Bufonidae,1098,Dulceacuícola; Terrestre,1941,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8f4e4217d2986ac8b02f8648fd4b91b6,8f4e4217d2986ac8b02f8648fd4b91b6,No,NoDisponible,NoDisponible,,,,,,
