,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
911,Incilius valliceps,175337,-98.9913863,21.3813897,,False,4,21.33,Amphibia,Anura,Bufonidae,711,Dulceacuícola; Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0000a396b5b53b3ec2b70be2fee25f95,0000a396b5b53b3ec2b70be2fee25f95,Si,NoDisponible,No,,No,,,,
2987,Incilius valliceps,243892,-90.45525,20.1118056,,False,4,12.01,Amphibia,Anura,Bufonidae,9,Dulceacuícola; Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0029d78df0b37fe6dd4f5e69b8a2c731,0029d78df0b37fe6dd4f5e69b8a2c731,No,NoDisponible,,,,,,,
3696,Incilius valliceps,175724,-98.9147222,24.6138889,,False,4,6.75,Amphibia,Anura,Bufonidae,727,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00313f02789f27240cd782d9232d2f32,00313f02789f27240cd782d9232d2f32,Si,NoDisponible,No,,No,,,,
4113,Incilius valliceps,213584,-94.5783,17.2252278,,False,4,20.97,Amphibia,Anura,Bufonidae,60,Dulceacuícola; Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00330f40e687d37c2cc8f48a784ba3be,00330f40e687d37c2cc8f48a784ba3be,No,NoDisponible,,,,,,,
841,Incilius valliceps,208935,-95.0600001,17.19,,False,4,21.36,Amphibia,Anura,Bufonidae,54,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0039be9ecac51e789db231d1b29dde30,0039be9ecac51e789db231d1b29dde30,No,NoDisponible,,,,,,,
4180,Incilius valliceps,166293,-100.6111111,27.5270277,,False,3,-13.07,Amphibia,Anura,Bufonidae,244,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=003fd2d162e0f91664a0c18733ffd98f,003fd2d162e0f91664a0c18733ffd98f,Si,NoDisponible,No,,No,,,,
3841,Incilius valliceps,180436,-98.7697222,23.27,,False,3,4.51,Amphibia,Anura,Bufonidae,210,Dulceacuícola; Terrestre,1934,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0041839eb8840c886f7dda9db72b6691,0041839eb8840c886f7dda9db72b6691,Si,NoDisponible,No,,No,,,,
1804,Incilius valliceps,208997,-95.0800021,17.72,,False,4,15.72,Amphibia,Anura,Bufonidae,56,Dulceacuícola; Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=004ff6e0e34a0b5a32cf47605c463d5e,004ff6e0e34a0b5a32cf47605c463d5e,No,NoDisponible,,,,,,,
4132,Incilius valliceps,175431,-99.358055,22.5658341,,False,4,8.72,Amphibia,Anura,Bufonidae,356,Dulceacuícola; Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=005a99a3e04d07cf951a0aeaf11fd619,005a99a3e04d07cf951a0aeaf11fd619,Si,NoDisponible,No,,No,,,,
4804,Incilius valliceps,235024,-91.7261111,16.1205556,,False,4,17.12,Amphibia,Anura,Bufonidae,1498,Dulceacuícola; Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=005c28038d1edc2a008112656ce60bf8,005c28038d1edc2a008112656ce60bf8,No,NoDisponible,,,,,,,
