,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
6,Isthmura naucampatepetl,194901,-97.0949999,19.5916666,,False,2,69.58,Amphibia,Caudata,Plethodontidae,3139,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=33a002425f00fa1e006ef36cf88c6b75,33a002425f00fa1e006ef36cf88c6b75,No,NoDisponible,NoDisponible,,,,,,
12,Isthmura naucampatepetl,189989,-97.3805005,19.8764516,,True,0,-79.87,Amphibia,Caudata,Plethodontidae,1636,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37588125657f3fef27354c58bd1861ac,37588125657f3fef27354c58bd1861ac,Si,NoDisponible,NoDisponible,,No,,,,
10,Isthmura naucampatepetl,194900,-97.085,19.585,,False,2,75.24,Amphibia,Caudata,Plethodontidae,3058,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=520d5154e3d2ee28c6d6cf26689018f2,520d5154e3d2ee28c6d6cf26689018f2,No,NoDisponible,NoDisponible,,,,,,
7,Isthmura naucampatepetl,194901,-97.0949999,19.5916666,,False,2,69.58,Amphibia,Caudata,Plethodontidae,3139,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=67fc67c713aa391134740735011db554,67fc67c713aa391134740735011db554,No,NoDisponible,NoDisponible,,,,,,
5,Isthmura naucampatepetl,194901,-97.0949999,19.5916666,,False,2,69.58,Amphibia,Caudata,Plethodontidae,3139,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=68864054e965b1034dae8b6e3c0e74ad,68864054e965b1034dae8b6e3c0e74ad,No,NoDisponible,NoDisponible,,,,,,
9,Isthmura naucampatepetl,194901,-97.0949999,19.5916666,,False,2,69.58,Amphibia,Caudata,Plethodontidae,3139,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7488be3c4b03a35116027648258372ac,7488be3c4b03a35116027648258372ac,No,NoDisponible,NoDisponible,,,,,,
11,Isthmura naucampatepetl,194900,-97.0853555,19.5847,,False,2,75.24,Amphibia,Caudata,Plethodontidae,3063,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=78a4d1345b1d22874f064b8c0cb46512,78a4d1345b1d22874f064b8c0cb46512,No,NoDisponible,NoDisponible,,,,,,
0,Isthmura naucampatepetl,194901,-97.095,19.5919997,,False,2,69.58,Amphibia,Caudata,Plethodontidae,3139,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7dc15ffc5f84d7b70cc7481835267918,7dc15ffc5f84d7b70cc7481835267918,No,NoDisponible,NoDisponible,,,,,,
1,Isthmura naucampatepetl,194901,-97.095,19.5919997,,False,2,69.58,Amphibia,Caudata,Plethodontidae,3139,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7dedf0bcecd7747fb6fe7be1f424aa07,7dedf0bcecd7747fb6fe7be1f424aa07,No,NoDisponible,NoDisponible,,,,,,
2,Isthmura naucampatepetl,194901,-97.095,19.5919997,,False,2,69.58,Amphibia,Caudata,Plethodontidae,3139,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9d01632dd9b4d89f4a1c679b8aa5fdc2,9d01632dd9b4d89f4a1c679b8aa5fdc2,No,NoDisponible,NoDisponible,,,,,,
8,Isthmura naucampatepetl,194901,-97.0949999,19.5916666,,False,2,69.58,Amphibia,Caudata,Plethodontidae,3139,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bc6b309c4b37b2369ef65b965c36f14e,bc6b309c4b37b2369ef65b965c36f14e,No,NoDisponible,NoDisponible,,,,,,
3,Isthmura naucampatepetl,194901,-97.095,19.5919997,,False,2,69.58,Amphibia,Caudata,Plethodontidae,3139,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d14723384ee48db3d523c9ae05f81b4f,d14723384ee48db3d523c9ae05f81b4f,No,NoDisponible,NoDisponible,,,,,,
4,Isthmura naucampatepetl,194901,-97.095,19.5919997,,False,2,69.58,Amphibia,Caudata,Plethodontidae,3139,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=deae2f681592c901bc1c6006e7a48050,deae2f681592c901bc1c6006e7a48050,No,NoDisponible,NoDisponible,,,,,,
13,Isthmura naucampatepetl,189988,-97.3300394,19.8558877,,False,1,27.22,Amphibia,Caudata,Plethodontidae,1657,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=eca67c3042bd2df5c2a89868f8c68e30,eca67c3042bd2df5c2a89868f8c68e30,Si,NoDisponible,NoDisponible,,No,,,,
