,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
39,Ixalotriton parvus,218055,-94.1738888,16.5819444,,False,2,46.89,Amphibia,Caudata,Plethodontidae,1890,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b3d8b3cec0942963fe231ddee093ba,00b3d8b3cec0942963fe231ddee093ba,Si,NoDisponible,Si,Si,Si,,,,
33,Ixalotriton parvus,213547,-94.2924999,16.4763888,,False,0,22.42,Amphibia,Caudata,Plethodontidae,90,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03da1adb3ceebdce018ce3680a461cde,03da1adb3ceebdce018ce3680a461cde,Si,NoDisponible,Si,Si,Si,,,,
27,Ixalotriton parvus,218052,-94.1666667,16.5736111,,False,2,46.04,Amphibia,Caudata,Plethodontidae,2022,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06550a69b13018422daefb40c60e72b7,06550a69b13018422daefb40c60e72b7,No,NoDisponible,,,,,,,
5,Ixalotriton parvus,218052,-94.17425,16.5485833,,False,2,46.04,Amphibia,Caudata,Plethodontidae,1408,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d7f334cb0c589c70f8bd63ca360139c,0d7f334cb0c589c70f8bd63ca360139c,No,NoDisponible,,,,,,,
34,Ixalotriton parvus,213547,-94.2924999,16.4763888,,False,0,22.42,Amphibia,Caudata,Plethodontidae,90,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=193c1946ea45cacbfcf21dcfabf5765e,193c1946ea45cacbfcf21dcfabf5765e,Si,NoDisponible,Si,Si,Si,,,,
12,Ixalotriton parvus,218052,-94.1680556,16.5666667,,False,2,46.04,Amphibia,Caudata,Plethodontidae,1951,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=216700aa67568cadb253ad7ad7f065c3,216700aa67568cadb253ad7ad7f065c3,No,NoDisponible,,,,,,,
6,Ixalotriton parvus,218052,-94.17425,16.5485833,,False,2,46.04,Amphibia,Caudata,Plethodontidae,1408,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=26a86ab4667f73a86406ce2d53dfa46e,26a86ab4667f73a86406ce2d53dfa46e,No,NoDisponible,,,,,,,
13,Ixalotriton parvus,218052,-94.1680556,16.5666667,,False,2,46.04,Amphibia,Caudata,Plethodontidae,1951,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=27be9d08ebbed312c6796679e9416d08,27be9d08ebbed312c6796679e9416d08,No,NoDisponible,,,,,,,
18,Ixalotriton parvus,218052,-94.1638889,16.5472222,,False,2,46.04,Amphibia,Caudata,Plethodontidae,1472,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2acfc21a60ea5cf616adedba14791d47,2acfc21a60ea5cf616adedba14791d47,Si,NoDisponible,Si,Si,Si,,,,
14,Ixalotriton parvus,218052,-94.1680556,16.5666667,,False,2,46.04,Amphibia,Caudata,Plethodontidae,1951,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d3a1fb33c0778a9e61642555a9e28d3,2d3a1fb33c0778a9e61642555a9e28d3,No,NoDisponible,,,,,,,
