,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
0,Lithobates berlandieri,226681,-92.6388889,16.7472222,,False,3,5.58,Amphibia,Anura,Ranidae,2122,Dulceacuícola; Terrestre,1985,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f8deb000952f5ec8b0acb7af9a6b6dd6,f8deb000952f5ec8b0acb7af9a6b6dd6,Si,NoDisponible,Si,Si,Si,,,,
1,Lithobates berlandieri,226681,-92.6347222,16.72,,False,3,5.58,Amphibia,Anura,Ranidae,2125,Dulceacuícola; Terrestre,2003,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=92fe691be14897e04f431720d8a43e2b,92fe691be14897e04f431720d8a43e2b,No,NoDisponible,,,,,,,
2,Lithobates berlandieri,226681,-92.6486111,16.72,,False,3,5.58,Amphibia,Anura,Ranidae,2121,Dulceacuícola; Terrestre,2003,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b1b1679cfc713c4304a046b489c57ac,0b1b1679cfc713c4304a046b489c57ac,No,NoDisponible,,,,,,,
3,Lithobates berlandieri,226681,-92.6486111,16.72,,False,3,5.58,Amphibia,Anura,Ranidae,2121,Dulceacuícola; Terrestre,2003,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5d473bde3d2f47d6801fa376f7245ca8,5d473bde3d2f47d6801fa376f7245ca8,Si,NoDisponible,Si,Si,Si,,,,
4,Lithobates berlandieri,226681,-92.6486111,16.72,,False,3,5.58,Amphibia,Anura,Ranidae,2121,Dulceacuícola; Terrestre,2003,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9bb89a50cc09b74b5ca2b223665c463a,9bb89a50cc09b74b5ca2b223665c463a,Si,NoDisponible,Si,Si,Si,,,,
5,Lithobates berlandieri,226681,-92.6486111,16.72,,False,3,5.58,Amphibia,Anura,Ranidae,2121,Dulceacuícola; Terrestre,2003,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c1e438d1b86698bf05e98a7ebefc178b,c1e438d1b86698bf05e98a7ebefc178b,Si,NoDisponible,No,,Si,,,,
6,Lithobates berlandieri,226681,-92.6558333,16.7491667,,False,3,5.58,Amphibia,Anura,Ranidae,2133,Dulceacuícola; Terrestre,2002,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0be1fac8861bed8dfae4510c2af66b66,0be1fac8861bed8dfae4510c2af66b66,No,NoDisponible,,,,,,,
7,Lithobates berlandieri,226681,-92.6558333,16.7491667,,False,3,5.58,Amphibia,Anura,Ranidae,2133,Dulceacuícola; Terrestre,2002,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ce25927b488077a5bfc245c9fa6a0af,0ce25927b488077a5bfc245c9fa6a0af,No,NoDisponible,,,,,,,
8,Lithobates berlandieri,226681,-92.6558333,16.7491667,,False,3,5.58,Amphibia,Anura,Ranidae,2133,Dulceacuícola; Terrestre,2002,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=155e71f0a3ab8cba8260b994d65d1fbc,155e71f0a3ab8cba8260b994d65d1fbc,No,NoDisponible,,,,,,,
9,Lithobates berlandieri,226681,-92.6558333,16.7491667,,False,3,5.58,Amphibia,Anura,Ranidae,2133,Dulceacuícola; Terrestre,2002,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15bca9d3cd1460dbc63dea95c7b6eaa7,15bca9d3cd1460dbc63dea95c7b6eaa7,Si,NoDisponible,No,,Si,,,,
10,Lithobates berlandieri,226681,-92.6558333,16.7491667,,False,3,5.58,Amphibia,Anura,Ranidae,2133,Dulceacuícola; Terrestre,2002,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=23e130c7421824800f9a2ef00c28c7a5,23e130c7421824800f9a2ef00c28c7a5,No,NoDisponible,,,,,,,
11,Lithobates berlandieri,226681,-92.6558333,16.7491667,,False,3,5.58,Amphibia,Anura,Ranidae,2133,Dulceacuícola; Terrestre,2002,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2621cc98f460b080bad35cc40febb7d1,2621cc98f460b080bad35cc40febb7d1,Si,NoDisponible,No,,Si,,,,
12,Lithobates berlandieri,226681,-92.6558333,16.7491667,,False,3,5.58,Amphibia,Anura,Ranidae,2133,Dulceacuícola; Terrestre,2002,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=27fd53cf57d67b1bd5a38e0814429a3f,27fd53cf57d67b1bd5a38e0814429a3f,Si,NoDisponible,No,,Si,,,,
13,Lithobates berlandieri,226681,-92.6558333,16.7491667,,False,3,5.58,Amphibia,Anura,Ranidae,2133,Dulceacuícola; Terrestre,2002,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f7c075a8fd4b2755dcd8a895bec2fd9,3f7c075a8fd4b2755dcd8a895bec2fd9,Si,NoDisponible,No,,Si,,,,
14,Lithobates berlandieri,226681,-92.6558333,16.7491667,,False,3,5.58,Amphibia,Anura,Ranidae,2133,Dulceacuícola; Terrestre,2003,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4baf3fcaa23b07683d94a8a5f1919fdc,4baf3fcaa23b07683d94a8a5f1919fdc,No,NoDisponible,,,,,,,
15,Lithobates berlandieri,226681,-92.6558333,16.7491667,,False,3,5.58,Amphibia,Anura,Ranidae,2133,Dulceacuícola; Terrestre,2002,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4f9421a18f0462c844af638ca7e22964,4f9421a18f0462c844af638ca7e22964,No,NoDisponible,,,,,,,
16,Lithobates berlandieri,226681,-92.6558333,16.7491667,,False,3,5.58,Amphibia,Anura,Ranidae,2133,Dulceacuícola; Terrestre,2003,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=556aabe5d3a46b97b7d531d04d8603c7,556aabe5d3a46b97b7d531d04d8603c7,No,NoDisponible,,,,,,,
17,Lithobates berlandieri,226681,-92.6558333,16.7491667,,False,3,5.58,Amphibia,Anura,Ranidae,2133,Dulceacuícola; Terrestre,2002,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=817825618b3b6335e0353ff76e62eeca,817825618b3b6335e0353ff76e62eeca,Si,NoDisponible,No,,Si,,,,
18,Lithobates berlandieri,226681,-92.6558333,16.7491667,,False,3,5.58,Amphibia,Anura,Ranidae,2133,Dulceacuícola; Terrestre,2003,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=91cbaca53fa859337023e91ee06eaaff,91cbaca53fa859337023e91ee06eaaff,No,NoDisponible,,,,,,,
