,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
392,Lithobates chiricahuensis,151126,-102.3168578,21.85,,False,5,11.1,Amphibia,Anura,Ranidae,1850,Dulceacuícola; Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00403cdb682e4bc057a1baaf0bd7a512,00403cdb682e4bc057a1baaf0bd7a512,No,NoDisponible,,,,,,,
61,Lithobates chiricahuensis,109864,-107.0808503,26.82155,,False,5,12.03,Amphibia,Anura,Ranidae,2414,Dulceacuícola; Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=004ca38eba29667907f6f169cb51f35c,004ca38eba29667907f6f169cb51f35c,No,NoDisponible,,,,,,,
545,Lithobates chiricahuensis,97039,-108.9505277,31.26125,,False,4,4.37,Amphibia,Anura,Ranidae,1356,Dulceacuícola; Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00bca0fe77b6765f5cb9be7ed7827d5d,00bca0fe77b6765f5cb9be7ed7827d5d,Si,NoDisponible,No,,Si,,,,
735,Lithobates chiricahuensis,141746,-103.130928,22.7866802,,False,5,14.15,Amphibia,Anura,Ranidae,2363,Dulceacuícola; Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01ad04379fa4287fa85bccda91f8bb38,01ad04379fa4287fa85bccda91f8bb38,No,NoDisponible,,,,,,,
13,Lithobates chiricahuensis,151183,-102.1027778,22.0691667,,False,5,10.71,Amphibia,Anura,Ranidae,1974,Dulceacuícola; Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=025894f0efc7a7d09a68d968788201e2,025894f0efc7a7d09a68d968788201e2,No,NoDisponible,,,,,,,
141,Lithobates chiricahuensis,114697,-106.7230977,29.6846748,,False,5,13.37,Amphibia,Anura,Ranidae,1873,Dulceacuícola; Terrestre,1957,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02778f313e1f574b68f237cddae92502,02778f313e1f574b68f237cddae92502,No,NoDisponible,,,,,,,
695,Lithobates chiricahuensis,146473,-102.4576416,22.4641572,,False,5,15.29,Amphibia,Anura,Ranidae,2205,Dulceacuícola; Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=030499026dd8d3cef2941ff430dbb6d0,030499026dd8d3cef2941ff430dbb6d0,Si,NoDisponible,Si,Si,No,,,,
626,Lithobates chiricahuensis,114663,-106.5076666,29.3062777,,False,5,17.27,Amphibia,Anura,Ranidae,2119,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04410f61ee5925344fbea9593878d304,04410f61ee5925344fbea9593878d304,No,NoDisponible,,,,,,,
497,Lithobates chiricahuensis,156003,-101.3922194,21.9047222,,False,5,10.86,Amphibia,Anura,Ranidae,2205,Dulceacuícola; Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=044682a7d8a55fac4e320a41e573df55,044682a7d8a55fac4e320a41e573df55,Si,NoDisponible,No,,No,,,,
418,Lithobates chiricahuensis,141681,-103.1702093,22.18,,False,5,12.63,Amphibia,Anura,Ranidae,1830,Dulceacuícola; Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=044be4eefb3f498894b3a17472f18fe8,044be4eefb3f498894b3a17472f18fe8,No,NoDisponible,,,,,,,
580,Lithobates chiricahuensis,114644,-106.8246666,29.4864999,,False,5,17.47,Amphibia,Anura,Ranidae,2286,Dulceacuícola; Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04a113de41e35382ff0fc48c3e98b160,04a113de41e35382ff0fc48c3e98b160,No,NoDisponible,,,,,,,
546,Lithobates chiricahuensis,97039,-108.9505277,31.26125,,False,4,4.37,Amphibia,Anura,Ranidae,1356,Dulceacuícola; Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04d35840105d776801a483797b565bbb,04d35840105d776801a483797b565bbb,Si,NoDisponible,No,,Si,,,,
113,Lithobates chiricahuensis,114641,-106.8990531,29.3920969,,False,5,12.38,Amphibia,Anura,Ranidae,2023,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=058db5f368f4ef3632a913bf98d47b61,058db5f368f4ef3632a913bf98d47b61,No,NoDisponible,,,,,,,
463,Lithobates chiricahuensis,146354,-102.5801933,21.68,,False,5,10.94,Amphibia,Anura,Ranidae,1965,Dulceacuícola; Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05e8ee4fa5eebce999987645062727b1,05e8ee4fa5eebce999987645062727b1,No,NoDisponible,,,,,,,
731,Lithobates chiricahuensis,141746,-103.130455,22.7901955,,False,5,14.15,Amphibia,Anura,Ranidae,2349,Dulceacuícola; Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=065c25b160b756e3ad7dbbed3ea9cbf5,065c25b160b756e3ad7dbbed3ea9cbf5,No,NoDisponible,,,,,,,
547,Lithobates chiricahuensis,97039,-108.9505277,31.26125,,False,4,4.37,Amphibia,Anura,Ranidae,1356,Dulceacuícola; Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=071b715cadd26226617adec31cc902e3,071b715cadd26226617adec31cc902e3,Si,NoDisponible,No,,Si,,,,
469,Lithobates chiricahuensis,133149,-104.4336062,29.56667,,True,2,-11.6,Amphibia,Anura,Ranidae,785,Dulceacuícola; Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07c32f84008b429e30fcfdde052d6498,07c32f84008b429e30fcfdde052d6498,Si,NoDisponible,No,,Si,,,,
224,Lithobates chiricahuensis,127800,-104.8502568,23.95,,False,5,16.07,Amphibia,Anura,Ranidae,2149,Dulceacuícola; Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=081cda8f116b40637ae56f90a97a9696,081cda8f116b40637ae56f90a97a9696,No,NoDisponible,,,,,,,
