,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
36,Lithobates psilonota,141329,-103.428,19.5166666,,False,4,36.07,Amphibia,Anura,Ranidae,1189,Dulceacuícola; Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=107543f4c03c80251a14481f2bd71fea,107543f4c03c80251a14481f2bd71fea,Si,NoDisponible,Si,Si,Si,,,,
1,Lithobates psilonota,141330,-103.4305,19.56467,,False,2,26.69,Amphibia,Anura,Ranidae,1279,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1242446bdfe280411e478bee5aabc50c,1242446bdfe280411e478bee5aabc50c,No,NoDisponible,,,,,,,
2,Lithobates psilonota,141330,-103.4305,19.56467,,False,2,26.69,Amphibia,Anura,Ranidae,1279,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=156206aeaa8ce0839270e437134f1725,156206aeaa8ce0839270e437134f1725,No,NoDisponible,,,,,,,
3,Lithobates psilonota,141330,-103.4305,19.56467,,False,2,26.69,Amphibia,Anura,Ranidae,1279,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c151c9fa47d372ef03555d312e5126d,1c151c9fa47d372ef03555d312e5126d,No,NoDisponible,,,,,,,
4,Lithobates psilonota,141330,-103.4305,19.56467,,False,2,26.69,Amphibia,Anura,Ranidae,1279,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ce7eb32b195829274fae08c2498ab97,1ce7eb32b195829274fae08c2498ab97,No,NoDisponible,,,,,,,
5,Lithobates psilonota,141330,-103.4305,19.56467,,False,2,26.69,Amphibia,Anura,Ranidae,1279,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=25a31a57e944acd4b2215450f937dfce,25a31a57e944acd4b2215450f937dfce,No,NoDisponible,,,,,,,
33,Lithobates psilonota,132114,-104.6241667,21.1619444,,True,0,-15.17,Amphibia,Anura,Ranidae,820,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2c618323a0f243637cdec42eeea5c351,2c618323a0f243637cdec42eeea5c351,Si,NoDisponible,No,,Si,,,,
6,Lithobates psilonota,141330,-103.4305,19.56467,,False,2,26.69,Amphibia,Anura,Ranidae,1279,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2dba37291a83c15460cad971a76b6f8e,2dba37291a83c15460cad971a76b6f8e,No,NoDisponible,,,,,,,
37,Lithobates psilonota,141329,-103.428,19.5166666,,False,4,36.07,Amphibia,Anura,Ranidae,1189,Dulceacuícola; Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e85d30726b069764bc1c7f05d801a95,2e85d30726b069764bc1c7f05d801a95,Si,NoDisponible,Si,Si,Si,,,,
7,Lithobates psilonota,141330,-103.4305,19.56467,,False,2,26.69,Amphibia,Anura,Ranidae,1279,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2fa38e79f20323ab0ca8b9a134ddd0a8,2fa38e79f20323ab0ca8b9a134ddd0a8,No,NoDisponible,,,,,,,
0,Lithobates psilonota,136678,-103.75739,19.94411,,False,1,12.18,Amphibia,Anura,Ranidae,2053,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ba3e64692678d05a50dc16500a366a3,3ba3e64692678d05a50dc16500a366a3,Si,NoDisponible,Si,Si,Si,,,,
8,Lithobates psilonota,141330,-103.4305,19.56467,,False,2,26.69,Amphibia,Anura,Ranidae,1279,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c3ca37b419435f6ad76fc0bd2ea5b01,3c3ca37b419435f6ad76fc0bd2ea5b01,No,NoDisponible,,,,,,,
38,Lithobates psilonota,141329,-103.428,19.5166666,,False,4,36.07,Amphibia,Anura,Ranidae,1189,Dulceacuícola; Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=472d77fc30953dc8969785b01277c90f,472d77fc30953dc8969785b01277c90f,Si,NoDisponible,Si,Si,Si,,,,
9,Lithobates psilonota,141330,-103.4305,19.56467,,False,2,26.69,Amphibia,Anura,Ranidae,1279,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5f99441bf427ef1ffb50f33acbff2c46,5f99441bf427ef1ffb50f33acbff2c46,No,NoDisponible,,,,,,,
35,Lithobates psilonota,132188,-104.407,21.674,,False,4,35.53,Amphibia,Anura,Ranidae,1857,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=693d0f1a27535b32b9ed4ff2c02657ed,693d0f1a27535b32b9ed4ff2c02657ed,Si,NoDisponible,No,,Si,,,,
34,Lithobates psilonota,132114,-104.6241667,21.1619444,,True,0,-15.17,Amphibia,Anura,Ranidae,820,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6defac79c6d5de5239f74ff5c93321a3,6defac79c6d5de5239f74ff5c93321a3,Si,NoDisponible,No,,Si,,,,
10,Lithobates psilonota,141330,-103.4305,19.56467,,False,2,26.69,Amphibia,Anura,Ranidae,1279,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=735c52d6db111dac08749ac732ba01f7,735c52d6db111dac08749ac732ba01f7,No,NoDisponible,,,,,,,
39,Lithobates psilonota,141329,-103.428,19.5166666,,False,4,36.07,Amphibia,Anura,Ranidae,1189,Dulceacuícola; Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=75b6bea7d5d00f4d962b502e7e0afb0b,75b6bea7d5d00f4d962b502e7e0afb0b,Si,NoDisponible,Si,Si,Si,,,,
11,Lithobates psilonota,141330,-103.4305,19.56467,,False,2,26.69,Amphibia,Anura,Ranidae,1279,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7880b7e3f7865e344c48f614fbdbc007,7880b7e3f7865e344c48f614fbdbc007,No,NoDisponible,,,,,,,
12,Lithobates psilonota,141330,-103.4305,19.56467,,False,2,26.69,Amphibia,Anura,Ranidae,1279,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=79228c0263c344c0c9d80d5dfa7a7bd4,79228c0263c344c0c9d80d5dfa7a7bd4,No,NoDisponible,,,,,,,
13,Lithobates psilonota,141330,-103.4305,19.56467,,False,2,26.69,Amphibia,Anura,Ranidae,1279,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7b59040cacca0e7e491cddba486e80b8,7b59040cacca0e7e491cddba486e80b8,No,NoDisponible,,,,,,,
