,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
5,Lithobates pueblae,184869,-98.02405,18.8306666,,False,2,25.13,Amphibia,Anura,Ranidae,1910,Dulceacuícola; Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1018eaae4925a1a122d068d36f11f748,1018eaae4925a1a122d068d36f11f748,Si,NoDisponible,No,,Si,,,,
1,Lithobates pueblae,175187,-99.3522222,20.5777778,,False,1,18.64,Amphibia,Anura,Ranidae,1601,Dulceacuícola; Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=157030aa4a17070c631aa51bb7a9e929,157030aa4a17070c631aa51bb7a9e929,Si,NoDisponible,No,,No,,,,
0,Lithobates pueblae,184992,-98.025,20.2083333,,False,0,12.31,Amphibia,Anura,Ranidae,1336,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=56a45789cb67ce438414ea995967e31c,56a45789cb67ce438414ea995967e31c,Si,NoDisponible,Si,Si,Si,,,,
3,Lithobates pueblae,185014,-98.0222222,20.2036111,,False,3,33.03,Amphibia,Anura,Ranidae,1381,Dulceacuícola; Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=806fe2fd92de7ca0ec3b2ffaedc37ace,806fe2fd92de7ca0ec3b2ffaedc37ace,Si,NoDisponible,Si,Si,Si,,,,
4,Lithobates pueblae,185014,-98.0222222,20.2036111,,False,3,33.03,Amphibia,Anura,Ranidae,1381,Dulceacuícola; Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8519831875475b4cc9edab4c75f29443,8519831875475b4cc9edab4c75f29443,Si,NoDisponible,Si,Si,Si,,,,
6,Lithobates pueblae,184869,-98.02405,18.8306666,,False,2,25.13,Amphibia,Anura,Ranidae,1910,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a2cae512becb648978a65a2d26a3c0d3,a2cae512becb648978a65a2d26a3c0d3,Si,NoDisponible,No,,Si,,,,
7,Lithobates pueblae,184869,-98.02405,18.8306666,,False,2,25.13,Amphibia,Anura,Ranidae,1910,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a9826f6ebc4876ded6db4f1ff730e545,a9826f6ebc4876ded6db4f1ff730e545,Si,NoDisponible,No,,Si,,,,
2,Lithobates pueblae,190082,-97.69,20.93,,False,0,13.2,Amphibia,Anura,Ranidae,19,Dulceacuícola; Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b38c00ba4cda4f4ef8f2a7766d10d993,b38c00ba4cda4f4ef8f2a7766d10d993,Si,NoDisponible,No,,No,,,,
8,Lithobates pueblae,184869,-98.02405,18.8306666,,False,2,25.13,Amphibia,Anura,Ranidae,1910,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b4cd3accb6381a80cd3bc82f4780415a,b4cd3accb6381a80cd3bc82f4780415a,Si,NoDisponible,No,,Si,,,,
9,Lithobates pueblae,184869,-98.02405,18.8306666,,False,2,25.13,Amphibia,Anura,Ranidae,1910,Dulceacuícola; Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bc45fe56a601eda458b131f456398a66,bc45fe56a601eda458b131f456398a66,Si,NoDisponible,No,,Si,,,,
10,Lithobates pueblae,184869,-98.02405,18.8306666,,False,2,25.13,Amphibia,Anura,Ranidae,1910,Dulceacuícola; Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c5f0b4023505992f81546c619d5bb96f,c5f0b4023505992f81546c619d5bb96f,Si,NoDisponible,No,,Si,,,,
11,Lithobates pueblae,184869,-98.02405,18.8306666,,False,2,25.13,Amphibia,Anura,Ranidae,1910,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e296988c12c07cf46e7d63f26b7b43fd,e296988c12c07cf46e7d63f26b7b43fd,Si,NoDisponible,No,,Si,,,,
12,Lithobates pueblae,184869,-98.02405,18.8306666,,False,2,25.13,Amphibia,Anura,Ranidae,1910,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ecb91aeaa8d03bac7430e1bcaad365a8,ecb91aeaa8d03bac7430e1bcaad365a8,Si,NoDisponible,No,,Si,,,,
