,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
894,Lithobates pustulosus,170027,-99.500833,17.5569441,,False,4,18.42,Amphibia,Anura,Ranidae,1295,Dulceacuícola; Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0002144eee8418162337945a465c4b50,0002144eee8418162337945a465c4b50,No,NoDisponible,,,,,,,
825,Lithobates pustulosus,141464,-103.3583333,20.7583333,,False,4,11.62,Amphibia,Anura,Ranidae,1598,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=000d03d78f287b708e86cae1ea1f356f,000d03d78f287b708e86cae1ea1f356f,No,NoDisponible,,,,,,,
17,Lithobates pustulosus,169980,-99.475,17.375,,False,4,30.54,Amphibia,Anura,Ranidae,1055,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=007ed164fa59cdf252dd4957552173cd,007ed164fa59cdf252dd4957552173cd,No,NoDisponible,,,,,,,
733,Lithobates pustulosus,175605,-99.125,23.875,,False,3,-1.28,Amphibia,Anura,Ranidae,219,Dulceacuícola; Terrestre,1934,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=008146499873a2121e371e308a0e93a9,008146499873a2121e371e308a0e93a9,Si,NoDisponible,No,,No,,,,
360,Lithobates pustulosus,175507,-99.375,23.2416667,,False,4,4.39,Amphibia,Anura,Ranidae,1437,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=009994068a703c345dc8493734e23115,009994068a703c345dc8493734e23115,Si,NoDisponible,No,,No,,,,
1478,Lithobates pustulosus,175173,-99.3916667,20.4416667,,False,3,-8.15,Amphibia,Anura,Ranidae,1858,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0099b12e5b4bc5c07a6eb2115cec1d5e,0099b12e5b4bc5c07a6eb2115cec1d5e,No,NoDisponible,,,,,,,
469,Lithobates pustulosus,226875,-92.6083333,18.3916667,,False,3,0.6,Amphibia,Anura,Ranidae,9,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d4e4ef9d14a5c02c9217901e04f8c4,00d4e4ef9d14a5c02c9217901e04f8c4,Si,NoDisponible,No,,No,,,,
10,Lithobates pustulosus,169980,-99.4916667,17.375,,False,4,30.54,Amphibia,Anura,Ranidae,1402,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00edcb41633a09539d4e374b0440b02e,00edcb41633a09539d4e374b0440b02e,No,NoDisponible,,,,,,,
426,Lithobates pustulosus,194668,-96.6583333,17.075,,False,4,15.75,Amphibia,Anura,Ranidae,1587,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=012a38506fbf8005029fa66573bc8394,012a38506fbf8005029fa66573bc8394,No,NoDisponible,,,,,,,
1372,Lithobates pustulosus,174999,-99.325,19.0583333,,False,4,3.7,Amphibia,Anura,Ranidae,3005,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0164d23cd0c3462dbe80535921f605f7,0164d23cd0c3462dbe80535921f605f7,No,NoDisponible,,,,,,,
2,Lithobates pustulosus,194908,-96.9416667,19.5416667,,False,4,6.05,Amphibia,Anura,Ranidae,1418,Dulceacuícola; Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01d8b3498373ef9a099f4653159a9d09,01d8b3498373ef9a099f4653159a9d09,Si,NoDisponible,No,,No,,,,
54,Lithobates pustulosus,166417,-100.5916667,28.4083333,,False,3,-17.61,Amphibia,Anura,Ranidae,290,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=020eb1970a56466339de41c76fb92584,020eb1970a56466339de41c76fb92584,Si,NoDisponible,No,,No,,,,
888,Lithobates pustulosus,175452,-99.24336,22.77978,,False,4,7.45,Amphibia,Anura,Ranidae,314,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=020f39ff366c9a21b05c80b7b4c1ca51,020f39ff366c9a21b05c80b7b4c1ca51,Si,NoDisponible,No,,No,,,,
1893,Lithobates pustulosus,131902,-104.1485511,19.1604497,,False,4,19.36,Amphibia,Anura,Ranidae,1001,Dulceacuícola; Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0216c8c66c2a3d02e48996af2d720ae6,0216c8c66c2a3d02e48996af2d720ae6,No,NoDisponible,,,,,,,
1497,Lithobates pustulosus,175002,-99.25,19,,False,4,12.42,Amphibia,Anura,Ranidae,2127,Dulceacuícola; Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02220fc08fbbaaa5bf7edfcd390f4d61,02220fc08fbbaaa5bf7edfcd390f4d61,No,NoDisponible,,,,,,,
592,Lithobates pustulosus,118464,-105.8336104,23.433333,,False,4,19.67,Amphibia,Anura,Ranidae,1410,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=024fca03c89a32368c01eea2a7ac79ad,024fca03c89a32368c01eea2a7ac79ad,No,NoDisponible,,,,,,,
1728,Lithobates pustulosus,118462,-105.8699999,23.41,,False,4,21.68,Amphibia,Anura,Ranidae,1182,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02ac8a86fc8961829a9b9c04444ac25b,02ac8a86fc8961829a9b9c04444ac25b,No,NoDisponible,,,,,,,
95,Lithobates pustulosus,174934,-99.425,18.6083333,,False,4,14.23,Amphibia,Anura,Ranidae,921,Dulceacuícola; Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02b84b0eae43434a54b9e52fecaaddd2,02b84b0eae43434a54b9e52fecaaddd2,No,NoDisponible,,,,,,,
1007,Lithobates pustulosus,150884,-101.975,19.2916667,,False,4,15.73,Amphibia,Anura,Ranidae,935,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02e47dae529b079e320a68efd2972392,02e47dae529b079e320a68efd2972392,No,NoDisponible,,,,,,,
