,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
65,Lithobates sierramadrensis,194520,-97.060045,16.43,,False,3,42.96,Amphibia,Anura,Ranidae,1144,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ea2d6894870742dbb2e0b20b30d06e,00ea2d6894870742dbb2e0b20b30d06e,No,NoDisponible,,,,,,,
93,Lithobates sierramadrensis,199369,-96.4267499,15.9291108,,False,3,52.87,Amphibia,Anura,Ranidae,1226,Dulceacuícola; Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=014f264fd7086094058be42d047a7c1a,014f264fd7086094058be42d047a7c1a,No,NoDisponible,,,,,,,
34,Lithobates sierramadrensis,170027,-99.5083333,17.5583333,,False,1,4.39,Amphibia,Anura,Ranidae,1245,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0318efba92c03efe2f397630912f8e0c,0318efba92c03efe2f397630912f8e0c,No,NoDisponible,,,,,,,
112,Lithobates sierramadrensis,165111,-100.1923999,17.4188999,,False,3,49.88,Amphibia,Anura,Ranidae,1362,Dulceacuícola; Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=033a1c96ba4fd9071a3ed4dcb6e0f1b7,033a1c96ba4fd9071a3ed4dcb6e0f1b7,No,NoDisponible,,,,,,,
100,Lithobates sierramadrensis,199368,-96.50281,16.1622299,,False,2,27.49,Amphibia,Anura,Ranidae,2433,Dulceacuícola; Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04c3e66e1ac43dfd6d6c9a1053785612,04c3e66e1ac43dfd6d6c9a1053785612,No,NoDisponible,,,,,,,
8,Lithobates sierramadrensis,199456,-96.3416667,16.925,,False,1,5.26,Amphibia,Anura,Ranidae,1699,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ace79295caf24bda2d7ef31e5eec743,0ace79295caf24bda2d7ef31e5eec743,Si,NoDisponible,Si,Si,Si,,,,
77,Lithobates sierramadrensis,199326,-96.3799166,15.884583,,False,3,51.68,Amphibia,Anura,Ranidae,419,Dulceacuícola; Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0aec5c31d84e95805cb99e10764d8379,0aec5c31d84e95805cb99e10764d8379,No,NoDisponible,,,,,,,
98,Lithobates sierramadrensis,165243,-100.0819999,18.3969499,,False,2,25.65,Amphibia,Anura,Ranidae,1407,Dulceacuícola; Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b9bbe65be3c5b29cd3dc7d1a62adc81,0b9bbe65be3c5b29cd3dc7d1a62adc81,No,NoDisponible,,,,,,,
45,Lithobates sierramadrensis,194504,-97.066017,16.0998666,,False,2,40.19,Amphibia,Anura,Ranidae,695,Dulceacuícola; Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d59fb0f156afa5a92b0a16a964095aa,0d59fb0f156afa5a92b0a16a964095aa,No,NoDisponible,,,,,,,
96,Lithobates sierramadrensis,199369,-96.4207219,15.9242777,,False,3,52.87,Amphibia,Anura,Ranidae,1315,Dulceacuícola; Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e721b7287c020b694d079dfd1fc8ab7,0e721b7287c020b694d079dfd1fc8ab7,No,NoDisponible,,,,,,,
