,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
193,Lithobates yavapaiensis,92292,-109.6874999,29.7525833,,False,4,21.42,Amphibia,Anura,Ranidae,652,Dulceacuícola; Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00589473d56819acee66be0ec6756da9,00589473d56819acee66be0ec6756da9,Si,NoDisponible,Si,Si,Si,,,,
194,Lithobates yavapaiensis,92292,-109.6874999,29.7525833,,False,4,21.42,Amphibia,Anura,Ranidae,652,Dulceacuícola; Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00bead9e6d5be63ee622d7dcc3669cf6,00bead9e6d5be63ee622d7dcc3669cf6,Si,NoDisponible,Si,Si,Si,,,,
195,Lithobates yavapaiensis,92292,-109.6874999,29.7525833,,False,4,21.42,Amphibia,Anura,Ranidae,652,Dulceacuícola; Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00c2e1fa1a28be35f29f75927f95f115,00c2e1fa1a28be35f29f75927f95f115,Si,NoDisponible,Si,Si,Si,,,,
0,Lithobates yavapaiensis,96796,-109,29.5,,False,4,21.55,Amphibia,Anura,Ranidae,796,Dulceacuícola; Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=010a34fbde0619cae7da0a8aefde36a7,010a34fbde0619cae7da0a8aefde36a7,No,NoDisponible,,,,,,,
92,Lithobates yavapaiensis,83278,-110.7504373,30.85,,False,5,26.69,Amphibia,Anura,Ranidae,1121,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=023fa5ede85fc42d9f07100913155f81,023fa5ede85fc42d9f07100913155f81,Si,NoDisponible,Si,Si,Si,,,,
196,Lithobates yavapaiensis,92292,-109.6874999,29.7525833,,False,4,21.42,Amphibia,Anura,Ranidae,652,Dulceacuícola; Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02950b2e15b142fb27311d25b82493df,02950b2e15b142fb27311d25b82493df,Si,NoDisponible,Si,Si,Si,,,,
93,Lithobates yavapaiensis,83278,-110.7504373,30.85,,False,5,26.69,Amphibia,Anura,Ranidae,1121,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02baf7575a514a2d0444040dec56ae99,02baf7575a514a2d0444040dec56ae99,Si,NoDisponible,Si,Si,Si,,,,
336,Lithobates yavapaiensis,83291,-110.7083333,30.8851333,,False,5,31.45,Amphibia,Anura,Ranidae,1149,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02d8f375f024b1c7ac214cc2e35a4cc2,02d8f375f024b1c7ac214cc2e35a4cc2,Si,NoDisponible,Si,Si,Si,,,,
337,Lithobates yavapaiensis,83291,-110.7083333,30.8851333,,False,5,31.45,Amphibia,Anura,Ranidae,1149,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03212c0b4c02c4454491a65e353db743,03212c0b4c02c4454491a65e353db743,Si,NoDisponible,Si,Si,Si,,,,
56,Lithobates yavapaiensis,97039,-108.9505277,31.26125,,False,4,21.23,Amphibia,Anura,Ranidae,1356,Dulceacuícola; Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04f5c45480e95c97f45b54b19b92c808,04f5c45480e95c97f45b54b19b92c808,Si,NoDisponible,Si,Si,Si,,,,
197,Lithobates yavapaiensis,92292,-109.6874999,29.7525833,,False,4,21.42,Amphibia,Anura,Ranidae,652,Dulceacuícola; Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=056ea042af39f45e76a049e244c7c097,056ea042af39f45e76a049e244c7c097,Si,NoDisponible,Si,Si,Si,,,,
338,Lithobates yavapaiensis,83291,-110.7083333,30.8851333,,False,5,31.45,Amphibia,Anura,Ranidae,1149,Dulceacuícola; Terrestre,1957,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05db0cc160ed29c375b595ae244487df,05db0cc160ed29c375b595ae244487df,Si,NoDisponible,Si,Si,Si,,,,
198,Lithobates yavapaiensis,92292,-109.6874999,29.7525833,,False,4,21.42,Amphibia,Anura,Ranidae,652,Dulceacuícola; Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05ec8a64f59cd624745de12a27f15e47,05ec8a64f59cd624745de12a27f15e47,Si,NoDisponible,Si,Si,Si,,,,
339,Lithobates yavapaiensis,83291,-110.7083333,30.8851333,,False,5,31.45,Amphibia,Anura,Ranidae,1149,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07504229f64d7e59ab4fbd54a23adf58,07504229f64d7e59ab4fbd54a23adf58,Si,NoDisponible,Si,Si,Si,,,,
94,Lithobates yavapaiensis,83278,-110.7504373,30.85,,False,5,26.69,Amphibia,Anura,Ranidae,1121,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07f91f53296855f8f31bfa6ddfb05bec,07f91f53296855f8f31bfa6ddfb05bec,Si,NoDisponible,Si,Si,Si,,,,
57,Lithobates yavapaiensis,97039,-108.9505277,31.26125,,False,4,21.23,Amphibia,Anura,Ranidae,1356,Dulceacuícola; Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=084f78e9b0f8ac74ab85eda5983711be,084f78e9b0f8ac74ab85eda5983711be,Si,NoDisponible,Si,Si,Si,,,,
199,Lithobates yavapaiensis,92292,-109.6874999,29.7525833,,False,4,21.42,Amphibia,Anura,Ranidae,652,Dulceacuícola; Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=093dd321dcf328ebf736c59d95ab569a,093dd321dcf328ebf736c59d95ab569a,Si,NoDisponible,Si,Si,Si,,,,
1,Lithobates yavapaiensis,96796,-109,29.5,,False,4,21.55,Amphibia,Anura,Ranidae,796,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b919c668e4ef38dcb822cb0fa3298c3,0b919c668e4ef38dcb822cb0fa3298c3,No,NoDisponible,,,,,,,
95,Lithobates yavapaiensis,83278,-110.7504373,30.85,,False,5,26.69,Amphibia,Anura,Ranidae,1121,Dulceacuícola; Terrestre,1957,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c2f563934945ee7b437dd8770c0da9e,0c2f563934945ee7b437dd8770c0da9e,Si,NoDisponible,Si,Si,Si,,,,
340,Lithobates yavapaiensis,83291,-110.7083333,30.8851333,,False,5,31.45,Amphibia,Anura,Ranidae,1149,Dulceacuícola; Terrestre,1957,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e156babd00992c1583612fb37a3f371,0e156babd00992c1583612fb37a3f371,Si,NoDisponible,Si,Si,Si,,,,
200,Lithobates yavapaiensis,92292,-109.6874999,29.7525833,,False,4,21.42,Amphibia,Anura,Ranidae,652,Dulceacuícola; Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0edf2f784374c9bbfdf2ed6106e22d29,0edf2f784374c9bbfdf2ed6106e22d29,Si,NoDisponible,Si,Si,Si,,,,
201,Lithobates yavapaiensis,92292,-109.6874999,29.7525833,,False,4,21.42,Amphibia,Anura,Ranidae,652,Dulceacuícola; Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fcc3b7026808c56e8a464c9fe1e6756,0fcc3b7026808c56e8a464c9fe1e6756,Si,NoDisponible,Si,Si,Si,,,,
202,Lithobates yavapaiensis,92292,-109.6874999,29.7525833,,False,4,21.42,Amphibia,Anura,Ranidae,652,Dulceacuícola; Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=105ecdacbca7b27c81cdafc66d98d6e1,105ecdacbca7b27c81cdafc66d98d6e1,Si,NoDisponible,Si,Si,Si,,,,
