,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
16,Plectrohyla avia,226537,-92.6541667,15.3625,,False,1,27.79,Amphibia,Anura,Hylidae,139,Dulceacuícola; Terrestre,1944,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09409e4364922600e4def012a6bf723a,09409e4364922600e4def012a6bf723a,No,NoDisponible,,,,,,,
11,Plectrohyla avia,230713,-92.0838889,15.0861111,,False,5,86.02,Amphibia,Anura,Hylidae,1679,Dulceacuícola; Terrestre,1978,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=441bdcfbff6e92066321a9b47313508b,441bdcfbff6e92066321a9b47313508b,No,NoDisponible,,,,,,,
4,Plectrohyla avia,230687,-92.30087,15.23722,,False,4,69.96,Amphibia,Anura,Hylidae,2212,Dulceacuícola; Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=462eddac5f038dd611c5096be7d17ab3,462eddac5f038dd611c5096be7d17ab3,Si,NoDisponible,Si,Si,Si,,,,
18,Plectrohyla avia,226537,-92.6541667,15.3625,,False,1,27.79,Amphibia,Anura,Hylidae,139,Dulceacuícola; Terrestre,1944,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5670739f311932a6e88a64ab5c187ed8,5670739f311932a6e88a64ab5c187ed8,No,NoDisponible,,,,,,,
2,Plectrohyla avia,230714,-92.1141666,15.1294444,,False,3,61.1,Amphibia,Anura,Hylidae,3740,Dulceacuícola; Terrestre,1978,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5b1ccce2cc1ad00a6e04a99c2a62e62a,5b1ccce2cc1ad00a6e04a99c2a62e62a,Si,NoDisponible,Si,Si,Si,,,,
3,Plectrohyla avia,230714,-92.1141666,15.1294444,,False,3,61.1,Amphibia,Anura,Hylidae,3740,Dulceacuícola; Terrestre,1978,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=63504acac031eea041b124ef367ee311,63504acac031eea041b124ef367ee311,Si,NoDisponible,Si,Si,Si,,,,
7,Plectrohyla avia,230713,-92.0999244,15.11,,False,5,86.02,Amphibia,Anura,Hylidae,2715,Dulceacuícola; Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=651a7c4b2af9cf18690e7daa48c1f2ec,651a7c4b2af9cf18690e7daa48c1f2ec,Si,NoDisponible,Si,Si,Si,,,,
6,Plectrohyla avia,230713,-92.1099247,15.11,,False,5,86.02,Amphibia,Anura,Hylidae,2730,Dulceacuícola; Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=678fdae505a8e4b80782d6cf984e6cbb,678fdae505a8e4b80782d6cf984e6cbb,Si,NoDisponible,Si,Si,Si,,,,
13,Plectrohyla avia,230713,-92.0916667,15.0805556,,False,5,86.02,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=692b5311c8cff0111ce31ec7ab6412f4,692b5311c8cff0111ce31ec7ab6412f4,No,NoDisponible,,,,,,,
5,Plectrohyla avia,230788,-92.4832657,15.96667,,False,1,21.14,Amphibia,Anura,Hylidae,536,Dulceacuícola; Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=709806398fd23c0ebe29fb5ba3aa47eb,709806398fd23c0ebe29fb5ba3aa47eb,Si,NoDisponible,No,,Si,,,,
