,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
155,Plectrohyla ixil,226695,-93.0016182,17.1344444,,False,3,81.17,Amphibia,Anura,Hylidae,1991,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0013b55622f4540fff9d0edd2fcf678f,0013b55622f4540fff9d0edd2fcf678f,Si,NoDisponible,Si,Si,Si,,,,
65,Plectrohyla ixil,226695,-92.9983333,17.1894444,,False,3,81.17,Amphibia,Anura,Hylidae,1572,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=007a35aa8c558333875a1741e8ed479b,007a35aa8c558333875a1741e8ed479b,No,NoDisponible,,,,,,,
1,Plectrohyla ixil,226702,-92.9686111,17.2047222,,False,4,102.44,Amphibia,Anura,Hylidae,1973,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00932827b6eebcf3518461f484429b85,00932827b6eebcf3518461f484429b85,Si,NoDisponible,Si,Si,Si,,,,
66,Plectrohyla ixil,226695,-92.9983333,17.1894444,,False,3,81.17,Amphibia,Anura,Hylidae,1572,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01d383aea653f52ba52daa6b82228d85,01d383aea653f52ba52daa6b82228d85,No,NoDisponible,,,,,,,
253,Plectrohyla ixil,226725,-92.82756,17.19193,,False,4,100.13,Amphibia,Anura,Hylidae,1349,Dulceacuícola; Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02474999971a0ac032f5671dd5f9bb2f,02474999971a0ac032f5671dd5f9bb2f,Si,NoDisponible,Si,Si,Si,,,,
48,Plectrohyla ixil,226702,-92.9772222,17.2113888,,False,4,102.44,Amphibia,Anura,Hylidae,1706,Dulceacuícola; Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02c5c665180296920d8076809fc9fa3c,02c5c665180296920d8076809fc9fa3c,No,NoDisponible,,,,,,,
216,Plectrohyla ixil,226700,-92.8602778,17.1163889,,False,2,50.89,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03d58124a96343c8f4cbd1d7e9f0419c,03d58124a96343c8f4cbd1d7e9f0419c,Si,NoDisponible,Si,Si,Si,,,,
67,Plectrohyla ixil,226695,-92.9983333,17.1894444,,False,3,81.17,Amphibia,Anura,Hylidae,1572,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04a6c516dc86ebb6761de112b9fbd6bd,04a6c516dc86ebb6761de112b9fbd6bd,No,NoDisponible,,,,,,,
217,Plectrohyla ixil,226700,-92.8602778,17.1163889,,False,2,50.89,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05dab69d73c1e7acc869082ed7d58c4c,05dab69d73c1e7acc869082ed7d58c4c,Si,NoDisponible,Si,Si,Si,,,,
262,Plectrohyla ixil,226715,-92.89,17.3,,False,3,66.9,Amphibia,Anura,Hylidae,1202,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=063072439dc960dadac4f6d5d13d04b8,063072439dc960dadac4f6d5d13d04b8,No,NoDisponible,,,,,,,
