,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
30,Plectrohyla sagorum,226545,-92.8144444,15.6605556,,False,6,61.68,Amphibia,Anura,Hylidae,2020,Dulceacuícola; Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0070383df1b1ffaf648ffc1f94b5f64f,0070383df1b1ffaf648ffc1f94b5f64f,No,NoDisponible,,,,,,,
168,Plectrohyla sagorum,230725,-92.5553602,15.4931308,,False,6,61.19,Amphibia,Anura,Hylidae,2462,Dulceacuícola; Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01d88789eeab3a2cb24dff74cb563983,01d88789eeab3a2cb24dff74cb563983,No,NoDisponible,,,,,,,
169,Plectrohyla sagorum,230725,-92.5222222,15.5055556,,False,6,61.19,Amphibia,Anura,Hylidae,1652,Dulceacuícola; Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02a268b33a3e2728822ba564a49ceb37,02a268b33a3e2728822ba564a49ceb37,No,NoDisponible,,,,,,,
162,Plectrohyla sagorum,218039,-93.9258333,16.3625,,False,4,36.84,Amphibia,Anura,Hylidae,1572,Dulceacuícola; Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03786959dba26122147858a01b01f8b2,03786959dba26122147858a01b01f8b2,Si,NoDisponible,No,,Si,,,,
111,Plectrohyla sagorum,226519,-93.0644444,15.8166667,,False,5,53.29,Amphibia,Anura,Hylidae,1566,Dulceacuícola; Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=058b021cd8e481b8501f76664050c95c,058b021cd8e481b8501f76664050c95c,No,NoDisponible,,,,,,,
21,Plectrohyla sagorum,226545,-92.8175,15.6633333,,False,6,61.68,Amphibia,Anura,Hylidae,2093,Dulceacuícola; Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0625b52c11ce2e533dad26db26f5bda7,0625b52c11ce2e533dad26db26f5bda7,No,NoDisponible,,,,,,,
72,Plectrohyla sagorum,226538,-92.6416667,15.4416667,,False,4,43.59,Amphibia,Anura,Hylidae,1416,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=088e992a5a76ba7c24f653a7e5c223f0,088e992a5a76ba7c24f653a7e5c223f0,No,NoDisponible,,,,,,,
105,Plectrohyla sagorum,226519,-93.0608333,15.8022222,,False,5,53.29,Amphibia,Anura,Hylidae,1371,Dulceacuícola; Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a7fa427bc821b3e473dda3991c905c3,0a7fa427bc821b3e473dda3991c905c3,No,NoDisponible,,,,,,,
45,Plectrohyla sagorum,226517,-93.0766667,15.7969444,,False,6,62.19,Amphibia,Anura,Hylidae,1590,Dulceacuícola; Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bbe527057723d13665586382fd9b2bd,0bbe527057723d13665586382fd9b2bd,No,NoDisponible,,,,,,,
47,Plectrohyla sagorum,226517,-93.0763889,15.7969444,,False,6,62.19,Amphibia,Anura,Hylidae,1600,Dulceacuícola; Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c9c60391f229d80b513bbada6157815,0c9c60391f229d80b513bbada6157815,No,NoDisponible,,,,,,,
