,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
10,Pseudoeurycea anitae,189625,-97.2880555,16.7819999,,False,1,39.41,Amphibia,Caudata,Plethodontidae,2568,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0975fa668cc0d9137d92ad441244079d,0975fa668cc0d9137d92ad441244079d,No,NoDisponible,,,,,,,
3,Pseudoeurycea anitae,194579,-97.0213888,16.7199999,,False,1,38.9,Amphibia,Caudata,Plethodontidae,2292,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d1694186b8270c434129b1167068f5d,0d1694186b8270c434129b1167068f5d,No,NoDisponible,,,,,,,
4,Pseudoeurycea anitae,194579,-97.0213888,16.7199999,,False,1,38.9,Amphibia,Caudata,Plethodontidae,2292,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=254575ba03527e9b0ac1ebf735bcbca9,254575ba03527e9b0ac1ebf735bcbca9,No,NoDisponible,,,,,,,
11,Pseudoeurycea anitae,194568,-97.0199999,16.71,,False,5,47.84,Amphibia,Caudata,Plethodontidae,2212,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=28bb99fb4384872dcc504cafb7b82db9,28bb99fb4384872dcc504cafb7b82db9,No,NoDisponible,,,,,,,
12,Pseudoeurycea anitae,194568,-97.0199999,16.71,,False,5,47.84,Amphibia,Caudata,Plethodontidae,2212,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=367d4fb9c7c17f6c4892c07f10011cdd,367d4fb9c7c17f6c4892c07f10011cdd,No,NoDisponible,,,,,,,
2,Pseudoeurycea anitae,194513,-97.1167126,16.166667,,False,3,41.65,Amphibia,Caudata,Plethodontidae,716,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37537f57e09feee499734d03858b0987,37537f57e09feee499734d03858b0987,No,NoDisponible,,,,,,,
16,Pseudoeurycea anitae,189627,-97.1930099,16.7273899,,False,4,46.49,Amphibia,Caudata,Plethodontidae,2482,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=389283ec13ded723b3e05eb706d3c9a9,389283ec13ded723b3e05eb706d3c9a9,No,NoDisponible,,,,,,,
17,Pseudoeurycea anitae,194530,-96.8319699,15.96521,,False,2,40.34,Amphibia,Caudata,Plethodontidae,125,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=445e803b442befb0849726dfb8319c1a,445e803b442befb0849726dfb8319c1a,No,NoDisponible,,,,,,,
5,Pseudoeurycea anitae,194579,-97.0213888,16.7199999,,False,1,38.9,Amphibia,Caudata,Plethodontidae,2292,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8341692758cc92c6b42190517877085c,8341692758cc92c6b42190517877085c,No,NoDisponible,,,,,,,
8,Pseudoeurycea anitae,194498,-97.1200452,16.01,,False,0,36.64,Amphibia,Caudata,Plethodontidae,575,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=839f103e0d0a8a147bb3baf023f30aea,839f103e0d0a8a147bb3baf023f30aea,Si,NoDisponible,Si,Si,Si,,,,
