,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
11,Pseudoeurycea brunnata,226537,-92.6541667,15.3625,,False,1,31.93,Amphibia,Caudata,Plethodontidae,139,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=063e82cf80ec88d81c0c527aacf2b838,063e82cf80ec88d81c0c527aacf2b838,No,NoDisponible,NoDisponible,,,,,,
0,Pseudoeurycea brunnata,226488,-92.7416667,15.325,,False,0,10.56,Amphibia,Caudata,Plethodontidae,24,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08aec0e8288514a6d1b92edfef1f051f,08aec0e8288514a6d1b92edfef1f051f,No,NoDisponible,NoDisponible,,,,,,
15,Pseudoeurycea brunnata,226537,-92.6541667,15.3625,,False,1,31.93,Amphibia,Caudata,Plethodontidae,139,Terrestre,1944,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08ce3b197d1b4f599bd0d0466886407e,08ce3b197d1b4f599bd0d0466886407e,No,NoDisponible,NoDisponible,,,,,,
12,Pseudoeurycea brunnata,226537,-92.6541667,15.3625,,False,1,31.93,Amphibia,Caudata,Plethodontidae,139,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f5823b1d55f087517c922ecd10ee253,0f5823b1d55f087517c922ecd10ee253,No,NoDisponible,NoDisponible,,,,,,
6,Pseudoeurycea brunnata,230732,-92.3222222,15.4111111,,False,2,46.17,Amphibia,Caudata,Plethodontidae,2370,Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13e6075c522f6730f0ffb5bd8da85d81,13e6075c522f6730f0ffb5bd8da85d81,No,NoDisponible,NoDisponible,,,,,,
13,Pseudoeurycea brunnata,226537,-92.6541667,15.3625,,False,1,31.93,Amphibia,Caudata,Plethodontidae,139,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c5c562c3ce47f9afd8ccb5f02c6bbbc,1c5c562c3ce47f9afd8ccb5f02c6bbbc,No,NoDisponible,NoDisponible,,,,,,
16,Pseudoeurycea brunnata,226537,-92.6541667,15.3625,,False,1,31.93,Amphibia,Caudata,Plethodontidae,139,Terrestre,1944,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1eb47e7a63c2be5ab26ed94e015d4261,1eb47e7a63c2be5ab26ed94e015d4261,No,NoDisponible,NoDisponible,,,,,,
17,Pseudoeurycea brunnata,226537,-92.6541667,15.3625,,False,1,31.93,Amphibia,Caudata,Plethodontidae,139,Terrestre,1944,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2789c22ea3dcedaadc5c63ef11b4a3d2,2789c22ea3dcedaadc5c63ef11b4a3d2,No,NoDisponible,NoDisponible,,,,,,
18,Pseudoeurycea brunnata,226537,-92.6541667,15.3625,,False,1,31.93,Amphibia,Caudata,Plethodontidae,139,Terrestre,1944,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=36f14c0f803d243cbc30931aecc05e6c,36f14c0f803d243cbc30931aecc05e6c,No,NoDisponible,NoDisponible,,,,,,
19,Pseudoeurycea brunnata,226537,-92.6541667,15.3625,,False,1,31.93,Amphibia,Caudata,Plethodontidae,139,Terrestre,1944,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=39babebc2428104177291d8513e507b5,39babebc2428104177291d8513e507b5,No,NoDisponible,NoDisponible,,,,,,
14,Pseudoeurycea brunnata,226537,-92.6541667,15.3625,,False,1,31.93,Amphibia,Caudata,Plethodontidae,139,Terrestre,1944,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=44f61881cfd8d505335d9db669190f9d,44f61881cfd8d505335d9db669190f9d,No,NoDisponible,NoDisponible,,,,,,
20,Pseudoeurycea brunnata,226537,-92.6541667,15.3625,,False,1,31.93,Amphibia,Caudata,Plethodontidae,139,Terrestre,1944,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=45f16a7a7d6c23ff517bd7c372082391,45f16a7a7d6c23ff517bd7c372082391,No,NoDisponible,NoDisponible,,,,,,
21,Pseudoeurycea brunnata,226537,-92.6541667,15.3625,,False,1,31.93,Amphibia,Caudata,Plethodontidae,139,Terrestre,1944,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4aa0018adc7651cde9a0f1744033a51c,4aa0018adc7651cde9a0f1744033a51c,No,NoDisponible,NoDisponible,,,,,,
7,Pseudoeurycea brunnata,230732,-92.3222222,15.4111111,,False,2,46.17,Amphibia,Caudata,Plethodontidae,2370,Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4b30f0e4546ba309035edefda6edceeb,4b30f0e4546ba309035edefda6edceeb,No,NoDisponible,NoDisponible,,,,,,
1,Pseudoeurycea brunnata,226488,-92.7416667,15.325,,False,0,10.56,Amphibia,Caudata,Plethodontidae,24,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=503f3e01aa15e4cd30a9542e5d4bac62,503f3e01aa15e4cd30a9542e5d4bac62,No,NoDisponible,NoDisponible,,,,,,
22,Pseudoeurycea brunnata,226537,-92.6541667,15.3625,,False,1,31.93,Amphibia,Caudata,Plethodontidae,139,Terrestre,1944,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=50f6b91fcc7b29311f54e1353f6436ec,50f6b91fcc7b29311f54e1353f6436ec,No,NoDisponible,NoDisponible,,,,,,
23,Pseudoeurycea brunnata,226537,-92.6541667,15.3625,,False,1,31.93,Amphibia,Caudata,Plethodontidae,139,Terrestre,1944,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=53ac9259b0a3c257849b8740ffe7c208,53ac9259b0a3c257849b8740ffe7c208,No,NoDisponible,NoDisponible,,,,,,
24,Pseudoeurycea brunnata,226537,-92.6541667,15.3625,,False,1,31.93,Amphibia,Caudata,Plethodontidae,139,Terrestre,1944,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=66af6d8fcbbbcc5e9243915af88e436a,66af6d8fcbbbcc5e9243915af88e436a,No,NoDisponible,NoDisponible,,,,,,
