,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
554,Pseudoeurycea leprosa,179981,-98.6711111,19.3516667,,False,4,61.21,Amphibia,Caudata,Plethodontidae,2974,Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0015b0a3ab65b3b5d63784fbaf8a8652,0015b0a3ab65b3b5d63784fbaf8a8652,No,NoDisponible,NoDisponible,,,,,,
555,Pseudoeurycea leprosa,179981,-98.6711111,19.3516667,,False,4,61.21,Amphibia,Caudata,Plethodontidae,2974,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00271688323b40e3783e5faebb5c5c5f,00271688323b40e3783e5faebb5c5c5f,No,NoDisponible,NoDisponible,,,,,,
2630,Pseudoeurycea leprosa,184905,-98.1027777,19.2408333,,False,3,35.62,Amphibia,Caudata,Plethodontidae,2869,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=004210c77fc757437a2cb72ca6073ffd,004210c77fc757437a2cb72ca6073ffd,No,NoDisponible,NoDisponible,,,,,,
2739,Pseudoeurycea leprosa,179975,-98.7522222,19.3472222,,False,4,64.79,Amphibia,Caudata,Plethodontidae,3291,Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00731448f49067841d2a1c3b5731665a,00731448f49067841d2a1c3b5731665a,No,NoDisponible,NoDisponible,,,,,,
1975,Pseudoeurycea leprosa,194897,-97.0986111,19.4983333,,False,4,69.32,Amphibia,Caudata,Plethodontidae,2767,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00904e2a1fbb62697463d6c41c393eb5,00904e2a1fbb62697463d6c41c393eb5,No,NoDisponible,NoDisponible,,,,,,
2967,Pseudoeurycea leprosa,179933,-98.6902778,19.0863889,,False,4,58.4,Amphibia,Caudata,Plethodontidae,3041,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0096a7dc02701cf0692c7c493fc7d7f2,0096a7dc02701cf0692c7c493fc7d7f2,No,NoDisponible,NoDisponible,,,,,,
3395,Pseudoeurycea leprosa,179930,-98.6713889,19.0375,,False,4,62.19,Amphibia,Caudata,Plethodontidae,3826,Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a9c73198638b607e950009f042cc67,00a9c73198638b607e950009f042cc67,No,NoDisponible,NoDisponible,,,,,,
1575,Pseudoeurycea leprosa,175042,-99.4037205,19.3080556,,False,3,35.65,Amphibia,Caudata,Plethodontidae,3161,Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d9c1ed004d1db292136d59c2be336b,00d9c1ed004d1db292136d59c2be336b,No,NoDisponible,NoDisponible,,,,,,
1263,Pseudoeurycea leprosa,189988,-97.375,19.825,,False,3,39.6,Amphibia,Caudata,Plethodontidae,1879,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00dc71602e3a4b59958d389da626a6cc,00dc71602e3a4b59958d389da626a6cc,No,NoDisponible,NoDisponible,,,,,,
2870,Pseudoeurycea leprosa,179933,-98.6966667,19.0672222,,False,4,58.4,Amphibia,Caudata,Plethodontidae,2992,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e46f1fa4bd4e0a71e278e6d52b5b7b,00e46f1fa4bd4e0a71e278e6d52b5b7b,No,NoDisponible,NoDisponible,,,,,,
