,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
117,Pseudoeurycea melanomolga,189948,-97.1839981,19.5275364,,False,7,81.55,Amphibia,Caudata,Plethodontidae,3131,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0192092c2a6a1e039dbfb86bb003b311,0192092c2a6a1e039dbfb86bb003b311,No,NoDisponible,,,,,,,
48,Pseudoeurycea melanomolga,194898,-97.1047222,19.5705555,,False,6,64.64,Amphibia,Caudata,Plethodontidae,3141,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04bfe0ae40b9c6bff8471b1d4e209faf,04bfe0ae40b9c6bff8471b1d4e209faf,No,NoDisponible,,,,,,,
153,Pseudoeurycea melanomolga,194840,-97.0848617,19.1218911,,False,2,34.19,Amphibia,Caudata,Plethodontidae,1788,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05318c5b057f230078c9ccb83ede37d4,05318c5b057f230078c9ccb83ede37d4,Si,NoDisponible,Si,Si,Si,,,,
49,Pseudoeurycea melanomolga,194898,-97.1047222,19.5705555,,False,6,64.64,Amphibia,Caudata,Plethodontidae,3141,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0695d32288ff6fdcfec6d274986979df,0695d32288ff6fdcfec6d274986979df,No,NoDisponible,,,,,,,
143,Pseudoeurycea melanomolga,189933,-97.2378236,19.3494186,,False,6,68.11,Amphibia,Caudata,Plethodontidae,2982,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=071959e16715cbd2c4feda120e5d475f,071959e16715cbd2c4feda120e5d475f,No,NoDisponible,,,,,,,
2,Pseudoeurycea melanomolga,189947,-97.197558,19.5141667,,False,7,84.21,Amphibia,Caudata,Plethodontidae,3040,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08060f036dd8f61de7be646d8dd0b183,08060f036dd8f61de7be646d8dd0b183,No,NoDisponible,,,,,,,
109,Pseudoeurycea melanomolga,189948,-97.1776581,19.5343342,,False,7,81.55,Amphibia,Caudata,Plethodontidae,3139,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a8884ded3532085e95fbf6d60fedb89,0a8884ded3532085e95fbf6d60fedb89,No,NoDisponible,,,,,,,
50,Pseudoeurycea melanomolga,194898,-97.1047222,19.5705555,,False,6,64.64,Amphibia,Caudata,Plethodontidae,3141,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c37a84fbf451e78fcbd3aefd2246700,0c37a84fbf451e78fcbd3aefd2246700,No,NoDisponible,,,,,,,
3,Pseudoeurycea melanomolga,189947,-97.197558,19.5141667,,False,7,84.21,Amphibia,Caudata,Plethodontidae,3040,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c895c8a16ca088e8b976083d5ca5951,0c895c8a16ca088e8b976083d5ca5951,No,NoDisponible,,,,,,,
115,Pseudoeurycea melanomolga,189948,-97.1768264,19.5228328,,False,7,81.55,Amphibia,Caudata,Plethodontidae,3309,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ccea510564f2f4d590a89d791f9f994,0ccea510564f2f4d590a89d791f9f994,No,NoDisponible,,,,,,,
4,Pseudoeurycea melanomolga,189947,-97.197558,19.5141667,,False,7,84.21,Amphibia,Caudata,Plethodontidae,3040,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e599d629a959a5815f8de57dc292035,0e599d629a959a5815f8de57dc292035,No,NoDisponible,,,,,,,
119,Pseudoeurycea melanomolga,189948,-97.1906967,19.5238056,,False,7,81.55,Amphibia,Caudata,Plethodontidae,3070,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ecaea252b270edcb09fd6e00e4d03af,0ecaea252b270edcb09fd6e00e4d03af,No,NoDisponible,,,,,,,
113,Pseudoeurycea melanomolga,189948,-97.1727906,19.5344581,,False,7,81.55,Amphibia,Caudata,Plethodontidae,3228,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12e9530c8e7ec9f967d72bdecfc470a6,12e9530c8e7ec9f967d72bdecfc470a6,No,NoDisponible,,,,,,,
122,Pseudoeurycea melanomolga,189948,-97.1804444,19.5281388,,False,7,81.55,Amphibia,Caudata,Plethodontidae,3172,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=196d303233f705adcae5b9308948f776,196d303233f705adcae5b9308948f776,No,NoDisponible,,,,,,,
97,Pseudoeurycea melanomolga,194901,-97.0941667,19.5905556,,False,5,59.17,Amphibia,Caudata,Plethodontidae,3112,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b1da3875ff692c15a2b1de7c1705fa5,1b1da3875ff692c15a2b1de7c1705fa5,No,NoDisponible,,,,,,,
123,Pseudoeurycea melanomolga,189948,-97.1804444,19.5281388,,False,7,81.55,Amphibia,Caudata,Plethodontidae,3172,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1bacce08cae3286e2094d77d5688dbd4,1bacce08cae3286e2094d77d5688dbd4,No,NoDisponible,,,,,,,
47,Pseudoeurycea melanomolga,194898,-97.0952777,19.5691666,,False,6,64.64,Amphibia,Caudata,Plethodontidae,2966,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1bb094588258e2dc61c2edbf739da6c6,1bb094588258e2dc61c2edbf739da6c6,No,NoDisponible,,,,,,,
152,Pseudoeurycea melanomolga,189933,-97.2452317,19.3549386,,False,6,68.11,Amphibia,Caudata,Plethodontidae,2910,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c3cca4433bf9891c952a5353699bb19,1c3cca4433bf9891c952a5353699bb19,No,NoDisponible,,,,,,,
