,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
28,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fc1f5a7a6e5cc13cca29523f510282a,0fc1f5a7a6e5cc13cca29523f510282a,Si,NoDisponible,No,,Si,,,,
29,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10ac731ee708535a64ab58033b7840de,10ac731ee708535a64ab58033b7840de,Si,NoDisponible,No,,Si,,,,
30,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15084cea0dad7f6a2de4394af53409b0,15084cea0dad7f6a2de4394af53409b0,Si,NoDisponible,No,,Si,,,,
31,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1769c2df36d004ad30b695840ccb6e74,1769c2df36d004ad30b695840ccb6e74,Si,NoDisponible,No,,Si,,,,
32,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ba473b819733b5c3e3e2e8ce277d941,1ba473b819733b5c3e3e2e8ce277d941,Si,NoDisponible,No,,Si,,,,
33,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1bca0e6f9adcd0beb9ad698e3887be23,1bca0e6f9adcd0beb9ad698e3887be23,Si,NoDisponible,No,,Si,,,,
34,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c27c3bc9a659608195d89c6cede274a,1c27c3bc9a659608195d89c6cede274a,Si,NoDisponible,No,,Si,,,,
0,Pseudoeurycea rex,230730,-92.3474999,15.4386111,,False,2,74.04,Amphibia,Caudata,Plethodontidae,2458,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c655195edfb9eb44c393b9ac413a740,1c655195edfb9eb44c393b9ac413a740,No,NoDisponible,,,,,,,
4,Pseudoeurycea rex,230735,-92.34196,15.52621,,False,3,83.34,Amphibia,Caudata,Plethodontidae,1548,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e2f85ba1e4db090be2196bd43fe9f38,1e2f85ba1e4db090be2196bd43fe9f38,Si,NoDisponible,Si,Si,Si,,,,
35,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=24a296e1d0aa8a47477146eb0abeb878,24a296e1d0aa8a47477146eb0abeb878,Si,NoDisponible,No,,Si,,,,
26,Pseudoeurycea rex,230732,-92.3416667,15.425,,False,1,64.06,Amphibia,Caudata,Plethodontidae,3011,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=293c81f046401f082238bb86a4eff8d4,293c81f046401f082238bb86a4eff8d4,No,NoDisponible,,,,,,,
36,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2a56b2bb1153d7054108ded8d4ca5a0b,2a56b2bb1153d7054108ded8d4ca5a0b,Si,NoDisponible,No,,Si,,,,
5,Pseudoeurycea rex,230735,-92.34196,15.52621,,False,3,83.34,Amphibia,Caudata,Plethodontidae,1548,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2bab14684998bc9f86136d85aa813d70,2bab14684998bc9f86136d85aa813d70,Si,NoDisponible,Si,Si,Si,,,,
37,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2ec4fbb6f5d76dd6750b20e982a45e46,2ec4fbb6f5d76dd6750b20e982a45e46,Si,NoDisponible,No,,Si,,,,
38,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=328206b441f51fea59ef668bef0aa95d,328206b441f51fea59ef668bef0aa95d,Si,NoDisponible,No,,Si,,,,
39,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=36f3ed7f011759e0577460dfc30f4f6c,36f3ed7f011759e0577460dfc30f4f6c,Si,NoDisponible,No,,Si,,,,
11,Pseudoeurycea rex,230732,-92.34554,15.42787,,False,1,64.06,Amphibia,Caudata,Plethodontidae,2926,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37f16433c77d2bff6947eb2651cb62f9,37f16433c77d2bff6947eb2651cb62f9,Si,NoDisponible,Si,Si,Si,,,,
40,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c56ff0442875079ef4c39a8fff217b7,3c56ff0442875079ef4c39a8fff217b7,Si,NoDisponible,No,,Si,,,,
12,Pseudoeurycea rex,230732,-92.34554,15.42787,,False,1,64.06,Amphibia,Caudata,Plethodontidae,2926,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e6fad9dfd35239c09822f99ad493235,3e6fad9dfd35239c09822f99ad493235,Si,NoDisponible,Si,Si,Si,,,,
41,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=40d37e3f30b2c17a020b400eadbe0a46,40d37e3f30b2c17a020b400eadbe0a46,Si,NoDisponible,No,,Si,,,,
42,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=446a6bb6ecec1f178c83c99a0147a628,446a6bb6ecec1f178c83c99a0147a628,Si,NoDisponible,No,,Si,,,,
43,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=45194edb77185b684c10f7fa932224a8,45194edb77185b684c10f7fa932224a8,Si,NoDisponible,No,,Si,,,,
44,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=461ba52ff6d87a478f2dc6a8b0570692,461ba52ff6d87a478f2dc6a8b0570692,Si,NoDisponible,No,,Si,,,,
45,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=46e0f09e5527bfd9755d0ba5fcef0fe5,46e0f09e5527bfd9755d0ba5fcef0fe5,Si,NoDisponible,No,,Si,,,,
46,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4b3cb3261bcd68941b553a15028f6af3,4b3cb3261bcd68941b553a15028f6af3,Si,NoDisponible,No,,Si,,,,
47,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5023a6da5220c0a4b63537fdd1ac10e0,5023a6da5220c0a4b63537fdd1ac10e0,Si,NoDisponible,No,,Si,,,,
48,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=571cfccb453f588973a0c32eb6c25215,571cfccb453f588973a0c32eb6c25215,Si,NoDisponible,No,,Si,,,,
49,Pseudoeurycea rex,230713,-92.0804838,15.0625,,True,0,-87.85,Amphibia,Caudata,Plethodontidae,1321,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5a8a4867b7b9f22ffcca5d044faefe92,5a8a4867b7b9f22ffcca5d044faefe92,Si,NoDisponible,No,,Si,,,,
13,Pseudoeurycea rex,230732,-92.34554,15.42787,,False,1,64.06,Amphibia,Caudata,Plethodontidae,2926,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5cda73c20684419109e78a1f4fc69e6b,5cda73c20684419109e78a1f4fc69e6b,Si,NoDisponible,Si,Si,Si,,,,
