,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
49,Pseudoeurycea robertsi,170144,-99.8,19.1375,,False,6,65.06,Amphibia,Caudata,Plethodontidae,3657,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00956e100dbc275fa5f1edf95bed854a,00956e100dbc275fa5f1edf95bed854a,No,NoDisponible,,,,,,,
276,Pseudoeurycea robertsi,170166,-99.7330555,19.1330555,,False,6,71.99,Amphibia,Caudata,Plethodontidae,3814,Terrestre,1951,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b7540f98f38f487d06899ed91cab44,00b7540f98f38f487d06899ed91cab44,No,NoDisponible,,,,,,,
58,Pseudoeurycea robertsi,170144,-99.8083333,19.1638889,,False,6,65.06,Amphibia,Caudata,Plethodontidae,3466,Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ec149a4e97c991b50f652ebc93b2a9,00ec149a4e97c991b50f652ebc93b2a9,No,NoDisponible,,,,,,,
0,Pseudoeurycea robertsi,165363,-100.2416667,19.4583333,,False,3,31.96,Amphibia,Caudata,Plethodontidae,2495,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02499ecd62e942173de5514f8d3fa438,02499ecd62e942173de5514f8d3fa438,No,NoDisponible,,,,,,,
61,Pseudoeurycea robertsi,170144,-99.7611111,19.1127778,,False,6,65.06,Amphibia,Caudata,Plethodontidae,4223,Terrestre,1951,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03f9e08cf0dbb587f89ebd1d8cfc6159,03f9e08cf0dbb587f89ebd1d8cfc6159,Si,NoDisponible,Si,Si,Si,,,,
331,Pseudoeurycea robertsi,170141,-99.8697222,19.0494444,,False,5,53.25,Amphibia,Caudata,Plethodontidae,3102,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=049cc8df28db8d37fd14a1249c9c4f5f,049cc8df28db8d37fd14a1249c9c4f5f,No,NoDisponible,,,,,,,
203,Pseudoeurycea robertsi,170187,-99.8088889,19.2036111,,False,4,46.18,Amphibia,Caudata,Plethodontidae,3180,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=052393329f71c813651ae6478fa6a00b,052393329f71c813651ae6478fa6a00b,No,NoDisponible,,,,,,,
219,Pseudoeurycea robertsi,170187,-99.8088889,19.1958333,,False,4,46.18,Amphibia,Caudata,Plethodontidae,3190,Terrestre,1936,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=063b1b1d216c48769a66c821cf1749ab,063b1b1d216c48769a66c821cf1749ab,No,NoDisponible,,,,,,,
122,Pseudoeurycea robertsi,170144,-99.7894444,19.1727778,,False,6,65.06,Amphibia,Caudata,Plethodontidae,3424,Terrestre,1951,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=082a5dcd7a34325d7ff6fc97bf0b2b0a,082a5dcd7a34325d7ff6fc97bf0b2b0a,No,NoDisponible,,,,,,,
204,Pseudoeurycea robertsi,170187,-99.8088889,19.2036111,,False,4,46.18,Amphibia,Caudata,Plethodontidae,3180,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08b03333c2378317b5e8942da3fab2b3,08b03333c2378317b5e8942da3fab2b3,No,NoDisponible,,,,,,,
