,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
146,Ptychohyla leonhardschultzei,194513,-97.1500466,16.23,,False,4,50.65,Amphibia,Anura,Hylidae,1926,Dulceacuícola; Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0001928cc1319fbdf8a72647208b9c2f,0001928cc1319fbdf8a72647208b9c2f,No,NoDisponible,,,,,,,
3,Ptychohyla leonhardschultzei,204192,-95.7416667,16.9583333,,False,4,57.74,Amphibia,Anura,Hylidae,1230,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0088b0aecac7366316dad640f1d7829a,0088b0aecac7366316dad640f1d7829a,No,NoDisponible,,,,,,,
286,Ptychohyla leonhardschultzei,204219,-95.4412999,16.7459999,,False,3,47.88,Amphibia,Anura,Hylidae,923,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=012f574473f39369c9b5cd23ccfe6cad,012f574473f39369c9b5cd23ccfe6cad,Si,NoDisponible,Si,Si,Si,,,,
132,Ptychohyla leonhardschultzei,199369,-96.4218055,15.920083,,False,4,57.2,Amphibia,Anura,Hylidae,1182,Dulceacuícola; Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02759981eda931beb9b4fdb48e6c4e24,02759981eda931beb9b4fdb48e6c4e24,Si,NoDisponible,Si,Si,Si,,,,
194,Ptychohyla leonhardschultzei,199362,-96.5300314,16.02,,False,4,57.14,Amphibia,Anura,Hylidae,1459,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03c467f0e3dea94d3ba7ab7176a52b4c,03c467f0e3dea94d3ba7ab7176a52b4c,No,NoDisponible,,,,,,,
267,Ptychohyla leonhardschultzei,199364,-96.477933,15.993033,,False,4,57.89,Amphibia,Anura,Hylidae,1372,Dulceacuícola; Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04407ab7162b57b962511f11da1f63d3,04407ab7162b57b962511f11da1f63d3,Si,NoDisponible,Si,Si,Si,,,,
265,Ptychohyla leonhardschultzei,213555,-94.45,16.7666699,,False,4,56.09,Amphibia,Anura,Hylidae,2205,Dulceacuícola; Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04ede1a1648e0d9ee8fc76d394eddcdd,04ede1a1648e0d9ee8fc76d394eddcdd,Si,NoDisponible,No,,Si,,,,
259,Ptychohyla leonhardschultzei,194751,-96.65,18.0199999,,False,2,37.56,Amphibia,Anura,Hylidae,343,Dulceacuícola; Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=055ab668374471a236ad499847147ed9,055ab668374471a236ad499847147ed9,Si,NoDisponible,No,,Si,,,,
147,Ptychohyla leonhardschultzei,194513,-97.1500466,16.23,,False,4,50.65,Amphibia,Anura,Hylidae,1926,Dulceacuícola; Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0766bc7675e5225302c2953903fdc1f1,0766bc7675e5225302c2953903fdc1f1,No,NoDisponible,,,,,,,
243,Ptychohyla leonhardschultzei,208882,-95.1200004,16.79,,False,1,24.03,Amphibia,Anura,Hylidae,270,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=092f53e867ee4959e99ecc630422dd20,092f53e867ee4959e99ecc630422dd20,Si,NoDisponible,Si,Si,Si,,,,
14,Ptychohyla leonhardschultzei,199567,-96.3299999,17.7299999,,False,1,23.52,Amphibia,Anura,Hylidae,581,Dulceacuícola; Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=094e65d3b34f103283ded45cf00cfb6c,094e65d3b34f103283ded45cf00cfb6c,Si,NoDisponible,No,,Si,,,,
195,Ptychohyla leonhardschultzei,199362,-96.5300314,16.02,,False,4,57.14,Amphibia,Anura,Hylidae,1459,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09e977c1ec6dc0c9efab12e82499d18c,09e977c1ec6dc0c9efab12e82499d18c,No,NoDisponible,,,,,,,
15,Ptychohyla leonhardschultzei,199567,-96.3299999,17.7299999,,False,1,23.52,Amphibia,Anura,Hylidae,581,Dulceacuícola; Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a8a31d3c2d2f7f630f09cc70a5da92d,0a8a31d3c2d2f7f630f09cc70a5da92d,Si,NoDisponible,No,,Si,,,,
221,Ptychohyla leonhardschultzei,194502,-97.1400461,16.15,,False,3,43.35,Amphibia,Anura,Hylidae,594,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ac812eeb3662bec1924ad34c9dfb2ca,0ac812eeb3662bec1924ad34c9dfb2ca,No,NoDisponible,,,,,,,
16,Ptychohyla leonhardschultzei,199567,-96.3299999,17.7299999,,False,1,23.52,Amphibia,Anura,Hylidae,581,Dulceacuícola; Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0df9f926fe2fcaf9d77e4ef85e5265ad,0df9f926fe2fcaf9d77e4ef85e5265ad,Si,NoDisponible,No,,Si,,,,
67,Ptychohyla leonhardschultzei,194514,-97.1500466,16.25,,False,3,43.51,Amphibia,Anura,Hylidae,1828,Dulceacuícola; Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ef8dc12c9dbdfe18c8638e51fd34fa9,0ef8dc12c9dbdfe18c8638e51fd34fa9,No,NoDisponible,,,,,,,
0,Ptychohyla leonhardschultzei,169980,-99.4916667,17.3416667,,False,4,53.79,Amphibia,Anura,Hylidae,1173,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f37c1ff98da445d966a0268f2eabe4a,0f37c1ff98da445d966a0268f2eabe4a,No,NoDisponible,,,,,,,
196,Ptychohyla leonhardschultzei,199362,-96.5300314,16.02,,False,4,57.14,Amphibia,Anura,Hylidae,1459,Dulceacuícola; Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fbfd258517af181c5562db3aff8862d,0fbfd258517af181c5562db3aff8862d,No,NoDisponible,,,,,,,
