,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
98,Ptychohyla macrotympanum,226649,-92.95,16.76,,False,1,22.33,Amphibia,Anura,Hylidae,1101,Dulceacuícola; Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04d0ca4db5ade371792ec6a57881633b,04d0ca4db5ade371792ec6a57881633b,No,NoDisponible,,,,,,,
76,Ptychohyla macrotympanum,226704,-92.8747306,17.2083056,,False,3,36.69,Amphibia,Anura,Hylidae,1601,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07f90cd480cc52498d5d245ec149d0ce,07f90cd480cc52498d5d245ec149d0ce,Si,NoDisponible,No,,Si,,,,
6,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a271b4457dffcd0b3982ee74bc72d6d,0a271b4457dffcd0b3982ee74bc72d6d,No,NoDisponible,,,,,,,
94,Ptychohyla macrotympanum,226649,-92.9416667,16.7583333,,False,1,22.33,Amphibia,Anura,Hylidae,1123,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cfc15bdb472f72733a0bc2fc11c00cd,0cfc15bdb472f72733a0bc2fc11c00cd,No,NoDisponible,,,,,,,
7,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e1b9de60fd09ac53af16a4c25d61c4b,0e1b9de60fd09ac53af16a4c25d61c4b,No,NoDisponible,,,,,,,
91,Ptychohyla macrotympanum,226703,-92.8875,17.1486111,,False,3,39.71,Amphibia,Anura,Hylidae,1683,Dulceacuícola; Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=109d751312cbd5cf4dc0e24c3105188c,109d751312cbd5cf4dc0e24c3105188c,No,NoDisponible,,,,,,,
69,Ptychohyla macrotympanum,226695,-92.9983333,17.1894444,,False,4,53.75,Amphibia,Anura,Hylidae,1572,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=113754750bf6643315bde833ac61a8b7,113754750bf6643315bde833ac61a8b7,No,NoDisponible,,,,,,,
8,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18429713ec522cb321527c96c1212b75,18429713ec522cb321527c96c1212b75,No,NoDisponible,,,,,,,
9,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18a79f6f09989f2788c12f0c9e089886,18a79f6f09989f2788c12f0c9e089886,No,NoDisponible,,,,,,,
78,Ptychohyla macrotympanum,230682,-92.3666009,15.16667,,False,3,35.43,Amphibia,Anura,Hylidae,614,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ad7044c5e047b64d10c5da9631ac3a7,1ad7044c5e047b64d10c5da9631ac3a7,Si,NoDisponible,Si,Si,Si,,,,
10,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1af59e321d0efceb8357a8b3044bd633,1af59e321d0efceb8357a8b3044bd633,No,NoDisponible,,,,,,,
11,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c17d5ed1565bd76c7c018d94a00d70b,1c17d5ed1565bd76c7c018d94a00d70b,No,NoDisponible,,,,,,,
70,Ptychohyla macrotympanum,226695,-92.9983333,17.1894444,,False,4,53.75,Amphibia,Anura,Hylidae,1572,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e798f91615cf4d896b0a20643fe678a,1e798f91615cf4d896b0a20643fe678a,No,NoDisponible,,,,,,,
12,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f8a601f9c25b1e2f615e38596dd8bf3,1f8a601f9c25b1e2f615e38596dd8bf3,No,NoDisponible,,,,,,,
67,Ptychohyla macrotympanum,226700,-92.8583333,17.1138889,,False,3,36.85,Amphibia,Anura,Hylidae,1796,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2b11dabe4cd85649e5b1dcd4e0b647d2,2b11dabe4cd85649e5b1dcd4e0b647d2,No,NoDisponible,,,,,,,
13,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2b1d28362dc43e0a0831669b55b9a26f,2b1d28362dc43e0a0831669b55b9a26f,No,NoDisponible,,,,,,,
79,Ptychohyla macrotympanum,230682,-92.3666009,15.16667,,False,3,35.43,Amphibia,Anura,Hylidae,614,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2c7b813da735d174a7644826dae1b6d2,2c7b813da735d174a7644826dae1b6d2,Si,NoDisponible,Si,Si,Si,,,,
73,Ptychohyla macrotympanum,226695,-92.9999513,17.19,,False,4,53.75,Amphibia,Anura,Hylidae,1549,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d2fb054c31511e1532497807d13db79,2d2fb054c31511e1532497807d13db79,No,NoDisponible,,,,,,,
64,Ptychohyla macrotympanum,226700,-92.8608333,17.1152778,,False,3,36.85,Amphibia,Anura,Hylidae,1678,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=30b785855af0ffbd9d7302b90d5b407f,30b785855af0ffbd9d7302b90d5b407f,No,NoDisponible,,,,,,,
14,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=35685110f314fa3c25c39349bf14d771,35685110f314fa3c25c39349bf14d771,No,NoDisponible,,,,,,,
0,Ptychohyla macrotympanum,226700,-92.8602778,17.1152778,,False,3,36.85,Amphibia,Anura,Hylidae,1700,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=36d83a8a2081d6aaa92533f54adfa5d9,36d83a8a2081d6aaa92533f54adfa5d9,No,NoDisponible,,,,,,,
15,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=36ede410dac475e701534f2642235e92,36ede410dac475e701534f2642235e92,No,NoDisponible,,,,,,,
1,Ptychohyla macrotympanum,226700,-92.8602778,17.1152778,,False,3,36.85,Amphibia,Anura,Hylidae,1700,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37913e0b975649871fb0cd06aeff28ea,37913e0b975649871fb0cd06aeff28ea,No,NoDisponible,,,,,,,
97,Ptychohyla macrotympanum,226649,-92.95,16.7597222,,False,1,22.33,Amphibia,Anura,Hylidae,1109,Dulceacuícola; Terrestre,1957,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=39afd22dee95df0362d404c44aa55954,39afd22dee95df0362d404c44aa55954,No,NoDisponible,,,,,,,
16,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ab0e85491bbe1642f5ea0d15074bdd5,3ab0e85491bbe1642f5ea0d15074bdd5,No,NoDisponible,,,,,,,
17,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c0c0ac102f318c15fafc75be7fe4c8c,3c0c0ac102f318c15fafc75be7fe4c8c,No,NoDisponible,,,,,,,
2,Ptychohyla macrotympanum,226700,-92.8602778,17.1152778,,False,3,36.85,Amphibia,Anura,Hylidae,1700,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c62c8bf64366551336e08ac8c3985d9,3c62c8bf64366551336e08ac8c3985d9,No,NoDisponible,,,,,,,
74,Ptychohyla macrotympanum,226695,-92.9986111,17.1944444,,False,4,53.75,Amphibia,Anura,Hylidae,1582,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3d18246437f9f12c3f27328ebcc3d256,3d18246437f9f12c3f27328ebcc3d256,No,NoDisponible,,,,,,,
84,Ptychohyla macrotympanum,226681,-92.6360514,16.73611,,False,2,25.14,Amphibia,Anura,Hylidae,2140,Dulceacuícola; Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e4a3678a926514d284ece49b4e8b5c1,3e4a3678a926514d284ece49b4e8b5c1,Si,NoDisponible,No,,Si,,,,
18,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=40a0847a8c0881ad748724da8f9f67f7,40a0847a8c0881ad748724da8f9f67f7,No,NoDisponible,,,,,,,
19,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=412a45773c4c905b7d49444b111f32aa,412a45773c4c905b7d49444b111f32aa,No,NoDisponible,,,,,,,
20,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=41e104adbf92dbf2bbd9ff23cff97dbe,41e104adbf92dbf2bbd9ff23cff97dbe,No,NoDisponible,,,,,,,
66,Ptychohyla macrotympanum,226700,-92.8630556,17.1152778,,False,3,36.85,Amphibia,Anura,Hylidae,1644,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=45d27e053edd558d089d44e9ccc83d57,45d27e053edd558d089d44e9ccc83d57,No,NoDisponible,,,,,,,
77,Ptychohyla macrotympanum,222651,-93.1471767,17.86389,,False,1,22.88,Amphibia,Anura,Hylidae,27,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4bc0ce257619f250f6396d49d0a18c86,4bc0ce257619f250f6396d49d0a18c86,Si,NoDisponible,Si,Si,Si,,,,
85,Ptychohyla macrotympanum,222535,-93.5999655,17.18556,,False,2,27.6,Amphibia,Anura,Hylidae,183,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=55d002d732b0c10a263f4c684bb9865b,55d002d732b0c10a263f4c684bb9865b,Si,NoDisponible,Si,Si,Si,,,,
92,Ptychohyla macrotympanum,226703,-92.9111111,17.1791667,,False,3,39.71,Amphibia,Anura,Hylidae,1603,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=57193599441d77092939a39bbfcabf83,57193599441d77092939a39bbfcabf83,No,NoDisponible,,,,,,,
21,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=57844219c15a971bdc629e423a607dc8,57844219c15a971bdc629e423a607dc8,No,NoDisponible,,,,,,,
89,Ptychohyla macrotympanum,230911,-92.0138889,16.9013889,,False,1,23.69,Amphibia,Anura,Hylidae,875,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5839e8282bb950e32e0f24947a131b78,5839e8282bb950e32e0f24947a131b78,Si,NoDisponible,Si,Si,Si,,,,
22,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=597f0328c44c8589a84a41e8ddc9548f,597f0328c44c8589a84a41e8ddc9548f,No,NoDisponible,,,,,,,
23,Ptychohyla macrotympanum,226700,-92.8602778,17.1163889,,False,3,36.85,Amphibia,Anura,Hylidae,1668,Dulceacuícola; Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=59edd690f8bed4aa85cdcda39da7fc69,59edd690f8bed4aa85cdcda39da7fc69,No,NoDisponible,,,,,,,
